x,y,species_2 logistic values
1.0,1.0,0.61551255
2.0,2.0,0.77282774
3.0,3.0,0.12059857
4.0,4.0,0.05556603
5.0,5.0,0.35615477
6.0,6.0,0.029848678
7.0,7.0,0.31300297
8.0,8.0,0.15084048
9.0,9.0,0.08107029
10.0,10.0,0.0028240036
11.0,11.0,0.27195984
12.0,12.0,0.027134247
13.0,13.0,0.35882443
14.0,14.0,0.0040604942
15.0,15.0,0.001096479
16.0,16.0,0.005421667
17.0,17.0,0.07924804
18.0,18.0,0.004621281
19.0,19.0,0.04186593
20.0,20.0,0.005405732
21.0,21.0,0.030128444
22.0,22.0,0.059656404
23.0,23.0,0.017089285
24.0,24.0,0.04699229
25.0,25.0,0.78025347
26.0,26.0,0.23728125
27.0,27.0,0.037118062
28.0,28.0,0.0054171183
29.0,29.0,0.007683341
30.0,30.0,0.031670634
31.0,31.0,0.008472254
32.0,32.0,0.10910521
33.0,33.0,4.082325E-4
34.0,34.0,0.07746718
35.0,35.0,0.03580776
36.0,36.0,0.015327732
37.0,37.0,0.54536706
38.0,38.0,0.53264093
39.0,39.0,7.867128E-5
40.0,40.0,0.033935707
41.0,41.0,0.037009366
42.0,42.0,0.02456778
43.0,43.0,0.02721671
44.0,44.0,0.10892219
45.0,45.0,0.0029420946
46.0,46.0,0.13265835
47.0,47.0,0.005386625
48.0,48.0,0.020143867
49.0,49.0,7.004722E-4
50.0,50.0,0.119301006
51.0,51.0,2.2015256E-4
52.0,52.0,0.015886204
53.0,53.0,0.0029973823
54.0,54.0,0.20163293
55.0,55.0,0.012684544
56.0,56.0,0.0075560175
57.0,57.0,0.43455592
58.0,58.0,0.049009513
59.0,59.0,0.020306319
60.0,60.0,0.7125853
61.0,61.0,0.104581125
62.0,62.0,0.16450472
63.0,63.0,0.18198697
64.0,64.0,0.018411685
65.0,65.0,0.01282795
66.0,66.0,0.05704832
67.0,67.0,0.030328339
68.0,68.0,0.121324226
69.0,69.0,0.0011239643
70.0,70.0,0.0026347733
71.0,71.0,0.011501175
72.0,72.0,0.47549334
73.0,73.0,0.0013626427
74.0,74.0,0.0033614528
75.0,75.0,0.2904954
76.0,76.0,0.5624898
77.0,77.0,0.0017150001
78.0,78.0,0.4132232
79.0,79.0,0.001542383
80.0,80.0,0.11380551
81.0,81.0,0.59459466
82.0,82.0,0.6510869
83.0,83.0,0.014646976
84.0,84.0,0.07165611
85.0,85.0,0.70578694
86.0,86.0,0.15594581
87.0,87.0,0.031059995
88.0,88.0,0.0046181045
89.0,89.0,0.100421354
90.0,90.0,0.0025486322
91.0,91.0,0.27508453
92.0,92.0,0.1988107
93.0,93.0,3.9848706E-4
94.0,94.0,0.017417453
95.0,95.0,7.3131546E-4
96.0,96.0,0.6475414
97.0,97.0,0.0024306949
98.0,98.0,0.1843894
99.0,99.0,0.086164586
100.0,100.0,0.0030806018
