x,y,species_3 logistic values
1.0,1.0,0.5322677
2.0,2.0,0.4694328
3.0,3.0,0.519628
4.0,4.0,0.5613205
5.0,5.0,0.64735717
6.0,6.0,0.04876162
7.0,7.0,0.62238306
8.0,8.0,0.6975096
9.0,9.0,0.48631114
10.0,10.0,0.117030576
11.0,11.0,0.5964885
12.0,12.0,0.37892014
13.0,13.0,0.6375877
14.0,14.0,0.20236968
15.0,15.0,0.092163764
16.0,16.0,0.1220961
17.0,17.0,0.26958856
18.0,18.0,0.09703496
19.0,19.0,0.38363788
20.0,20.0,0.2584019
21.0,21.0,0.322375
22.0,22.0,0.44646427
23.0,23.0,0.058577992
24.0,24.0,0.375582
25.0,25.0,0.5714348
26.0,26.0,0.7052097
27.0,27.0,0.25452402
28.0,28.0,0.14993834
29.0,29.0,0.20664722
30.0,30.0,0.32322022
31.0,31.0,0.3482201
32.0,32.0,0.18497469
33.0,33.0,0.025388833
34.0,34.0,0.056740053
35.0,35.0,0.3625393
36.0,36.0,0.33569178
37.0,37.0,0.6359415
38.0,38.0,0.40872553
39.0,39.0,0.07212915
40.0,40.0,0.19280721
41.0,41.0,0.50754416
42.0,42.0,0.4222519
43.0,43.0,0.0805544
44.0,44.0,0.54551023
45.0,45.0,0.2968642
46.0,46.0,0.56391424
47.0,47.0,0.074481286
48.0,48.0,0.49690953
49.0,49.0,0.040999617
50.0,50.0,0.26208004
51.0,51.0,0.018300883
52.0,52.0,8.602478E-8
53.0,53.0,0.068321444
54.0,54.0,0.30568227
55.0,55.0,0.28829247
56.0,56.0,0.3801763
57.0,57.0,0.1333317
58.0,58.0,0.32634428
59.0,59.0,0.25718126
60.0,60.0,0.6705357
61.0,61.0,0.05748587
62.0,62.0,0.4628399
63.0,63.0,0.40536663
64.0,64.0,0.26345113
65.0,65.0,0.24899398
66.0,66.0,0.44917375
67.0,67.0,0.3636775
68.0,68.0,0.1597116
69.0,69.0,0.038844045
70.0,70.0,0.03868761
71.0,71.0,0.28041062
72.0,72.0,0.34435463
73.0,73.0,0.048540115
74.0,74.0,0.06437774
75.0,75.0,0.3172904
76.0,76.0,0.44225496
77.0,77.0,0.14287022
78.0,78.0,0.47480622
79.0,79.0,0.05032024
80.0,80.0,0.036948342
81.0,81.0,0.3150014
82.0,82.0,0.6479499
83.0,83.0,0.1849533
84.0,84.0,0.47213134
85.0,85.0,0.6870324
86.0,86.0,0.49244365
87.0,87.0,0.18711048
88.0,88.0,0.112955056
89.0,89.0,0.41800603
90.0,90.0,0.13383357
91.0,91.0,0.38856027
92.0,92.0,0.6364425
93.0,93.0,0.0176114
94.0,94.0,0.3138751
95.0,95.0,0.044088837
96.0,96.0,0.39436206
97.0,97.0,0.10735918
98.0,98.0,0.44102633
99.0,99.0,0.031710684
100.0,100.0,0.07900441
101.0,101.0,0.09697593
102.0,102.0,0.570577
103.0,103.0,0.53216183
104.0,104.0,0.36869875
105.0,105.0,0.11380693
106.0,106.0,0.26838893
107.0,107.0,0.025584348
108.0,108.0,0.40088636
109.0,109.0,0.45389557
110.0,110.0,0.34538832
111.0,111.0,0.21740295
112.0,112.0,0.2862877
113.0,113.0,0.15507899
114.0,114.0,0.50544876
115.0,115.0,0.4599748
116.0,116.0,0.41278237
117.0,117.0,0.011842972
118.0,118.0,0.0071870345
119.0,119.0,0.03858076
120.0,120.0,0.29655167
121.0,121.0,0.017623637
122.0,122.0,0.41745836
123.0,123.0,0.7144812
124.0,124.0,0.2642006
125.0,125.0,0.34913576
126.0,126.0,0.15578869
127.0,127.0,0.49293473
128.0,128.0,3.6491883E-8
129.0,129.0,0.09733549
130.0,130.0,0.28272146
131.0,131.0,0.38036197
132.0,132.0,0.03202287
133.0,133.0,0.4296488
134.0,134.0,0.33805388
135.0,135.0,0.37232912
136.0,136.0,4.9352806E-8
137.0,137.0,0.10281533
138.0,138.0,0.33588603
139.0,139.0,0.5494564
140.0,140.0,0.0779165
141.0,141.0,0.582551
142.0,142.0,0.5332519
143.0,143.0,0.083273
144.0,144.0,0.35619357
145.0,145.0,0.21991232
146.0,146.0,0.1805527
147.0,147.0,5.4398026E-8
148.0,148.0,0.0740482
149.0,149.0,0.07098111
150.0,150.0,0.46094003
151.0,151.0,0.4214198
152.0,152.0,0.4718439
153.0,153.0,0.5233723
154.0,154.0,0.1360789
155.0,155.0,0.29229653
156.0,156.0,0.08000947
157.0,157.0,0.38157648
158.0,158.0,0.22281143
159.0,159.0,0.040224638
160.0,160.0,0.5876884
161.0,161.0,0.3663734
162.0,162.0,0.1718834
163.0,163.0,0.31704953
164.0,164.0,0.40856522
165.0,165.0,0.30718824
166.0,166.0,0.10974962
167.0,167.0,0.3120758
168.0,168.0,0.06755751
169.0,169.0,0.28860202
170.0,170.0,0.08269159
171.0,171.0,0.084047556
172.0,172.0,0.48487613
173.0,173.0,0.35581395
174.0,174.0,0.52867323
175.0,175.0,0.5917442
176.0,176.0,0.061585635
177.0,177.0,0.32863963
178.0,178.0,0.32256705
179.0,179.0,0.24718575
180.0,180.0,0.34474772
181.0,181.0,0.5537762
182.0,182.0,0.07882613
183.0,183.0,0.48615327
184.0,184.0,0.31040418
185.0,185.0,0.07907356
186.0,186.0,0.5143384
187.0,187.0,0.16046849
188.0,188.0,0.020572035
189.0,189.0,0.29040208
190.0,190.0,0.27196676
191.0,191.0,0.3804396
192.0,192.0,0.10451763
193.0,193.0,0.46458927
194.0,194.0,0.028128799
195.0,195.0,0.24356918
196.0,196.0,0.24632004
197.0,197.0,0.09178215
198.0,198.0,0.5313089
199.0,199.0,0.6341301
200.0,200.0,0.09954232
201.0,201.0,0.52489674
202.0,202.0,0.0883589
203.0,203.0,0.31906474
204.0,204.0,0.102078356
205.0,205.0,0.40164915
206.0,206.0,0.18680865
207.0,207.0,0.3587509
208.0,208.0,0.47477055
209.0,209.0,0.34780362
210.0,210.0,0.0988437
211.0,211.0,0.67663175
212.0,212.0,0.6033739
213.0,213.0,0.109884456
214.0,214.0,0.30199432
215.0,215.0,0.5858724
216.0,216.0,0.5578864
217.0,217.0,0.10926142
218.0,218.0,0.42107382
219.0,219.0,0.24376097
220.0,220.0,0.10583593
221.0,221.0,0.018955642
222.0,222.0,0.3430035
223.0,223.0,0.39376375
224.0,224.0,0.5025813
225.0,225.0,0.40115273
226.0,226.0,0.40727085
227.0,227.0,0.36478937
228.0,228.0,0.05308679
229.0,229.0,0.25046423
230.0,230.0,0.53144926
231.0,231.0,0.102417625
232.0,232.0,0.29404968
233.0,233.0,0.05976059
234.0,234.0,0.032233775
235.0,235.0,0.032154467
236.0,236.0,0.40857777
237.0,237.0,0.16009147
238.0,238.0,0.6253218
239.0,239.0,0.39823467
240.0,240.0,0.43033016
241.0,241.0,0.35370782
242.0,242.0,0.0626101
243.0,243.0,0.07606132
