x,y,species max
1.0,1.0,3.159676E-7
2.0,2.0,8.1264276E-5
3.0,3.0,4.8128646E-10
4.0,4.0,1.2332247E-6
5.0,5.0,9.6824096E-4
6.0,6.0,8.213747E-5
7.0,7.0,2.9186698E-4
8.0,8.0,1.7277373E-5
9.0,9.0,1.5842229E-4
10.0,10.0,0.24851738
11.0,11.0,2.6398306E-5
12.0,12.0,0.021743082
13.0,13.0,4.0708856E-6
14.0,14.0,0.0021865333
15.0,15.0,0.43724853
16.0,16.0,0.02097913
17.0,17.0,0.03649522
18.0,18.0,0.00225817
19.0,19.0,4.5101617E-5
20.0,20.0,0.0034954061
21.0,21.0,0.12626266
22.0,22.0,3.3433666E-6
23.0,23.0,2.8178096E-5
24.0,24.0,6.102827E-7
25.0,25.0,1.9514334E-4
26.0,26.0,1.2213907E-7
27.0,27.0,7.841931E-5
28.0,28.0,0.012589348
29.0,29.0,0.0017742831
30.0,30.0,7.081558E-6
31.0,31.0,0.0015889284
32.0,32.0,1.6838316E-5
33.0,33.0,0.01708122
34.0,34.0,2.3228371E-4
35.0,35.0,0.07435761
36.0,36.0,3.3817097E-4
37.0,37.0,1.8191704E-5
38.0,38.0,1.4258912E-6
39.0,39.0,0.001642215
40.0,40.0,1.5036647E-4
41.0,41.0,0.007336589
42.0,42.0,2.0759942E-5
43.0,43.0,1.0712812E-4
44.0,44.0,0.002830231
45.0,45.0,0.0016040892
46.0,46.0,0.017922664
47.0,47.0,0.78428495
48.0,48.0,9.138355E-5
49.0,49.0,0.06317414
50.0,50.0,0.0013358659
51.0,51.0,0.025101792
52.0,52.0,2.0530864E-4
53.0,53.0,0.07726497
54.0,54.0,8.540245E-6
55.0,55.0,6.1855174E-4
56.0,56.0,1.4119766E-4
57.0,57.0,2.680621E-7
58.0,58.0,0.0044880295
59.0,59.0,1.6192583E-9
60.0,60.0,6.03384E-7
61.0,61.0,3.678788E-7
62.0,62.0,2.750312E-7
63.0,63.0,2.2294727E-5
64.0,64.0,0.031001726
65.0,65.0,5.622467E-9
66.0,66.0,3.1724434E-5
67.0,67.0,5.446604E-6
68.0,68.0,1.2554566E-4
69.0,69.0,0.0024776035
70.0,70.0,9.88945E-4
71.0,71.0,5.4329104E-4
72.0,72.0,3.059693E-10
73.0,73.0,0.21231937
74.0,74.0,0.23837267
75.0,75.0,0.0015989792
76.0,76.0,5.7693192E-9
77.0,77.0,0.07590988
78.0,78.0,7.616768E-9
79.0,79.0,0.0016915281
80.0,80.0,5.101834E-4
81.0,81.0,2.102819E-11
82.0,82.0,3.9226365E-5
83.0,83.0,0.027206486
84.0,84.0,1.7469972E-7
85.0,85.0,1.8433791E-5
86.0,86.0,6.543439E-5
87.0,87.0,0.00560615
88.0,88.0,0.027983
89.0,89.0,0.0033127624
90.0,90.0,0.018350774
91.0,91.0,8.667792E-8
92.0,92.0,4.689777E-6
93.0,93.0,0.1303638
94.0,94.0,2.1465097E-5
95.0,95.0,0.13760182
96.0,96.0,5.568563E-6
97.0,97.0,0.019917505
98.0,98.0,6.337079E-9
99.0,99.0,4.9178634E-4
100.0,100.0,0.11776835
101.0,101.0,0.014608668
102.0,102.0,1.8122353E-5
103.0,103.0,4.6666298E-7
104.0,104.0,3.2382926E-5
105.0,105.0,0.008044705
106.0,106.0,1.840253E-9
107.0,107.0,0.00361226
108.0,108.0,3.2215138E-4
109.0,109.0,1.3692465E-4
110.0,110.0,1.448276E-4
111.0,111.0,0.009096741
112.0,112.0,4.2810725E-6
113.0,113.0,0.0036617566
114.0,114.0,4.5378238E-6
115.0,115.0,7.269723E-5
116.0,116.0,1.8700861E-8
117.0,117.0,0.0027050655
118.0,118.0,0.004164085
119.0,119.0,0.07005553
120.0,120.0,0.0016219682
121.0,121.0,0.0048529175
122.0,122.0,1.338815E-5
123.0,123.0,1.9017875E-10
124.0,124.0,0.0038571889
125.0,125.0,0.0013029999
126.0,126.0,1.5294277E-4
127.0,127.0,3.849285E-5
128.0,128.0,4.489713E-4
129.0,129.0,0.021443658
130.0,130.0,0.024701023
131.0,131.0,0.037359983
132.0,132.0,0.004754996
133.0,133.0,3.8275581E-7
134.0,134.0,1.7940872E-7
135.0,135.0,0.001032345
136.0,136.0,2.5908765E-4
137.0,137.0,0.0108398795
138.0,138.0,0.017291263
139.0,139.0,1.6540105E-5
140.0,140.0,4.7262083E-7
141.0,141.0,1.5547508E-5
142.0,142.0,2.229853E-5
143.0,143.0,0.025219163
144.0,144.0,1.0926331E-8
145.0,145.0,2.7665324E-4
146.0,146.0,0.0067832535
147.0,147.0,2.3857492E-4
148.0,148.0,0.030770404
149.0,149.0,0.001614421
150.0,150.0,1.6980382E-4
151.0,151.0,1.4391588E-4
152.0,152.0,3.100292E-5
153.0,153.0,1.14039394E-4
154.0,154.0,7.774469E-5
155.0,155.0,0.0012560722
156.0,156.0,3.5933379E-6
157.0,157.0,1.4170549E-8
158.0,158.0,0.0010647314
159.0,159.0,0.16333431
160.0,160.0,0.0054124817
161.0,161.0,3.0821608E-5
162.0,162.0,0.0042718113
163.0,163.0,3.8587887E-4
164.0,164.0,2.2281657E-7
165.0,165.0,0.005599974
166.0,166.0,4.0325557E-7
167.0,167.0,1.2322259E-8
168.0,168.0,0.057323523
169.0,169.0,6.345989E-4
170.0,170.0,0.058471315
171.0,171.0,0.0023051363
172.0,172.0,9.0513356E-7
173.0,173.0,0.0032517498
