Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.68365E-12,0.000000001,0.000000006,0.999523583,0,0
6.82868E-12,0.000000003,0.000000007,0.999047165,0,0
2.67123E-11,0.00000001,0.000000029,0.998332539,0,0
4.12207E-11,0.000000028,0.000000044,0.997141496,0,0
5.83554E-11,0.000000102,0.000000063,0.993568366,0,0
8.84084E-11,0.000000253,0.000000095,0.988804192,0,0
1.19596E-9,0.000001037,0.000001283,0.981419724,0,0
1.53542E-9,0.000002594,0.000001647,0.978799428,0,0
6.14638E-9,0.000010487,0.000006594,0.974035255,0,0
1.61539E-8,0.000025208,0.00001733,0.970938542,0,0
2.04502E-8,0.000051828,0.000021939,0.967603621,0,0
4.19095E-8,0.000101829,0.00004496,0.963315865,0,0
7.9149E-8,0.000250369,0.000084906,0.957837065,0,0
1.05629E-7,0.000503502,0.000113308,0.951405431,0,0
1.55712E-7,0.001000319,0.000167025,0.94259171,0,0
3.1466E-7,0.002519981,0.000337462,0.926393521,0,0
5.30489E-7,0.005052853,0.0005688,0.912101,0,0
7.32131E-7,0.010057131,0.000784834,0.893282515,0,0
1.46596E-6,0.02503571,0.001570254,0.859456884,0,0
2.71043E-6,0.050218357,0.002899388,0.8296808,0,0
4.55323E-6,0.10016611,0.004861079,0.797284421,0,0
7.11329E-6,0.200529359,0.007573531,0.755359695,0,0
9.54039E-6,0.300739286,0.010131494,0.726774655,0,0
1.15512E-5,0.4009239,0.012240704,0.704144831,0,0
1.31372E-5,0.501090886,0.013898053,0.684849929,0,0
1.47697E-5,0.601373579,0.015598224,0.667698904,0.008695652,0
1.60305E-5,0.701559612,0.016907186,0.652215341,0.008695652,0
1.66335E-5,0.750643336,0.01753199,0.645069081,0.008695652,0
1.75044E-5,0.800446466,0.018432997,0.638161029,0.008695652,0
1.90421E-5,0.901203594,0.02001988,0.625059552,0.008695652,0
2.07168E-5,1.000701956,0.021742321,0.613149119,0.008695652,0
2.19914E-5,1.10087131,0.023049208,0.601953311,0.008695652,0
2.33045E-5,1.200929359,0.024391908,0.59147213,0.008695652,0
2.46265E-5,1.301501311,0.025739965,0.581467365,0.008695652,0
2.55498E-5,1.40174883,0.026679213,0.571939019,0.008695652,0
2.67257E-5,1.500931858,0.027872869,0.562887089,0.008695652,0
2.99528E-5,1.750546461,0.031133707,0.541924726,0.017391304,0
3.26462E-5,2.001035499,0.033838611,0.522868032,0.017391304,0
3.50821E-5,2.251420531,0.036271908,0.505240591,0.017391304,0
3.7958E-5,2.500216443,0.039128967,0.489042401,0.017391304,0
4.10405E-5,2.753045232,0.042172555,0.473797046,0.017391304,0
4.4146E-5,3.000524094,0.045219415,0.459980943,0.017391304,0
4.81648E-5,3.25432297,0.049133617,0.446879466,0.017391304,0
5.1567E-5,3.500134514,0.052422312,0.435207242,0.017391304,0
5.51488E-5,3.750645163,0.055860197,0.424011434,0.017391304,0
6.13752E-5,4.00202061,0.06177729,0.413768461,0.017391304,0.034482759
6.54281E-5,4.255860177,0.06558912,0.404240114,0.017391304,0.068965517
7.11653E-5,4.502287311,0.070932479,0.395664602,0.026086957,0.068965517
7.39685E-5,4.755660069,0.073521067,0.387327299,0.034782609,0.068965517
7.69961E-5,5.005713368,0.076300819,0.379466413,0.034782609,0.068965517
8.12162E-5,5.250696022,0.080147636,0.372081944,0.034782609,0.068965517
8.50306E-5,5.500964275,0.083597176,0.364935684,0.034782609,0.068965517
8.92245E-5,5.752926735,0.087360122,0.358027632,0.034782609,0.068965517
9.24809E-5,6.007949629,0.090260708,0.351357789,0.034782609,0.068965517
9.79475E-5,6.255584943,0.095088707,0.345164364,0.034782609,0.068965517
1.0182E-4,6.504868055,0.098478086,0.339209147,0.034782609,0.068965517
1.06179E-4,6.754522675,0.102262411,0.333492139,0.043478261,0.068965517
1.10199E-4,7.003940692,0.105725251,0.32801334,0.043478261,0.068965517
1.14709E-4,7.251945146,0.109577674,0.322772749,0.043478261,0.068965517
1.1737E-4,7.507427654,0.111835573,0.317532158,0.043478261,0.068965517
1.20564E-4,7.757609887,0.114530042,0.312529776,0.052173913,0.068965517
1.24175E-4,8.002552912,0.117557508,0.307765603,0.060869565,0.068965517
1.27568E-4,8.254708643,0.120382634,0.303001429,0.060869565,0.068965517
1.3229E-4,8.50076304,0.124285386,0.298475465,0.060869565,0.068965517
1.37153E-4,8.757384888,0.128267795,0.2939495,0.060869565,0.068965517
1.41402E-4,9.00844159,0.131718436,0.289661744,0.060869565,0.068965517
1.43716E-4,9.25107047,0.133586132,0.285612196,0.07826087,0.068965517
1.48352E-4,9.514316725,0.137303257,0.28132444,0.07826087,0.068965517
1.51883E-4,9.755045572,0.140113343,0.277513101,0.07826087,0.068965517
1.55028E-4,10.001251808,0.142600751,0.273701763,0.07826087,0.068965517
1.59018E-4,10.253035788,0.145736742,0.269890424,0.07826087,0.068965517
1.63354E-4,10.510583178,0.149117555,0.266079085,0.07826087,0.068965517
1.68833E-4,10.760126549,0.15335186,0.262505955,0.07826087,0.068965517
1.72384E-4,11.01632801,0.156074493,0.258932825,0.086956522,0.068965517
1.74693E-4,11.259529681,0.157834619,0.255597904,0.086956522,0.068965517
1.78178E-4,11.506663858,0.160478185,0.252262982,0.086956522,0.068965517
1.82961E-4,11.759933587,0.164079262,0.248928061,0.086956522,0.068965517
1.88648E-4,12.002282431,0.168320718,0.245831348,0.086956522,0.068965517
1.93212E-4,12.250433692,0.171693547,0.242734636,0.086956522,0.068965517
1.98495E-4,12.505467846,0.175564221,0.239637923,0.086956522,0.068965517
2.01433E-4,12.765356223,0.177701309,0.23654121,0.095652174,0.068965517
2.04998E-4,13.009734172,0.180278739,0.233682706,0.104347826,0.068965517
2.08773E-4,13.258250629,0.182991306,0.230824202,0.104347826,0.068965517
2.11825E-4,13.510724005,0.185170873,0.227965698,0.104347826,0.068965517
2.16024E-4,13.76719628,0.188150952,0.225107194,0.104347826,0.068965517
2.19234E-4,14.007001512,0.190414773,0.222486899,0.104347826,0.068965517
2.24298E-4,14.2508335,0.193960133,0.219866603,0.12173913,0.103448276
2.28411E-4,14.522246394,0.196816689,0.217008099,0.12173913,0.103448276
2.32959E-4,14.753468297,0.199951582,0.214626012,0.12173913,0.103448276
2.40048E-4,15.013983112,0.204790216,0.212005717,0.130434783,0.103448276
2.44573E-4,15.256980312,0.207848292,0.20962363,0.130434783,0.103448276
2.50018E-4,15.5043161,0.211497192,0.207241544,0.130434783,0.103448276
2.54223E-4,15.756523301,0.214291969,0.204859457,0.130434783,0.103448276
2.58962E-4,16.013574722,0.217417954,0.20247737,0.130434783,0.103448276
2.62405E-4,16.274027162,0.219673443,0.200095283,0.130434783,0.103448276
2.65533E-4,16.511472105,0.221711727,0.197951405,0.130434783,0.103448276
2.70692E-4,16.752827604,0.225049726,0.195807527,0.130434783,0.103448276
2.74648E-4,17.025541168,0.227590125,0.193425441,0.130434783,0.103448276
2.76293E-4,17.273746393,0.228641819,0.191281563,0.130434783,0.103448276
2.80843E-4,17.524789162,0.231535405,0.189137685,0.139130435,0.103448276
2.8562E-4,17.751067271,0.234550101,0.187232015,0.139130435,0.103448276
2.9135E-4,18.010511133,0.23813485,0.185088137,0.139130435,0.103448276
2.96928E-4,18.275921879,0.241592728,0.182944259,0.139130435,0.103448276
3.02947E-4,18.516005108,0.24528864,0.18103859,0.139130435,0.137931034
3.07242E-4,18.76002724,0.247903979,0.17913292,0.139130435,0.137931034
3.14378E-4,19.008626439,0.252209745,0.177227251,0.139130435,0.137931034
3.21983E-4,19.263113059,0.256744495,0.175321582,0.139130435,0.137931034
3.27353E-4,19.523444136,0.259913385,0.173415912,0.147826087,0.137931034
3.30894E-4,19.75378571,0.261988505,0.171748452,0.147826087,0.137931034
3.34717E-4,20.019876954,0.264215592,0.169842782,0.147826087,0.137931034
3.38999E-4,20.255367118,0.266693923,0.168175322,0.147826087,0.137931034
3.44905E-4,20.528705662,0.270085275,0.166269652,0.147826087,0.137931034
3.50441E-4,20.760520684,0.27323595,0.164602192,0.147826087,0.137931034
3.57882E-4,21.021150915,0.277428325,0.162934731,0.156521739,0.172413793
