Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.15351E-8,0.000001154,0.000016123,1,0,0
2.00301E-8,0.000004489,0.000027997,0.999528191,0,0
2.77431E-8,0.000012197,0.000038778,0.998820477,0,0
3.79563E-8,0.000028571,0.000053052,0.997640953,0,0
4.49904E-8,0.000050075,0.000062884,0.99646143,0,0
6.40884E-8,0.000105376,0.000089574,0.994102383,0,0
8.43521E-8,0.000250884,0.000117893,0.989620193,0,0
1.23923E-7,0.000503086,0.000173189,0.983722576,0,0
3.18236E-7,0.001026058,0.000444632,0.977589054,0,0
6.07374E-7,0.002533853,0.000848264,0.970276008,0,0
7.72509E-7,0.005042715,0.001078646,0.962019344,0,0
1.34581E-6,0.010000615,0.00187764,0.949988205,0,0
2.15555E-6,0.025029858,0.003003969,0.93064402,0,0
2.97594E-6,0.050289774,0.004142528,0.907289455,0,0
4.31429E-6,0.100163543,0.005994342,0.874734607,0,0
6.73392E-6,0.200169255,0.009324876,0.831328143,0,0
8.9178E-6,0.300578841,0.01231179,0.801132343,0,0
1.08037E-5,0.400559774,0.014876714,0.777070064,0,0.051282051
1.27224E-5,0.500771349,0.017472635,0.757018165,0,0.051282051
1.41037E-5,0.601397421,0.019332907,0.739325313,0.006493506,0.051282051
1.56029E-5,0.700858553,0.021344184,0.723519698,0.006493506,0.051282051
1.63344E-5,0.750556856,0.022322509,0.716206653,0.006493506,0.051282051
1.68768E-5,0.800373918,0.023046636,0.709129512,0.006493506,0.051282051
1.81478E-5,0.90026569,0.024739352,0.695682944,0.006493506,0.051282051
1.93389E-5,1.001504598,0.026320366,0.682944091,0.006493506,0.051282051
2.04762E-5,1.101079085,0.027825176,0.671148856,0.006493506,0.051282051
2.15137E-5,1.201650369,0.02919383,0.659825431,0.006493506,0.051282051
2.23736E-5,1.300409464,0.030325348,0.649209719,0.006493506,0.051282051
2.33313E-5,1.401300826,0.031582484,0.638829913,0.012987013,0.051282051
2.44129E-5,1.501634226,0.032998231,0.628921916,0.012987013,0.051282051
2.65962E-5,1.751240824,0.035843481,0.605803255,0.012987013,0.051282051
2.92018E-5,2.001561597,0.039217424,0.584571833,0.012987013,0.051282051
3.22124E-5,2.250465691,0.04308638,0.565463553,0.012987013,0.051282051
3.47673E-5,2.500419066,0.046345307,0.547770701,0.012987013,0.051282051
3.77939E-5,2.751839093,0.05017742,0.531493277,0.012987013,0.051282051
4.06911E-5,3.002341718,0.053816922,0.516395376,0.012987013,0.051282051
4.46893E-5,3.250354955,0.0587939,0.502712904,0.012987013,0.051282051
4.76968E-5,3.504053002,0.062503231,0.489738146,0.019480519,0.051282051
5.12041E-5,3.752160723,0.066792313,0.477942911,0.019480519,0.051282051
5.50762E-5,4.002676255,0.071482228,0.46685539,0.019480519,0.051282051
5.94532E-5,4.255476228,0.076727133,0.456475584,0.019480519,0.051282051
6.36233E-5,4.50588997,0.081669372,0.446803491,0.019480519,0.051282051
6.78163E-5,4.755776773,0.086585597,0.437839113,0.019480519,0.051282051
7.35355E-5,5.003067648,0.093207123,0.429582449,0.019480519,0.051282051
7.74319E-5,5.253434918,0.097663527,0.421797594,0.019480519,0.051282051
8.33828E-5,5.501630819,0.104385726,0.414484548,0.019480519,0.051282051
8.89628E-5,5.751667269,0.110598707,0.407643312,0.025974026,0.051282051
9.35779E-5,6.008416604,0.115672557,0.401037981,0.025974026,0.051282051
9.9273E-5,6.250444302,0.121854506,0.395140363,0.032467532,0.051282051
1.02834E-4,6.50376365,0.12567566,0.389242746,0.032467532,0.051282051
1.06269E-4,6.75429871,0.12933089,0.383581033,0.032467532,0.051282051
1.12709E-4,7.005304367,0.136102285,0.378155225,0.032467532,0.051282051
1.17394E-4,7.259779524,0.140961911,0.372965322,0.032467532,0.051282051
1.20553E-4,7.509953215,0.144208481,0.368011323,0.032467532,0.051282051
1.22688E-4,7.753168066,0.146387907,0.36329323,0.032467532,0.051282051
1.24932E-4,8.001068669,0.148667853,0.358575136,0.032467532,0.051282051
1.29485E-4,8.256105139,0.153255762,0.353857042,0.032467532,0.051282051
1.31957E-4,8.504495082,0.15572584,0.349374853,0.032467532,0.051282051
