x,y,species min
1.0,1.0,6.4294704E-6
2.0,2.0,0.05780924
3.0,3.0,3.492636E-14
4.0,4.0,1.1971972E-5
5.0,5.0,0.0023386613
6.0,6.0,0.060986042
7.0,7.0,6.147151E-4
8.0,8.0,4.903252E-6
9.0,9.0,0.0050852094
10.0,10.0,0.28692636
11.0,11.0,5.2636395E-5
12.0,12.0,0.025089782
13.0,13.0,1.3872933E-6
14.0,14.0,0.47179526
15.0,15.0,0.27084962
16.0,16.0,0.0016771421
17.0,17.0,0.22494526
18.0,18.0,0.5280905
19.0,19.0,0.0017367621
20.0,20.0,1.4714585E-4
21.0,21.0,0.075794734
22.0,22.0,7.898157E-5
23.0,23.0,0.17766489
24.0,24.0,1.1364358E-6
25.0,25.0,0.030921442
26.0,26.0,3.6625783E-10
27.0,27.0,0.0052704173
28.0,28.0,0.5735251
29.0,29.0,0.39372537
30.0,30.0,7.0430135E-5
31.0,31.0,1.4875535E-4
32.0,32.0,0.0055440767
33.0,33.0,0.4565115
34.0,34.0,0.3616436
35.0,35.0,0.08130702
36.0,36.0,3.420511E-4
37.0,37.0,0.019543115
38.0,38.0,4.4990977E-4
39.0,39.0,0.6366528
40.0,40.0,0.030527798
41.0,41.0,0.0118189575
42.0,42.0,2.860124E-4
43.0,43.0,0.0018881416
44.0,44.0,0.046521932
45.0,45.0,1.5876716E-4
46.0,46.0,0.011006499
47.0,47.0,0.3424265
48.0,48.0,5.159956E-5
49.0,49.0,0.39732227
50.0,50.0,0.028633723
51.0,51.0,0.40195233
52.0,52.0,2.740109E-4
53.0,53.0,0.16837361
54.0,54.0,2.9849265E-5
55.0,55.0,0.0058875023
56.0,56.0,3.7522017E-4
57.0,57.0,5.3119762E-5
58.0,58.0,0.2248588
59.0,59.0,3.1262007E-11
60.0,60.0,8.3873974E-4
61.0,61.0,5.167932E-5
62.0,62.0,6.3256957E-6
63.0,63.0,0.003880914
64.0,64.0,0.18932618
65.0,65.0,7.381314E-9
66.0,66.0,0.001917863
67.0,67.0,1.0999338E-7
68.0,68.0,0.013085536
69.0,69.0,0.5496084
70.0,70.0,5.39108E-5
71.0,71.0,0.26282972
72.0,72.0,1.264472E-12
73.0,73.0,0.56368035
74.0,74.0,0.3824634
75.0,75.0,0.32786435
76.0,76.0,6.9056588E-12
77.0,77.0,0.49721563
78.0,78.0,1.7445028E-7
79.0,79.0,0.52181363
80.0,80.0,0.35503298
81.0,81.0,3.0933664E-14
82.0,82.0,3.4418626E-4
83.0,83.0,0.43099615
84.0,84.0,1.6101252E-5
85.0,85.0,0.036217593
86.0,86.0,0.0012111325
87.0,87.0,0.60258627
88.0,88.0,0.53372025
89.0,89.0,0.028572248
90.0,90.0,0.5989451
91.0,91.0,3.8081312E-6
92.0,92.0,1.3803646E-6
93.0,93.0,0.37753302
94.0,94.0,1.2850502E-4
95.0,95.0,0.071694024
96.0,96.0,7.0141345E-5
97.0,97.0,0.0015899433
98.0,98.0,7.6260415E-10
99.0,99.0,0.14092965
100.0,100.0,0.07464549
101.0,101.0,0.4696151
102.0,102.0,0.024252687
103.0,103.0,1.3705977E-4
104.0,104.0,0.006137335
105.0,105.0,0.0016941024
106.0,106.0,3.0803613E-11
107.0,107.0,0.63615096
108.0,108.0,8.1444654E-4
109.0,109.0,1.7342619E-4
110.0,110.0,0.056621663
111.0,111.0,0.31733787
112.0,112.0,0.02481214
113.0,113.0,0.0010971059
114.0,114.0,2.6826726E-7
115.0,115.0,2.7075858E-4
116.0,116.0,2.1471172E-7
117.0,117.0,0.24984841
118.0,118.0,0.002799062
119.0,119.0,0.383877
120.0,120.0,0.4253077
121.0,121.0,0.36765197
122.0,122.0,9.699092E-4
123.0,123.0,9.674887E-16
124.0,124.0,0.22769742
125.0,125.0,0.01979998
126.0,126.0,0.0029077572
127.0,127.0,0.0017826582
128.0,128.0,2.989935E-4
129.0,129.0,0.4965977
130.0,130.0,0.21723482
131.0,131.0,0.29572138
132.0,132.0,0.36838788
133.0,133.0,5.6123215E-5
134.0,134.0,6.076565E-7
135.0,135.0,0.021386972
136.0,136.0,2.780011E-4
137.0,137.0,0.42816868
138.0,138.0,0.22133228
139.0,139.0,3.5038375E-4
140.0,140.0,4.613536E-5
141.0,141.0,2.6971334E-6
142.0,142.0,5.2527696E-5
143.0,143.0,0.5951409
144.0,144.0,7.538049E-9
145.0,145.0,0.08283276
146.0,146.0,0.0029486285
147.0,147.0,2.836827E-4
148.0,148.0,0.38559854
149.0,149.0,0.6327823
150.0,150.0,8.4363495E-4
151.0,151.0,3.5396114E-4
152.0,152.0,0.2489075
153.0,153.0,0.22035123
154.0,154.0,1.4161904E-4
155.0,155.0,0.27621266
156.0,156.0,0.024923326
157.0,157.0,7.3451734E-9
158.0,158.0,0.01948611
159.0,159.0,0.38922837
160.0,160.0,0.04926257
161.0,161.0,2.884879E-4
162.0,162.0,0.04168947
163.0,163.0,0.2549966
164.0,164.0,1.3012772E-5
165.0,165.0,0.20269965
166.0,166.0,5.1522573E-5
167.0,167.0,7.3575244E-9
168.0,168.0,0.16978285
169.0,169.0,0.020792145
170.0,170.0,0.50850934
171.0,171.0,0.44992152
172.0,172.0,4.6595815E-4
173.0,173.0,0.22283246
174.0,174.0,0.011802587
175.0,175.0,3.5412043E-7
176.0,176.0,1.2668996E-9
177.0,177.0,6.105484E-7
178.0,178.0,5.0817096E-5
179.0,179.0,0.00586162
180.0,180.0,0.25356087
