Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.13593E-6,0.000113593,0.0036506,1,0,0
1.28942E-6,0.000370342,0.00414185,0.999514681,0,0
1.28972E-6,0.000886142,0.004142805,0.998544043,0,0
1.29043E-6,0.001015185,0.004145074,0.998301383,0,0
1.55069E-6,0.002624349,0.004976912,0.995389469,0,0
2.88596E-6,0.005203078,0.009222911,0.993205533,0,0
4.05466E-6,0.010279496,0.012909586,0.98932298,0,0
6.53116E-6,0.03080695,0.020631803,0.980587236,0,0
7.07643E-6,0.05255447,0.022315868,0.972822131,0,0
1.27694E-5,0.100429369,0.039558851,0.959961174,0,0
1.86169E-5,0.201754373,0.056647795,0.943217666,0,0
2.51662E-5,0.30101848,0.075079665,0.932297986,0,0
2.82604E-5,0.401428832,0.083539822,0.923076923,0,0
2.88484E-5,0.527459283,0.085129946,0.912399903,0,0
3.02857E-5,0.600845941,0.088993853,0.906333414,0,0
3.52834E-5,0.700706613,0.102178798,0.899053628,0,0
3.69649E-5,0.751596221,0.106529594,0.895656394,0,0
3.73411E-5,0.807367613,0.107497315,0.892016501,0,0
4.34541E-5,0.902043885,0.122932012,0.886192672,0,0
4.46267E-5,1.003168696,0.125831845,0.880611502,0,0
4.78481E-5,1.100954641,0.133700698,0.875515652,0,0
5.02985E-5,1.204188283,0.139592077,0.870419801,0,0
5.30933E-5,1.341291004,0.146214128,0.864110653,0,0
5.75952E-5,1.425416198,0.156669659,0.86047076,0,0
5.978E-5,1.50233532,0.161652178,0.857316185,0,0
6.31329E-5,1.753178149,0.169184792,0.847367144,0,0.125
7.32096E-5,2.001040881,0.191029929,0.838388741,0,0.125
7.56592E-5,2.2548829,0.196167989,0.830138316,0,0.125
7.69734E-5,2.529277143,0.198897781,0.821402572,0,0.125
8.33229E-5,2.757736387,0.211829104,0.814608105,0,0.125
8.68448E-5,3.020814951,0.21882354,0.807085659,0,0.125
8.81836E-5,3.256937925,0.221449899,0.800533851,0,0.125
8.92836E-5,3.505217279,0.223594665,0.793739384,0.03030303,0.125
9.09911E-5,3.757226968,0.226900456,0.786944916,0.03030303,0.125
9.35304E-5,4.007255599,0.23176505,0.780393108,0.03030303,0.125
9.49736E-5,4.252502156,0.234502683,0.77408396,0.03030303,0.125
9.66345E-5,4.51137316,0.237629171,0.767532152,0.03030303,0.125
1.00534E-4,4.798340639,0.244870635,0.760495025,0.03030303,0.125
1.03333E-4,5.002685972,0.249983533,0.755641835,0.03030303,0.125
1.05647E-4,5.253033531,0.254159132,0.749818005,0.03030303,0.125
1.07201E-4,5.518920889,0.256936872,0.743751517,0.03030303,0.125
1.10139E-4,5.800338302,0.262132729,0.737442368,0.03030303,0.125
1.13229E-4,6.035989698,0.267518504,0.732346518,0.03030303,0.125
1.15675E-4,6.252978342,0.271727706,0.727735986,0.03030303,0.125
1.18589E-4,6.510890956,0.276678926,0.722397476,0.03030303,0.125
1.20484E-4,6.750337089,0.27986276,0.717544285,0.03030303,0.125
1.22142E-4,7.138487711,0.282625675,0.70977918,0.03030303,0.125
1.2291E-4,7.261054949,0.283899088,0.707352584,0.03030303,0.125
1.23575E-4,7.507625629,0.28499711,0.702499393,0.03030303,0.125
1.24427E-4,7.755523067,0.286398146,0.697646202,0.03030303,0.125
1.25101E-4,8.005099816,0.28750412,0.692793011,0.03030303,0.125
1.25672E-4,8.255857699,0.288437342,0.68793982,0.03030303,0.125
1.26829E-4,8.546338246,0.290321953,0.682358651,0.03030303,0.125
1.2877E-4,8.866706349,0.293461132,0.676292162,0.03030303,0.125
1.31491E-4,9.075801125,0.29781611,0.672409609,0.060606061,0.125
1.34827E-4,9.262330943,0.30308237,0.669012376,0.060606061,0.125
1.38422E-4,9.508817543,0.308669176,0.664644504,0.060606061,0.125
1.39554E-4,9.759428845,0.310409902,0.660276632,0.060606061,0.125
1.40784E-4,10.012229525,0.312291375,0.65590876,0.060606061,0.125
1.42919E-4,10.253455921,0.315532553,0.651783548,0.060606061,0.125
