x,y,species_4 logistic values
1.0,1.0,0.2856223
2.0,2.0,0.55826944
3.0,3.0,0.050690386
4.0,4.0,0.311489
5.0,5.0,0.42080185
6.0,6.0,0.18635635
7.0,7.0,0.39523032
8.0,8.0,0.26574546
9.0,9.0,0.46792144
10.0,10.0,0.38112897
11.0,11.0,0.34862328
12.0,12.0,0.40524462
13.0,13.0,0.26203275
14.0,14.0,0.6496121
15.0,15.0,0.44229496
16.0,16.0,0.25546685
17.0,17.0,0.54417485
18.0,18.0,0.6674373
19.0,19.0,0.41401348
20.0,20.0,0.2519708
21.0,21.0,0.45032173
22.0,22.0,0.31249645
23.0,23.0,0.59414876
24.0,24.0,0.21979079
25.0,25.0,0.53103846
26.0,26.0,0.11019231
27.0,27.0,0.563135
28.0,28.0,0.60372937
29.0,29.0,0.6140104
30.0,30.0,0.3268014
31.0,31.0,0.26173073
32.0,32.0,0.21182407
33.0,33.0,0.42919984
34.0,34.0,0.696339
35.0,35.0,0.43461105
36.0,36.0,0.31857994
37.0,37.0,0.18522272
38.0,38.0,0.43967918
39.0,39.0,0.62529844
40.0,40.0,0.68294984
41.0,41.0,0.3746585
42.0,42.0,0.32960832
43.0,43.0,0.29029793
44.0,44.0,0.47272167
45.0,45.0,0.24245532
46.0,46.0,0.39724115
47.0,47.0,0.43654668
48.0,48.0,0.28125268
49.0,49.0,0.4062742
50.0,50.0,0.41098967
51.0,51.0,0.40912518
52.0,52.0,0.14701267
53.0,53.0,0.3471732
54.0,54.0,0.014799781
55.0,55.0,0.34737292
56.0,56.0,0.29974836
57.0,57.0,0.028651943
58.0,58.0,0.61555153
59.0,59.0,0.0922515
60.0,60.0,0.21442406
61.0,61.0,0.03004267
62.0,62.0,0.29146037
63.0,63.0,0.3472762
64.0,64.0,0.4333823
65.0,65.0,0.16070119
66.0,66.0,0.23819257
67.0,67.0,0.18697275
68.0,68.0,0.35374865
69.0,69.0,0.6742373
70.0,70.0,0.32502407
71.0,71.0,0.66423917
72.0,72.0,0.07899414
73.0,73.0,0.4269454
74.0,74.0,0.43386322
75.0,75.0,0.6014181
76.0,76.0,0.07065121
77.0,77.0,0.44725204
78.0,78.0,0.26718935
79.0,79.0,0.67528325
80.0,80.0,0.6824042
81.0,81.0,0.05468945
82.0,82.0,0.3562549
83.0,83.0,0.4833412
84.0,84.0,0.29242602
85.0,85.0,0.18385957
86.0,86.0,0.4314596
87.0,87.0,0.58286446
88.0,88.0,0.4813993
89.0,89.0,0.46169615
90.0,90.0,0.6205902
91.0,91.0,0.34001434
92.0,92.0,0.2649682
93.0,93.0,0.33783776
94.0,94.0,0.26967922
95.0,95.0,0.2942717
96.0,96.0,0.014589576
97.0,97.0,0.26465452
98.0,98.0,0.13580404
99.0,99.0,0.5310376
100.0,100.0,0.28734922
101.0,101.0,0.5113439
102.0,102.0,0.56273174
103.0,103.0,0.09409433
104.0,104.0,0.49913406
105.0,105.0,0.2548232
106.0,106.0,0.09129923
107.0,107.0,0.57520795
108.0,108.0,0.35760292
109.0,109.0,0.33703217
110.0,110.0,0.51271427
111.0,111.0,0.57267475
112.0,112.0,0.16632698
113.0,113.0,0.4277003
114.0,114.0,0.2209044
115.0,115.0,0.34930912
116.0,116.0,0.15104674
117.0,117.0,0.39377433
118.0,118.0,0.3155417
119.0,119.0,0.34937024
120.0,120.0,0.6007944
121.0,121.0,0.38856062
122.0,122.0,0.27971587
123.0,123.0,0.029669888
124.0,124.0,0.6011663
125.0,125.0,0.43607306
126.0,126.0,0.47726256
127.0,127.0,0.37793067
128.0,128.0,0.15165322
129.0,129.0,0.5127567
130.0,130.0,0.59428465
131.0,131.0,0.46385586
132.0,132.0,0.4741148
133.0,133.0,0.09924334
134.0,134.0,0.1903535
135.0,135.0,0.4118166
136.0,136.0,0.15241301
137.0,137.0,0.50599533
138.0,138.0,0.5468243
139.0,139.0,0.36744362
140.0,140.0,0.026590593
141.0,141.0,0.2668585
142.0,142.0,0.35619184
143.0,143.0,0.5335838
144.0,144.0,0.1553871
145.0,145.0,0.63331056
146.0,146.0,0.32469523
147.0,147.0,0.15165322
148.0,148.0,0.48605943
149.0,149.0,0.6400016
150.0,150.0,0.35760292
151.0,151.0,0.32352647
152.0,152.0,0.55482894
153.0,153.0,0.57382256
154.0,154.0,0.47000337
155.0,155.0,0.6327074
156.0,156.0,0.1806573
157.0,157.0,0.15669361
158.0,158.0,0.4384425
159.0,159.0,0.40893278
160.0,160.0,0.46231213
161.0,161.0,0.3189903
162.0,162.0,0.5197547
163.0,163.0,0.63194966
164.0,164.0,0.29244393
165.0,165.0,0.5928401
166.0,166.0,0.028651943
167.0,167.0,0.16166367
168.0,168.0,0.33996785
169.0,169.0,0.41344106
170.0,170.0,0.50006914
171.0,171.0,0.54770386
172.0,172.0,0.43509007
173.0,173.0,0.6422031
174.0,174.0,0.37695408
175.0,175.0,0.23247212
176.0,176.0,0.11838306
177.0,177.0,0.18604983
178.0,178.0,0.27434614
179.0,179.0,0.21086897
180.0,180.0,0.63550407
181.0,181.0,0.35720673
182.0,182.0,0.46514374
183.0,183.0,0.46852642
184.0,184.0,0.4074031
185.0,185.0,0.6697601
186.0,186.0,0.3870669
187.0,187.0,0.5023972
188.0,188.0,0.36641136
189.0,189.0,0.40878236
190.0,190.0,0.6618307
191.0,191.0,0.35020897
192.0,192.0,0.45312956
193.0,193.0,0.5392751
194.0,194.0,0.6910316
195.0,195.0,0.67448944
196.0,196.0,0.13687135
197.0,197.0,0.51941144
198.0,198.0,0.35619184
199.0,199.0,0.4058423
200.0,200.0,0.2763692
201.0,201.0,0.43509007
202.0,202.0,0.59799594
203.0,203.0,0.2848784
204.0,204.0,0.2756687
205.0,205.0,0.4971842
206.0,206.0,0.6126399
207.0,207.0,0.61527985
208.0,208.0,0.29015356
209.0,209.0,0.056662086
210.0,210.0,0.42787266
211.0,211.0,0.10324547
212.0,212.0,0.1921475
213.0,213.0,0.18036318
214.0,214.0,0.16158889
215.0,215.0,0.2670579
216.0,216.0,0.4026177
217.0,217.0,0.50819314
218.0,218.0,0.464783
219.0,219.0,0.22416843
220.0,220.0,0.26479968
221.0,221.0,0.445603
