x,y,species avg
1.0,1.0,0.3294987
2.0,2.0,0.5736312
3.0,3.0,0.08927739
4.0,4.0,0.34206235
5.0,5.0,0.41209307
6.0,6.0,0.13487649
7.0,7.0,0.39406344
8.0,8.0,0.2776237
9.0,9.0,0.47711626
10.0,10.0,0.41303834
11.0,11.0,0.35748893
12.0,12.0,0.42644253
13.0,13.0,0.28807792
14.0,14.0,0.6325457
15.0,15.0,0.46959898
16.0,16.0,0.30974075
17.0,17.0,0.5475234
18.0,18.0,0.6479338
19.0,19.0,0.40619928
20.0,20.0,0.28893757
21.0,21.0,0.4436615
22.0,22.0,0.3316016
23.0,23.0,0.521986
24.0,24.0,0.2545674
25.0,25.0,0.5366199
26.0,26.0,0.13133958
27.0,27.0,0.5754354
28.0,28.0,0.5838175
29.0,29.0,0.5903565
30.0,30.0,0.33910042
31.0,31.0,0.29429066
32.0,32.0,0.18491115
33.0,33.0,0.49137205
34.0,34.0,0.6694318
35.0,35.0,0.43564582
36.0,36.0,0.32222217
37.0,37.0,0.14671622
38.0,38.0,0.46516478
39.0,39.0,0.6422118
40.0,40.0,0.666525
41.0,41.0,0.38005063
42.0,42.0,0.34405822
43.0,43.0,0.26069674
44.0,44.0,0.47149214
45.0,45.0,0.2836602
46.0,46.0,0.3915978
47.0,47.0,0.45704204
48.0,48.0,0.2947374
49.0,49.0,0.45164323
50.0,50.0,0.37809348
51.0,51.0,0.48413453
52.0,52.0,0.117472
53.0,53.0,0.39380598
54.0,54.0,0.01071819
55.0,55.0,0.3764821
56.0,56.0,0.31238028
57.0,57.0,0.021709394
58.0,58.0,0.6040953
59.0,59.0,0.13016587
60.0,60.0,0.19393523
61.0,61.0,0.02233869
62.0,62.0,0.3326619
63.0,63.0,0.3110793
64.0,64.0,0.4451878
65.0,65.0,0.19554028
66.0,66.0,0.19100656
67.0,67.0,0.20856826
68.0,68.0,0.33355695
69.0,69.0,0.6515038
70.0,70.0,0.31042713
71.0,71.0,0.65038055
72.0,72.0,0.12583044
73.0,73.0,0.44385982
74.0,74.0,0.46596357
75.0,75.0,0.61305386
76.0,76.0,0.08993281
77.0,77.0,0.47501484
78.0,78.0,0.32039317
79.0,79.0,0.65205425
80.0,80.0,0.64447415
81.0,81.0,0.101936
82.0,82.0,0.37253946
83.0,83.0,0.51473635
84.0,84.0,0.31313142
85.0,85.0,0.14609012
86.0,86.0,0.4431945
87.0,87.0,0.573047
88.0,88.0,0.5247049
89.0,89.0,0.45855463
90.0,90.0,0.6072869
91.0,91.0,0.36718157
92.0,92.0,0.28966013
93.0,93.0,0.4143704
94.0,94.0,0.22016457
95.0,95.0,0.3348251
96.0,96.0,0.010628376
97.0,97.0,0.3148673
98.0,98.0,0.18963139
99.0,99.0,0.4577334
100.0,100.0,0.3311015
101.0,101.0,0.55212265
102.0,102.0,0.58329314
103.0,103.0,0.081563555
104.0,104.0,0.48625556
105.0,105.0,0.30937955
106.0,106.0,0.12951303
107.0,107.0,0.6198882
108.0,108.0,0.36083865
109.0,109.0,0.35218012
110.0,110.0,0.53793895
111.0,111.0,0.53996354
112.0,112.0,0.11955874
113.0,113.0,0.39997673
114.0,114.0,0.23811468
115.0,115.0,0.3543056
116.0,116.0,0.17151703
117.0,117.0,0.48618332
118.0,118.0,0.27762914
119.0,119.0,0.42057833
120.0,120.0,0.5835096
121.0,121.0,0.4733267
122.0,122.0,0.23061469
123.0,123.0,0.055033293
124.0,124.0,0.6025452
125.0,125.0,0.4148029
126.0,126.0,0.4504184
127.0,127.0,0.3876467
128.0,128.0,0.11959562
129.0,129.0,0.54310125
130.0,130.0,0.57327896
131.0,131.0,0.46397662
132.0,132.0,0.54000163
133.0,133.0,0.090168126
134.0,134.0,0.20598125
135.0,135.0,0.4024491
136.0,136.0,0.11994177
137.0,137.0,0.52189916
138.0,138.0,0.54887885
139.0,139.0,0.3783516
140.0,140.0,0.02076023
141.0,141.0,0.28306293
142.0,142.0,0.3614042
143.0,143.0,0.533467
144.0,144.0,0.19237892
145.0,145.0,0.599081
146.0,146.0,0.3513413
