x,y,species max
1.0,1.0,0.4263937
2.0,2.0,0.59935206
3.0,3.0,0.16012521
4.0,4.0,0.42339623
5.0,5.0,0.479429
6.0,6.0,0.18857692
7.0,7.0,0.46411636
8.0,8.0,0.37594768
9.0,9.0,0.50697273
10.0,10.0,0.47857744
11.0,11.0,0.43446705
12.0,12.0,0.47729772
13.0,13.0,0.37589213
14.0,14.0,0.6496121
15.0,15.0,0.5068901
16.0,16.0,0.38173854
17.0,17.0,0.5805128
18.0,18.0,0.6674373
19.0,19.0,0.45786482
20.0,20.0,0.37106657
21.0,21.0,0.4956567
22.0,22.0,0.4064457
23.0,23.0,0.59414876
24.0,24.0,0.3378171
25.0,25.0,0.5527525
26.0,26.0,0.23627746
27.0,27.0,0.60212696
28.0,28.0,0.60372937
29.0,29.0,0.6140104
30.0,30.0,0.4148374
31.0,31.0,0.37697452
32.0,32.0,0.26728553
33.0,33.0,0.5187557
34.0,34.0,0.696339
35.0,35.0,0.48780158
36.0,36.0,0.39639995
37.0,37.0,0.20650563
38.0,38.0,0.5262432
39.0,39.0,0.68841606
40.0,40.0,0.68735236
41.0,41.0,0.45036617
42.0,42.0,0.41012576
43.0,43.0,0.32359156
44.0,44.0,0.5109587
45.0,45.0,0.36519694
46.0,46.0,0.4620334
47.0,47.0,0.5254773
48.0,48.0,0.37537736
49.0,49.0,0.49527457
50.0,50.0,0.43075648
51.0,51.0,0.52364177
52.0,52.0,0.16484769
53.0,53.0,0.44060874
54.0,54.0,0.016478878
55.0,55.0,0.43020236
56.0,56.0,0.38603556
57.0,57.0,0.03932907
58.0,58.0,0.61555153
59.0,59.0,0.22517326
60.0,60.0,0.29306537
61.0,61.0,0.04031312
62.0,62.0,0.430064
63.0,63.0,0.3986482
64.0,64.0,0.48335037
65.0,65.0,0.30295706
66.0,66.0,0.26203653
67.0,67.0,0.3069427
68.0,68.0,0.3900624
69.0,69.0,0.6742373
70.0,70.0,0.3978445
71.0,71.0,0.6668644
72.0,72.0,0.2096957
73.0,73.0,0.5101536
74.0,74.0,0.5041351
75.0,75.0,0.63960415
76.0,76.0,0.18586889
77.0,77.0,0.51773345
78.0,78.0,0.43669447
79.0,79.0,0.67528325
80.0,80.0,0.6824042
81.0,81.0,0.18409805
82.0,82.0,0.43282077
83.0,83.0,0.55034995
84.0,84.0,0.4091959
85.0,85.0,0.20572436
86.0,86.0,0.48939094
87.0,87.0,0.59132487
88.0,88.0,0.54575455
89.0,89.0,0.50112414
90.0,90.0,0.6205902
91.0,91.0,0.45553833
92.0,92.0,0.3776448
93.0,93.0,0.48456436
94.0,94.0,0.2966785
95.0,95.0,0.41619816
96.0,96.0,0.016355308
97.0,97.0,0.38731498
98.0,98.0,0.2960319
99.0,99.0,0.5310376
100.0,100.0,0.4136487
101.0,101.0,0.5858924
102.0,102.0,0.6130885
103.0,103.0,0.14357907
104.0,104.0,0.5419059
105.0,105.0,0.38134417
106.0,106.0,0.22412436
107.0,107.0,0.68529344
108.0,108.0,0.427681
109.0,109.0,0.42290494
110.0,110.0,0.5635877
111.0,111.0,0.57267475
112.0,112.0,0.17878564
113.0,113.0,0.47683942
114.0,114.0,0.34091642
115.0,115.0,0.42065632
116.0,116.0,0.280966
117.0,117.0,0.5495393
118.0,118.0,0.3598446
119.0,119.0,0.4885612
120.0,120.0,0.6007944
121.0,121.0,0.5187298
122.0,122.0,0.30863935
123.0,123.0,0.11811736
124.0,124.0,0.61256707
125.0,125.0,0.4622655
126.0,126.0,0.51052004
127.0,127.0,0.43819234
128.0,128.0,0.16734463
129.0,129.0,0.559267
130.0,130.0,0.5960119
131.0,131.0,0.50176066
132.0,132.0,0.595321
133.0,133.0,0.15765432
134.0,134.0,0.30630547
135.0,135.0,0.45010424
136.0,136.0,0.16775027
137.0,137.0,0.53351456
138.0,138.0,0.5813268
139.0,139.0,0.4387
140.0,140.0,0.03782814
141.0,141.0,0.37740567
142.0,142.0,0.43849245
143.0,143.0,0.56641775
144.0,144.0,0.29853007
145.0,145.0,0.63331056
146.0,146.0,0.41444698
147.0,147.0,0.16734463
148.0,148.0,0.5472015
149.0,149.0,0.69545656
150.0,150.0,0.427681
151.0,151.0,0.39908242
152.0,152.0,0.5663224
153.0,153.0,0.58113116
154.0,154.0,0.5066842
155.0,155.0,0.6327074
156.0,156.0,0.18665467
157.0,157.0,0.2996263
158.0,158.0,0.4634469
159.0,159.0,0.4961357
160.0,160.0,0.50580144
161.0,161.0,0.4043534
162.0,162.0,0.534135
163.0,163.0,0.64640975
164.0,164.0,0.40920693
165.0,165.0,0.60607886
166.0,166.0,0.03932907
167.0,167.0,0.30375004
168.0,168.0,0.43814647
169.0,169.0,0.45092303
170.0,170.0,0.5515431
171.0,171.0,0.634799
172.0,172.0,0.5237919
173.0,173.0,0.6422031
174.0,174.0,0.45156184
175.0,175.0,0.35490355
176.0,176.0,0.23456591
177.0,177.0,0.30315965
178.0,178.0,0.37140265
179.0,179.0,0.26669443
180.0,180.0,0.63550407
181.0,181.0,0.46086642
182.0,182.0,0.52336556
183.0,183.0,0.5045111
184.0,184.0,0.4289623
185.0,185.0,0.6697601
186.0,186.0,0.46745884
187.0,187.0,0.5317971
188.0,188.0,0.41425684
189.0,189.0,0.44857302
190.0,190.0,0.66631466
191.0,191.0,0.4211322
192.0,192.0,0.51031655
193.0,193.0,0.5392751
194.0,194.0,0.6910316
195.0,195.0,0.67448944
196.0,196.0,0.24960734
197.0,197.0,0.52499604
198.0,198.0,0.43849245
199.0,199.0,0.48507705
200.0,200.0,0.37563804
201.0,201.0,0.5237919
202.0,202.0,0.61643475
203.0,203.0,0.3722003
204.0,204.0,0.3981184
205.0,205.0,0.5230289
206.0,206.0,0.6126399
207.0,207.0,0.63693017
208.0,208.0,0.44059893
209.0,209.0,0.18708745
