x,y,species median
1.0,1.0,0.32888508
2.0,2.0,0.573745
3.0,3.0,0.062878035
4.0,4.0,0.33599746
5.0,5.0,0.40611142
6.0,6.0,0.16319706
7.0,7.0,0.39523032
8.0,8.0,0.26574546
9.0,9.0,0.46792144
10.0,10.0,0.38536495
11.0,11.0,0.34862328
12.0,12.0,0.40852302
13.0,13.0,0.26203275
14.0,14.0,0.63617384
15.0,15.0,0.45302182
16.0,16.0,0.30504385
17.0,17.0,0.54417485
18.0,18.0,0.6427876
19.0,19.0,0.41401348
20.0,20.0,0.26439515
21.0,21.0,0.45032173
22.0,22.0,0.31249645
23.0,23.0,0.5201321
24.0,24.0,0.21979079
25.0,25.0,0.54280025
26.0,26.0,0.11019231
27.0,27.0,0.5727587
28.0,28.0,0.58223975
29.0,29.0,0.5859051
30.0,30.0,0.3268014
31.0,31.0,0.2675185
32.0,32.0,0.20753255
33.0,33.0,0.49774107
34.0,34.0,0.66840297
35.0,35.0,0.43461105
36.0,36.0,0.31857994
37.0,37.0,0.18522272
38.0,38.0,0.49302247
39.0,39.0,0.63554364
40.0,40.0,0.6675761
41.0,41.0,0.3746585
42.0,42.0,0.32960832
43.0,43.0,0.29029793
44.0,44.0,0.47272167
45.0,45.0,0.26129523
46.0,46.0,0.39724115
47.0,47.0,0.43654668
48.0,48.0,0.28125268
49.0,49.0,0.44498736
50.0,50.0,0.4044878
51.0,51.0,0.49064317
52.0,52.0,0.14701267
53.0,53.0,0.38704407
54.0,54.0,0.014799781
55.0,55.0,0.35729754
56.0,56.0,0.29974836
57.0,57.0,0.02227855
58.0,58.0,0.60241866
59.0,59.0,0.0922515
60.0,60.0,0.21329254
61.0,61.0,0.022613768
62.0,62.0,0.330327
63.0,63.0,0.3472762
64.0,64.0,0.43408698
65.0,65.0,0.16070119
66.0,66.0,0.23819257
67.0,67.0,0.18697275
68.0,68.0,0.35374865
69.0,69.0,0.64650595
70.0,70.0,0.32502407
71.0,71.0,0.65652734
72.0,72.0,0.102858044
73.0,73.0,0.43258563
74.0,74.0,0.45977843
75.0,75.0,0.6062547
76.0,76.0,0.07065121
77.0,77.0,0.4659606
78.0,78.0,0.34790513
79.0,79.0,0.6470798
80.0,80.0,0.6379623
81.0,81.0,0.081752025
82.0,82.0,0.3562549
83.0,83.0,0.51451594
84.0,84.0,0.29242602
85.0,85.0,0.18385957
86.0,86.0,0.43357632
87.0,87.0,0.57182395
88.0,88.0,0.5265063
89.0,89.0,0.46169615
90.0,90.0,0.60484254
91.0,91.0,0.37424093
92.0,92.0,0.2649682
93.0,93.0,0.41718003
94.0,94.0,0.26967922
95.0,95.0,0.29518223
