Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.42425E-11,0.000000005,0.00000008,1,0,0
7.7058E-11,0.000000013,0.000000114,0.999759904,0,0
1.15396E-10,0.000000034,0.000000171,0.999279712,0,0
2.83313E-10,0.000000128,0.00000042,0.998079232,0,0
4.02659E-10,0.000000271,0.000000597,0.997118848,0,0
7.05623E-10,0.000001055,0.000001047,0.993997599,0,0
1.37618E-9,0.000002532,0.000002041,0.990636255,0,0
3.96421E-9,0.000010347,0.00000588,0.983193277,0,0
6.44045E-9,0.000025241,0.000009554,0.976470588,0,0
1.31458E-8,0.000050855,0.0000195,0.969747899,0,0
2.44312E-8,0.000101857,0.00003624,0.963505402,0,0
4.93299E-8,0.000251089,0.00007317,0.953661465,0,0
9.42193E-8,0.00050449,0.000139745,0.944537815,0,0
1.69149E-7,0.001001361,0.000250852,0.935414166,0,0
3.08229E-7,0.00250488,0.000457016,0.920048019,0,0
4.49737E-7,0.005023996,0.000666692,0.904441777,0,0
6.71003E-7,0.010004713,0.000994371,0.883073229,0,0
1.22602E-6,0.025029926,0.001815368,0.844417767,0,0
2.21829E-6,0.050048479,0.003279799,0.808883553,0,0
3.77284E-6,0.100077031,0.005565461,0.767827131,0,0
6.54583E-6,0.200442117,0.009616649,0.721968788,0,0
9.78467E-6,0.300207935,0.014306854,0.692196879,0,0
1.23441E-5,0.40050095,0.017981833,0.670348139,0,0
1.4689E-5,0.500731663,0.021324829,0.652340936,0,0
1.66858E-5,0.600470044,0.024153725,0.637214886,0,0
1.89676E-5,0.700064968,0.027366368,0.623769508,0,0
2.00806E-5,0.751004326,0.028925733,0.617527011,0,0
2.13856E-5,0.800741274,0.030747829,0.611764706,0,0
2.34126E-5,0.901570979,0.033564409,0.600960384,0,0
2.51022E-5,1.001122973,0.035899603,0.591116447,0,0
2.63828E-5,1.101787437,0.037662042,0.581752701,0,0
2.77675E-5,1.202222583,0.039560622,0.572869148,0,0
2.91032E-5,1.301793666,0.041384811,0.564465786,0,0
3.05283E-5,1.400074191,0.043323474,0.556542617,0,0
3.15594E-5,1.502642211,0.044721289,0.548619448,0,0
3.51533E-5,1.751815029,0.04956175,0.530612245,0,0
3.88511E-5,2.001819363,0.054490991,0.514285714,0,0
4.22102E-5,2.252717465,0.058924781,0.49939976,0,0
4.65979E-5,2.5004018,0.064653907,0.485954382,0,0
5.20919E-5,2.754365872,0.07173002,0.473469388,0,0
5.63562E-5,3.003896111,0.07714885,0.46242497,0,0
6.19152E-5,3.252917111,0.084118639,0.452340936,0,0
6.88811E-5,3.50076426,0.092705235,0.443217287,0,0
7.29143E-5,3.755890943,0.097603641,0.43457383,0,0
7.81185E-5,4.004521268,0.103846625,0.42665066,0,0
8.36303E-5,4.254800179,0.110365054,0.419207683,0,0.047619048
8.86177E-5,4.505496342,0.116182084,0.412244898,0,0.047619048
9.22436E-5,4.758426498,0.120363639,0.405522209,0,0.047619048
9.56713E-5,5.00291791,0.12428042,0.399279712,0,0.047619048
1.00537E-4,5.258314711,0.12978044,0.393037215,0,0.047619048
1.03647E-4,5.503532015,0.133260125,0.38727491,0,0.047619048
1.08917E-4,5.759092577,0.139093755,0.381512605,0.012345679,0.047619048
1.14771E-4,6.006620247,0.145481675,0.376230492,0.012345679,0.047619048
1.19305E-4,6.252664415,0.15036546,0.371188475,0.012345679,0.047619048
1.22445E-4,6.506584006,0.153714195,0.366146459,0.012345679,0.047619048
1.26375E-4,6.755549268,0.15786903,0.361344538,0.012345679,0.047619048
1.32412E-4,7.001693899,0.164171978,0.356782713,0.012345679,0.047619048
1.39139E-4,7.259992068,0.171085848,0.352220888,0.012345679,0.047619048
1.42666E-4,7.513544129,0.174665493,0.34789916,0.012345679,0.047619048
1.46647E-4,7.760059093,0.178668093,0.343817527,0.012345679,0.047619048
1.49143E-4,8.01211412,0.181158477,0.339735894,0.012345679,0.047619048
