x,y,species median
1.0,1.0,0.044991087
2.0,2.0,6.6514255E-4
3.0,3.0,0.32125726
4.0,4.0,0.62982845
5.0,5.0,0.34028184
6.0,6.0,3.164129E-4
7.0,7.0,0.17331974
8.0,8.0,0.55655533
9.0,9.0,9.199748E-4
10.0,10.0,0.3520237
11.0,11.0,0.31145933
12.0,12.0,0.4788774
13.0,13.0,0.45882428
14.0,14.0,0.0028938146
15.0,15.0,0.059022598
16.0,16.0,0.707336
17.0,17.0,0.009315509
18.0,18.0,0.017067637
19.0,19.0,0.0015462837
20.0,20.0,0.5631467
21.0,21.0,0.08044147
22.0,22.0,0.4652433
23.0,23.0,0.0028807463
24.0,24.0,0.012331494
25.0,25.0,0.45460343
26.0,26.0,0.6329997
27.0,27.0,5.310258E-5
28.0,28.0,0.008222271
29.0,29.0,0.002410641
30.0,30.0,0.15289973
31.0,31.0,0.64898396
32.0,32.0,0.009343949
33.0,33.0,0.046117667
34.0,34.0,0.0011972252
35.0,35.0,0.14333102
36.0,36.0,0.15500776
37.0,37.0,8.6643864E-5
38.0,38.0,0.15481567
39.0,39.0,0.08745411
40.0,40.0,3.0616888E-5
41.0,41.0,0.5545792
42.0,42.0,0.25587028
43.0,43.0,0.14628847
44.0,44.0,0.38489783
45.0,45.0,0.74178517
46.0,46.0,0.5038953
47.0,47.0,0.054599587
48.0,48.0,0.6588741
49.0,49.0,0.07070025
50.0,50.0,0.20216823
51.0,51.0,0.037463624
52.0,52.0,0.009232459
53.0,53.0,0.49374092
54.0,54.0,3.351867E-6
55.0,55.0,0.58486027
56.0,56.0,0.38002622
57.0,57.0,0.0014634376
58.0,58.0,0.001858925
59.0,59.0,0.26548433
60.0,60.0,6.800053E-4
61.0,61.0,2.7370843E-4
62.0,62.0,0.042873606
63.0,63.0,1.4033302E-5
64.0,64.0,0.20122789
65.0,65.0,0.053427197
66.0,66.0,1.0139756E-5
67.0,67.0,0.103452645
68.0,68.0,0.029406892
69.0,69.0,0.020331675
70.0,70.0,0.008134245
71.0,71.0,6.987485E-4
72.0,72.0,0.06041622
73.0,73.0,0.2112149
74.0,74.0,0.051149704
75.0,75.0,0.017672328
76.0,76.0,0.5837604
77.0,77.0,0.25355586
78.0,78.0,0.615088
79.0,79.0,0.03493036
80.0,80.0,0.0061428873
81.0,81.0,0.050986324
82.0,82.0,0.25540155
83.0,83.0,0.28875783
84.0,84.0,0.024280302
85.0,85.0,1.830511E-4
86.0,86.0,0.25523397
87.0,87.0,0.034666095
88.0,88.0,0.29806697
89.0,89.0,0.09568418
90.0,90.0,0.006081846
91.0,91.0,0.36257523
92.0,92.0,0.58081514
93.0,93.0,0.05541148
94.0,94.0,1.3064139E-6
95.0,95.0,0.14148863
96.0,96.0,9.390381E-6
97.0,97.0,0.4514295
98.0,98.0,0.24216107
99.0,99.0,0.0029365106
100.0,100.0,0.5468937
101.0,101.0,0.04285164
102.0,102.0,0.0019368541
103.0,103.0,3.2558583E-4
104.0,104.0,2.2665747E-5
105.0,105.0,0.60169345
106.0,106.0,0.25425157
107.0,107.0,0.060642846
108.0,108.0,0.26826724
109.0,109.0,0.32126
110.0,110.0,0.366863
111.0,111.0,0.050787564
112.0,112.0,8.72534E-4
113.0,113.0,0.047536097
114.0,114.0,0.121195756
115.0,115.0,0.423331
116.0,116.0,0.006149122
117.0,117.0,0.060886666
118.0,118.0,0.015953477
119.0,119.0,0.21141478
120.0,120.0,0.008739687
121.0,121.0,0.12442746
122.0,122.0,5.8943688E-6
123.0,123.0,0.5792161
124.0,124.0,0.0022080452
125.0,125.0,0.08424072
126.0,126.0,8.028788E-6
127.0,127.0,0.016432865
128.0,128.0,0.0026068029
129.0,129.0,0.045968655
130.0,130.0,0.0034975633
131.0,131.0,0.51557076
132.0,132.0,0.04259747
133.0,133.0,4.3094296E-5
134.0,134.0,0.0931365
135.0,135.0,0.2703883
136.0,136.0,0.007329761
137.0,137.0,0.062433697
138.0,138.0,0.016148794
139.0,139.0,0.13752785
140.0,140.0,3.3611193E-4
141.0,141.0,0.24726294
142.0,142.0,0.27908063
143.0,143.0,0.022582613
144.0,144.0,0.18545714
145.0,145.0,0.00229567
146.0,146.0,0.3008704
147.0,147.0,0.0082891565
148.0,148.0,0.09217544
149.0,149.0,0.057532083
150.0,150.0,0.37538803
151.0,151.0,0.2198439
152.0,152.0,0.007903501
153.0,153.0,0.011806402
154.0,154.0,1.5346612E-6
155.0,155.0,0.002285795
156.0,156.0,1.5737707E-4
157.0,157.0,0.34819946
158.0,158.0,0.012833184
159.0,159.0,0.057916217
160.0,160.0,0.55986184
161.0,161.0,0.27313015
162.0,162.0,0.035190396
163.0,163.0,0.007433887
164.0,164.0,0.0049310573
165.0,165.0,0.002186433
166.0,166.0,0.001207739
167.0,167.0,0.29377776
168.0,168.0,0.541332
169.0,169.0,0.052817903
170.0,170.0,0.045259163
171.0,171.0,0.07538876
172.0,172.0,0.44078153
173.0,173.0,0.002580493
174.0,174.0,0.5681684
175.0,175.0,0.40711766
176.0,176.0,0.022272788
177.0,177.0,0.1076523
178.0,178.0,0.23323795
179.0,179.0,0.012622989
180.0,180.0,0.0017387208
181.0,181.0,0.56207824
182.0,182.0,0.04737764
183.0,183.0,0.20430224
184.0,184.0,0.24997923
185.0,185.0,9.943706E-4
186.0,186.0,0.10470866
187.0,187.0,0.081450365
188.0,188.0,0.0046104044
189.0,189.0,0.06382697
190.0,190.0,0.0028155025
191.0,191.0,0.077645056
192.0,192.0,0.05241358
193.0,193.0,0.021318626
194.0,194.0,0.004771039
195.0,195.0,0.0066520274
196.0,196.0,0.243123
197.0,197.0,0.018919535
198.0,198.0,0.27481648
199.0,199.0,0.60670745
200.0,200.0,0.030997967
201.0,201.0,0.5043246
202.0,202.0,0.029021597
203.0,203.0,0.0012749782
204.0,204.0,0.44904605
205.0,205.0,0.049110733
206.0,206.0,0.005288488
207.0,207.0,0.027166376
208.0,208.0,0.18396875
209.0,209.0,0.15574327
210.0,210.0,0.007213744
211.0,211.0,9.5987925E-4
212.0,212.0,0.41243824
213.0,213.0,0.0012608386
214.0,214.0,0.26787776
