X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0031243759680445846,59.15088982747918,0.667047459884467
2.0,2.0,train,5.091209704577477E-4,21.597941169710417,0.2461146232352462
6.0,6.0,train,0.001935515671211483,47.776473984631835,0.5537911353066259
7.0,7.0,train,4.984373302284332E-4,21.23654973165587,0.24220090306032155
8.0,8.0,train,0.005973209527537374,83.0306151023914,0.7929682564609486
9.0,9.0,train,0.00478726804965351,72.62093787807488,0.7542828904987982
10.0,10.0,train,0.005730538285221681,80.10223717582329,0.7860765829689326
11.0,11.0,train,0.00682111115656805,90.75315335956107,0.8139144960036685
14.0,14.0,train,0.01143681095725749,100.0,0.8800035572897116
15.0,15.0,train,0.004084035441296153,68.20609147137681,0.7236645130639389
17.0,17.0,train,0.0011378630500801918,31.622384546638468,0.4218407815594909
18.0,18.0,train,0.005077646476047091,74.11346915185354,0.7650331146287704
19.0,19.0,train,0.0033675859189047164,61.42951932896919,0.6834825627547506
20.0,20.0,train,2.2872477443029607E-4,11.627391624756925,0.12790515308591116
21.0,21.0,train,7.516434327286145E-4,25.969718736445984,0.32522401078281804
22.0,22.0,train,0.00451934274035585,72.14221945416946,0.743452918582035
23.0,23.0,train,0.008769446910176793,96.05386772648572,0.8490155185702963
25.0,25.0,train,0.0037813653091022473,65.80863191706672,0.7080044474586219
26.0,26.0,train,0.0024485240000645414,53.07124889019369,0.6109036038665984
27.0,27.0,train,0.006338957033775984,85.52482117458494,0.8025550938452837
28.0,28.0,train,7.965554413343293E-4,26.759413334855292,0.3380867739006014
30.0,30.0,train,0.0031874605315141413,59.78304257756389,0.6714722091070922
31.0,31.0,train,0.008126068519137816,95.17692471174506,0.838986161364557
32.0,32.0,train,0.0037249288568388926,63.9330952939214,0.7048860113450272
33.0,33.0,train,6.177739223472497E-5,3.9033083162756297,0.03810385109338497
34.0,34.0,train,0.004442088694200433,70.3474602100473,0.7401505832359448
36.0,36.0,train,0.0010195668160639707,30.30761047686801,0.3953219943044564
37.0,37.0,train,0.007314687505871407,93.59902831726583,0.8242644320747148
38.0,38.0,train,0.0021711897368779784,50.36032864000048,0.5819788190018687
40.0,40.0,train,0.0010050235145328506,30.002783640424006,0.391892908422217
41.0,41.0,train,0.0018763273503541766,45.87010909854194,0.5461044112809038
42.0,42.0,train,0.005106394375425785,75.13382194758928,0.7660464507596865
43.0,43.0,train,0.006678780970146425,90.07103328938987,0.8106995602568124
44.0,44.0,train,0.00696358346173763,92.13746532833848,0.8170251063426799
45.0,45.0,train,3.2950759106439116E-4,16.0154027749305,0.17443307042344577
46.0,46.0,train,3.7985144552606505E-4,18.041591556391154,0.19586392120371401
47.0,47.0,train,1.0776775377357199E-4,6.408234499552765,0.06463685239467094
48.0,48.0,train,0.0030994941599147546,58.52841515647584,0.6652692995047684
49.0,49.0,train,0.004043095540268892,67.39045376878408,0.721645248604727
50.0,50.0,train,0.006388948972351286,87.43885680032143,0.8037969258070341
52.0,52.0,train,0.0013243591674905438,35.46993296278668,0.4592295624700416
53.0,53.0,train,0.0012710692474683758,34.407557140647455,0.44904875337320216
55.0,55.0,train,0.0028367913919843508,56.716169274343684,0.6452673429064075
56.0,56.0,train,0.006591404268773385,89.40318316978154,0.8086702857260292
57.0,57.0,train,0.0065132367615209925,88.09021947822157,0.806817662020215
59.0,59.0,train,7.804879311562851E-4,26.47819711478261,0.3335417759911528
60.0,60.0,train,0.002835615754771411,56.43244317959544,0.6451724567326305
61.0,61.0,train,0.0031039074105061576,58.83833192599716,0.6655860735590736
62.0,62.0,train,0.006537736674078356,88.74392136498003,0.8074021753816206
63.0,63.0,train,0.0018964581887208059,46.43641154110696,0.5487483279413469
64.0,64.0,train,0.004495462971773594,71.69033652547161,0.7424411415950539
65.0,65.0,train,3.409630619591718E-4,16.289215418282698,0.17940932881496266
68.0,68.0,train,0.0061919033847270275,84.26336716567997,0.7988093273925615
69.0,69.0,train,0.005840436905922639,81.83821231775343,0.7892536166048952
70.0,70.0,train,0.00931078119884738,97.86623264146371,0.8565344576540653
71.0,71.0,train,0.004453237002003795,70.79267436799441,0.7406323730118374
72.0,72.0,train,0.007651421695620006,94.36432329792306,0.8306889892598245
73.0,73.0,train,0.0012654761598920705,34.16892321207115,0.4479579459964156
74.0,74.0,train,0.005608476361006082,78.40289087027426,0.7824337336175206
75.0,75.0,train,0.005770106956327945,81.25410970178237,0.7872314403625122
76.0,76.0,train,0.004385195558631534,69.90324625550194,0.737663724720005
77.0,77.0,train,9.043526544974203E-4,28.44875930813677,0.3670463126406314
78.0,78.0,train,2.9319486719262125E-5,1.4860384793554822,0.018453483577876625
79.0,79.0,train,9.647420814574485E-5,5.793710690265058,0.05825783634875441
81.0,81.0,train,0.005490793923100568,77.28213834287713,0.778802156952041
3.0,3.0,test,4.5290519301049504E-5,2.6279302524528374,0.028221854077192302
4.0,4.0,test,0.007184587732301805,92.61362060922802,0.8216497368241287
5.0,5.0,test,0.005749348199227531,80.67697627323818,0.7866271312953736
12.0,12.0,test,0.004682316176172378,72.43340739450639,0.7501513335567715
13.0,13.0,test,7.29286663452566E-5,4.569588618752011,0.04467460367078424
16.0,16.0,test,0.0040222369972234264,66.98397940285727,0.7206050595979556
24.0,24.0,test,0.002771445957506401,56.119529943391,0.6399151421585105
29.0,29.0,test,0.004646455561598352,72.3693308029472,0.74870760608287
35.0,35.0,test,0.004135584195834085,68.73277225128689,0.7261657436330661
39.0,39.0,test,0.005619102281704038,79.04644883138778,0.7827557792952717
51.0,51.0,test,0.0038022847833382336,65.90789886878714,0.709143691075628
54.0,54.0,test,9.875537133596774E-5,5.905669198875898,0.05955332513743488
58.0,58.0,test,0.0074169700975688264,93.83158943070167,0.8262668521714689
66.0,66.0,test,4.945590207715002E-4,21.092219695049636,0.24077009637265362
67.0,67.0,test,0.006244660838728557,84.65644859916814,0.8001694083475023
80.0,80.0,test,0.006666938977596298,89.98050462063759,0.8104270619168512
