Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.54488E-8,0.000002545,0.000049648,1,0,0
2.60777E-8,0.000010326,0.000050875,0.99927676,0,0
4.33019E-8,0.000027416,0.000084475,0.99831244,0,0
6.92278E-8,0.000052032,0.000135045,0.99710704,0,0
1.17343E-7,0.000105248,0.000228883,0.995660559,0,0
1.25131E-7,0.000251437,0.000244071,0.992767599,0,0
3.99097E-7,0.000530003,0.00077803,0.988910318,0,0
5.17262E-7,0.001013146,0.001008159,0.986499518,0,0
8.76178E-7,0.002522224,0.001706503,0.981436837,0,0
1.40853E-6,0.005095338,0.002740499,0.975891996,0,0
2.06542E-6,0.01016686,0.004013452,0.969141755,0,0
4.77481E-6,0.025419584,0.009229652,0.958775313,0,0
8.0969E-6,0.050185261,0.015551355,0.949614272,0,0
1.40692E-5,0.100894418,0.026715674,0.93828351,0,0
2.41105E-5,0.201979455,0.044926148,0.925988428,0,0
3.28876E-5,0.302070248,0.060294842,0.917550627,0,0
3.67822E-5,0.400307851,0.066956994,0.910800386,0,0
3.78955E-5,0.501324959,0.068844091,0.904291225,0,0
3.85067E-5,0.600751272,0.069876851,0.898023144,0,0
4.11121E-5,0.703027701,0.074253638,0.891755063,0,0
4.19101E-5,0.753008383,0.075585999,0.888862102,0,0
4.2524E-5,0.803570831,0.0766084,0.885969142,0.017857143,0
4.37732E-5,0.902768148,0.078681756,0.880424301,0.017857143,0
4.48744E-5,1.000286992,0.080501825,0.87512054,0.017857143,0
4.60496E-5,1.100714118,0.082436297,0.869816779,0.017857143,0
4.82059E-5,1.203627751,0.085964528,0.864513018,0.017857143,0
5.14631E-5,1.303850533,0.091243117,0.859691418,0.017857143,0
5.5847E-5,1.401660045,0.098252035,0.855351977,0.017857143,0
5.65355E-5,1.50283349,0.099342925,0.851012536,0.017857143,0
5.83828E-5,1.755201919,0.102256983,0.840405014,0.017857143,0
5.9443E-5,2.002292612,0.103920942,0.830279653,0.017857143,0
6.06992E-5,2.254689673,0.105884661,0.820154291,0.017857143,0
6.39055E-5,2.503771613,0.110857664,0.81051109,0.017857143,0
6.59435E-5,2.75140145,0.11399009,0.801350048,0.017857143,0
6.72323E-5,3.004191318,0.115959534,0.792189007,0.017857143,0
6.98397E-5,3.25174812,0.119917368,0.783510125,0.017857143,0
7.08063E-5,3.504772371,0.121375615,0.774831244,0.017857143,0
7.23341E-5,3.755524173,0.123670691,0.766393443,0.017857143,0
7.41127E-5,4.005044313,0.126327462,0.758196721,0.017857143,0
7.55347E-5,4.251885226,0.128439904,0.75024108,0.017857143,0.071428571
7.65823E-5,4.503103244,0.129989785,0.742285439,0.017857143,0.142857143
7.72749E-5,4.757052735,0.131011373,0.734329797,0.017857143,0.142857143
7.80558E-5,5.00556877,0.13216035,0.726615236,0.017857143,0.142857143
7.91286E-5,5.257639625,0.133733759,0.718900675,0.017857143,0.142857143
8.01925E-5,5.50448481,0.135288674,0.711427194,0.017857143,0.142857143
8.10543E-5,5.754487738,0.136544001,0.703953713,0.017857143,0.142857143
8.21791E-5,6.007459915,0.138177003,0.696480231,0.017857143,0.142857143
8.35952E-5,6.256804448,0.140224189,0.68924783,0.017857143,0.142857143
8.48125E-5,6.500953791,0.141976238,0.682256509,0.017857143,0.285714286
8.60662E-5,6.757403288,0.143773147,0.675024108,0.017857143,0.285714286
8.70901E-5,7.008080016,0.145235212,0.668032787,0.017857143,0.285714286
8.79319E-5,7.253253811,0.146433453,0.661282546,0.017857143,0.285714286
8.84693E-5,7.500130498,0.1471966,0.654532305,0.017857143,0.285714286
8.98999E-5,7.750392319,0.149221645,0.647782064,0.017857143,0.285714286
9.02696E-5,8.002813804,0.149743479,0.641031823,0.017857143,0.285714286
9.13417E-5,8.257125501,0.151252975,0.634281581,0.017857143,0.285714286
9.19605E-5,8.504523987,0.152121671,0.62777242,0.017857143,0.285714286
9.25513E-5,8.753932724,0.152949559,0.621263259,0.017857143,0.285714286
9.30198E-5,9.004379288,0.153604799,0.614754098,0.017857143,0.285714286
9.3871E-5,9.256830377,0.154792863,0.608244937,0.017857143,0.285714286
9.46067E-5,9.50201585,0.155817058,0.601976856,0.017857143,0.285714286
9.52299E-5,9.75829474,0.156682659,0.595467695,0.017857143,0.285714286
9.65977E-5,10.008125656,0.158576234,0.589199614,0.035714286,0.285714286
9.76072E-5,10.250540712,0.159968275,0.583172613,0.035714286,0.285714286
9.83297E-5,10.505336934,0.160961822,0.576904532,0.035714286,0.285714286
9.9253E-5,10.752318951,0.162228035,0.570877531,0.035714286,0.285714286
9.96478E-5,11.001025859,0.162768216,0.56485053,0.035714286,0.285714286
1.00244E-4,11.250972073,0.163583487,0.558823529,0.035714286,0.285714286
1.00765E-4,11.502260241,0.164293888,0.552796528,0.035714286,0.285714286
1.01158E-4,11.7546751,0.16482903,0.546769527,0.035714286,0.285714286
1.01569E-4,12.008149479,0.165387574,0.540742527,0.035714286,0.285714286
1.02069E-4,12.252506321,0.166066898,0.534956606,0.035714286,0.285714286
1.0253E-4,12.508221075,0.166690835,0.528929605,0.035714286,0.285714286
1.02992E-4,12.754833387,0.167316312,0.523143684,0.035714286,0.285714286
1.03421E-4,13.002652281,0.167896898,0.517357763,0.053571429,0.285714286
1.03733E-4,13.251220588,0.168318149,0.511571842,0.053571429,0.285714286
1.0404E-4,13.500609447,0.168732559,0.505785921,0.053571429,0.285714286
1.04387E-4,13.750654279,0.169199384,0.5,0.053571429,0.285714286
1.04867E-4,14.001830643,0.169844919,0.494214079,0.053571429,0.285714286
1.05561E-4,14.254269367,0.170777465,0.488428158,0.053571429,0.285714286
1.05994E-4,14.508174518,0.17135782,0.482642237,0.053571429,0.285714286
1.06434E-4,14.752347417,0.171946692,0.477097396,0.071428571,0.285714286
1.06821E-4,15.008393034,0.172464311,0.471311475,0.089285714,0.285714286
1.07091E-4,15.254396415,0.172825171,0.465766635,0.089285714,0.285714286
1.07548E-4,15.501121618,0.173435282,0.460221794,0.089285714,0.285714286
1.08569E-4,15.760463396,0.174793073,0.454435873,0.107142857,0.285714286
1.09479E-4,16.000376944,0.176001077,0.449132112,0.107142857,0.285714286
1.11682E-4,16.254435884,0.178908151,0.443587271,0.107142857,0.285714286
1.13832E-4,16.502904118,0.181726437,0.43828351,0.107142857,0.285714286
1.16169E-4,16.756069418,0.184767778,0.432979749,0.107142857,0.285714286
1.18956E-4,17.004143286,0.188366431,0.427917068,0.107142857,0.285714286
1.21837E-4,17.257218237,0.192051818,0.422854388,0.107142857,0.285714286
1.26404E-4,17.505802541,0.197827412,0.418032787,0.125,0.285714286
1.29543E-4,17.762023206,0.201748103,0.413211186,0.125,0.285714286
1.32993E-4,18.011768393,0.206014236,0.408630665,0.125,0.285714286
1.38487E-4,18.255256261,0.212714376,0.404291225,0.125,0.285714286
1.43122E-4,18.508519417,0.218280198,0.399951784,0.125,0.285714286
1.47441E-4,18.755641798,0.223395905,0.395853423,0.125,0.285714286
1.51926E-4,19.009801546,0.228637272,0.391755063,0.125,0.285714286
1.56106E-4,19.256923064,0.233458879,0.387897782,0.125,0.285714286
1.58879E-4,19.509630402,0.236625155,0.384040501,0.125,0.285714286
1.61367E-4,19.75005331,0.239443491,0.380424301,0.125,0.285714286
1.63877E-4,20.010437345,0.242265714,0.37656702,0.125,0.285714286
1.65652E-4,20.257718593,0.244248327,0.37295082,0.125,0.285714286
1.66597E-4,20.506783844,0.245300627,0.369334619,0.125,0.285714286
1.67989E-4,20.75749258,0.24684381,0.365718419,0.125,0.285714286
1.69515E-4,21.010886788,0.248528939,0.362102218,0.125,0.285714286
1.70956E-4,21.266144364,0.250113488,0.358486017,0.125,0.285714286
1.72177E-4,21.506477603,0.251449959,0.355110897,0.125,0.285714286
1.74056E-4,21.766593984,0.253499284,0.351494696,0.125,0.285714286
1.75223E-4,22.011080287,0.254765948,0.348119576,0.125,0.285714286
1.76061E-4,22.257158898,0.255672106,0.344744455,0.125,0.285714286
1.77409E-4,22.504610459,0.257126727,0.341369335,0.125,0.285714286
1.79108E-4,22.754275896,0.258951682,0.337994214,0.125,0.285714286
1.80218E-4,23.005837609,0.260138966,0.334619094,0.125,0.285714286
1.82005E-4,23.259348435,0.262042512,0.331243973,0.125,0.285714286
1.84499E-4,23.516366659,0.264682283,0.327868852,0.125,0.285714286
1.87393E-4,23.758026409,0.267722737,0.324734812,0.125,0.285714286
1.89919E-4,24.002835826,0.270355609,0.321600771,0.125,0.285714286
1.9194E-4,24.251353132,0.272448543,0.318466731,0.125,0.285714286
1.94587E-4,24.502786886,0.275172619,0.31533269,0.125,0.285714286
1.9692E-4,24.757435687,0.277555474,0.31219865,0.125,0.285714286
1.98564E-4,25.014379252,0.279225861,0.309064609,0.125,0.285714286
2.00776E-4,25.254126536,0.281460868,0.306171649,0.125,0.285714286
2.02647E-4,25.516246746,0.283340717,0.303037608,0.125,0.285714286
2.04473E-4,25.760287281,0.285165684,0.300144648,0.125,0.285714286
2.06793E-4,26.007459773,0.287471385,0.297251688,0.125,0.285714286
2.08051E-4,26.256360715,0.288714988,0.294358727,0.125,0.285714286
2.09662E-4,26.507029446,0.29030199,0.291465767,0.125,0.285714286
2.11399E-4,26.759761332,0.292004858,0.288572806,0.142857143,0.285714286
2.13947E-4,27.015294914,0.294488059,0.285679846,0.142857143,0.285714286
2.15252E-4,27.251309294,0.295752397,0.283027965,0.142857143,0.285714286
2.16462E-4,27.510473622,0.296921551,0.280135005,0.142857143,0.285714286
2.17823E-4,27.771241305,0.298231384,0.277242044,0.142857143,0.285714286
2.19869E-4,28.011844226,0.30019212,0.274590164,0.142857143,0.285714286
2.21717E-4,28.254957759,0.301953157,0.271938284,0.142857143,0.285714286
