Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.81853E-7,0.000088185,0.001001564,1,0,0
9.45044E-7,0.00018269,0.001073256,0.999761223,0,0
1.23745E-6,0.000306434,0.001404863,0.999522445,0,0
1.29465E-6,0.000560412,0.001469708,0.99904489,0,0
1.53461E-6,0.001146786,0.001741643,0.99808978,0,0
1.76074E-6,0.002666744,0.001997764,0.995940783,0,0
1.91889E-6,0.005078089,0.002176811,0.992836676,0,0
2.10263E-6,0.010091873,0.002384753,0.98686724,0,0
2.71822E-6,0.025259309,0.003080786,0.972063037,0,0
3.50386E-6,0.050124488,0.003967696,0.952722063,0,0
4.70778E-6,0.100352028,0.005323722,0.924068768,0,0
6.82186E-6,0.200647036,0.007695999,0.882282713,0,0
8.40412E-6,0.300563943,0.009464112,0.850764088,0,0
9.39714E-6,0.400407884,0.010570568,0.824021012,0,0
1.02283E-5,0.500161844,0.011494748,0.799665712,0,0
1.11779E-5,0.600700354,0.012548576,0.77722063,0,0
1.23617E-5,0.700522718,0.013859143,0.756924546,0.00990099,0
1.2811E-5,0.750996916,0.014355639,0.747373448,0.00990099,0
1.31595E-5,0.800393845,0.014740391,0.738299904,0.00990099,0
1.41757E-5,0.90084135,0.015860538,0.720630372,0.00990099,0
1.53001E-5,1.001475251,0.017097058,0.704393505,0.00990099,0
1.63102E-5,1.100159719,0.018205299,0.689589303,0.00990099,0.04
1.70817E-5,1.201634392,0.019050049,0.675023878,0.00990099,0.04
1.79177E-5,1.301681403,0.019963755,0.661413563,0.00990099,0.04
1.89759E-5,1.400970101,0.021117908,0.64851958,0.00990099,0.04
1.96841E-5,1.50150376,0.021888772,0.636103152,0.00990099,0.04
2.15166E-5,1.750880779,0.023877874,0.607211079,0.00990099,0.04
2.32789E-5,2.0021034,0.025783103,0.580468004,0.00990099,0.04
2.56949E-5,2.25123675,0.028383099,0.556112703,0.00990099,0.04
2.81083E-5,2.500982626,0.030966444,0.533906399,0.03960396,0.04
3.02716E-5,2.752987808,0.0332704,0.513371538,0.03960396,0.04
3.228E-5,3.002909193,0.035399651,0.494269341,0.03960396,0.04
3.51147E-5,3.251752548,0.038388889,0.476599809,0.03960396,0.04
3.77042E-5,3.503371477,0.041103566,0.460124164,0.03960396,0.04
4.1055E-5,3.752041968,0.044593493,0.445081184,0.03960396,0.04
4.44786E-5,4.000023339,0.048133273,0.431232092,0.03960396,0.08
4.88604E-5,4.251611952,0.052625486,0.418338109,0.03960396,0.08
5.22452E-5,4.503826752,0.056066794,0.406399236,0.03960396,0.08
5.58616E-5,4.753119305,0.059715922,0.395415473,0.03960396,0.08
5.91003E-5,5.000079254,0.062960149,0.385148042,0.03960396,0.08
6.24518E-5,5.256185682,0.066293829,0.375119389,0.03960396,0.08
6.54972E-5,5.505470551,0.069302547,0.365807068,0.03960396,0.08
6.89849E-5,5.754398027,0.07272444,0.356972302,0.03960396,0.08
7.16871E-5,6.007023607,0.075358454,0.348376313,0.03960396,0.08
7.64138E-5,6.251342478,0.07993006,0.340496657,0.03960396,0.08
7.99839E-5,6.501329233,0.083353157,0.332855778,0.04950495,0.08
8.39559E-5,6.754879562,0.087131898,0.325453677,0.04950495,0.08
8.99976E-5,7.000760543,0.092820072,0.318767908,0.04950495,0.08
