Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.41402E-7,0.00001414,0.000128939,1,0,0
1.48972E-7,0.000029037,0.000135841,0.999756632,0,0
1.54323E-7,0.000059381,0.00014072,0.999269895,0,0
1.61851E-7,0.00010656,0.000147583,0.998539791,0,0
1.98865E-7,0.000255316,0.000181328,0.996592845,0,0
3.22916E-7,0.000512437,0.000294406,0.994159163,0,0
6.34608E-7,0.001049387,0.000578415,0.991238744,0,0
8.64658E-7,0.002554805,0.00078793,0.98637138,0,0
1.25203E-6,0.00509506,0.001140523,0.980530543,0,0
1.59528E-6,0.010112122,0.001452747,0.972012655,0,0
2.93914E-6,0.025007515,0.00267327,0.955463616,0,0
4.68645E-6,0.050190058,0.004255759,0.939888051,0,0
8.12233E-6,0.100700058,0.00735293,0.92090533,0.055555556,0
1.03211E-5,0.200257502,0.009324879,0.894864931,0.055555556,0
1.27702E-5,0.300715273,0.011512075,0.873448528,0.055555556,0
1.44749E-5,0.400042476,0.013028867,0.855682648,0.055555556,0
1.58142E-5,0.501261127,0.014217179,0.839376977,0.055555556,0
1.69227E-5,0.601141501,0.015198611,0.824531516,0.055555556,0
1.78705E-5,0.700094321,0.016036205,0.810659528,0.055555556,0
1.84502E-5,0.750799887,0.016547745,0.803845218,0.055555556,0
1.88382E-5,0.801182355,0.016889867,0.797274276,0.055555556,0
1.97959E-5,0.901862142,0.017733323,0.784619129,0.055555556,0
2.07084E-5,1.001370522,0.018535629,0.772694086,0.055555556,0
2.14857E-5,1.100614576,0.019217972,0.76125578,0.055555556,0
2.21328E-5,1.200955719,0.019785307,0.750060842,0.055555556,0
2.28603E-5,1.302144122,0.020422368,0.739109272,0.055555556,0
2.38308E-5,1.400002229,0.021270959,0.728887807,0.055555556,0
2.44709E-5,1.501311375,0.02182978,0.718666342,0.055555556,0
2.67171E-5,1.750150313,0.023785865,0.695059625,0.055555556,0
2.90676E-5,2.00116403,0.025824447,0.673156486,0.055555556,0.25
3.17456E-5,2.251301221,0.028136767,0.653200292,0.055555556,0.25
3.39281E-5,2.500100335,0.030013075,0.634704308,0.055555556,0.25
3.61369E-5,2.753260825,0.031904635,0.617181796,0.055555556,0.25
3.80723E-5,3.001680248,0.033556044,0.600876126,0.055555556,0.25
4.01252E-5,3.25180857,0.035301606,0.58530056,0.055555556,0.5
4.23573E-5,3.503236509,0.037192279,0.570455099,0.055555556,0.5
4.45097E-5,3.751448304,0.039008545,0.55658311,0.055555556,0.5
4.66558E-5,4.002416674,0.040812582,0.543197858,0.055555556,0.5
4.86781E-5,4.250624295,0.042506467,0.530542711,0.055555556,0.5
5.07406E-5,4.504408944,0.044227772,0.518130932,0.055555556,0.5
