x,y,species min
1.0,1.0,0.20637357
2.0,2.0,0.7797449
3.0,3.0,4.8216863E-4
4.0,4.0,0.04423996
5.0,5.0,0.008936349
6.0,6.0,0.16310777
7.0,7.0,0.013042028
8.0,8.0,0.0030679817
9.0,9.0,0.35781908
10.0,10.0,0.019503456
11.0,11.0,0.012501732
12.0,12.0,0.016224654
13.0,13.0,0.0110227605
14.0,14.0,0.13463503
15.0,15.0,0.062922426
16.0,16.0,0.008463482
17.0,17.0,0.13646664
18.0,18.0,0.10446614
19.0,19.0,0.052040588
20.0,20.0,0.005387676
21.0,21.0,0.006197074
22.0,22.0,0.052209564
23.0,23.0,0.117916405
24.0,24.0,0.030165575
25.0,25.0,0.06930884
26.0,26.0,1.5563595E-4
27.0,27.0,0.8156796
28.0,28.0,0.019322615
29.0,29.0,0.017600093
30.0,30.0,0.030578576
31.0,31.0,0.006533758
32.0,32.0,0.06523985
33.0,33.0,0.035130847
34.0,34.0,0.2001101
35.0,35.0,0.010798512
36.0,36.0,0.009543056
37.0,37.0,0.33542576
38.0,38.0,0.094639175
39.0,39.0,0.25652686
40.0,40.0,0.3101529
41.0,41.0,0.007016253
42.0,42.0,0.032549743
43.0,43.0,0.018251516
44.0,44.0,0.025590166
45.0,45.0,0.008568616
46.0,46.0,0.005305362
47.0,47.0,0.029049197
48.0,48.0,0.012286773
49.0,49.0,0.031669363
50.0,50.0,0.026017658
51.0,51.0,0.2334208
52.0,52.0,2.2413503E-4
53.0,53.0,0.039943583
54.0,54.0,0.34700608
55.0,55.0,0.041400224
56.0,56.0,0.017322356
57.0,57.0,0.05601008
58.0,58.0,0.14787078
59.0,59.0,0.003693954
60.0,60.0,0.29555088
61.0,61.0,0.032213025
62.0,62.0,0.09644495
63.0,63.0,0.3136427
64.0,64.0,0.036599852
65.0,65.0,0.012276925
66.0,66.0,0.754381
67.0,67.0,0.0022220074
68.0,68.0,0.049483187
69.0,69.0,0.08931772
70.0,70.0,0.0028002763
71.0,71.0,0.22557664
72.0,72.0,0.0021999544
73.0,73.0,0.033525106
74.0,74.0,0.077181295
75.0,75.0,0.36502275
76.0,76.0,2.6637623E-5
77.0,77.0,0.2512262
78.0,78.0,0.057389386
79.0,79.0,0.07539329
80.0,80.0,0.017840076
81.0,81.0,0.0018269981
82.0,82.0,0.093587026
83.0,83.0,0.048959453
84.0,84.0,0.07393608
85.0,85.0,0.3446565
86.0,86.0,0.028265331
87.0,87.0,0.043878738
88.0,88.0,0.06331252
89.0,89.0,0.022181386
90.0,90.0,0.0934919
91.0,91.0,0.039749335
92.0,92.0,0.009993564
93.0,93.0,0.03654508
94.0,94.0,0.82323694
95.0,95.0,0.0049306955
96.0,96.0,0.14501038
97.0,97.0,0.006012981
98.0,98.0,0.013268361
99.0,99.0,0.023272818
100.0,100.0,0.008119529
101.0,101.0,0.21699062
102.0,102.0,0.37526202
103.0,103.0,0.2739572
104.0,104.0,0.3583586
105.0,105.0,0.008623297
106.0,106.0,0.0036052167
107.0,107.0,0.25634524
108.0,108.0,0.013452667
109.0,109.0,0.012679349
