X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,4.4362276041152326E-4,51.74295380605902,0.47240859866357127
2.0,2.0,train,4.723891896103057E-4,53.53534053765625,0.4880899535259606
3.0,3.0,train,0.0012994314541947033,74.11827436833369,0.7239678629155673
4.0,4.0,train,0.00474856294387356,96.43383129609657,0.9055220294248116
5.0,5.0,train,9.641761689840258E-4,67.94441880206948,0.6605669210376623
7.0,7.0,train,4.5808270385869074E-4,52.838369757482404,0.48040937037719006
8.0,8.0,train,1.903494092604237E-4,25.108349773939608,0.27756124835395857
9.0,9.0,train,0.0030528349872218897,92.36140415465319,0.8603708505680946
11.0,11.0,train,1.0222414933373188E-4,9.043537008148004,0.17103858231432176
12.0,12.0,train,9.774747565967975E-5,8.402341154985493,0.16478259939418785
13.0,13.0,train,0.0019687339459550117,80.13565295649627,0.7989417783274058
14.0,14.0,train,5.3534876623373E-4,57.13887849123469,0.5193568296258552
16.0,16.0,train,5.000575863680611E-4,54.79648464755331,0.5023176996942637
17.0,17.0,train,5.158641714662924E-4,55.76147779467843,0.5100964018693834
18.0,18.0,train,0.0034026164979841945,93.66729411114476,0.8729000832072488
19.0,19.0,train,1.5500793401461926E-4,17.450910337776907,0.23830840356456282
20.0,20.0,train,2.235775663865569E-4,30.32465634761813,0.3109473683460388
21.0,21.0,train,5.104506515702377E-4,55.453103767157685,0.5074598380962914
23.0,23.0,train,0.0012165156087169968,72.85571936908836,0.7105987094038068
24.0,24.0,train,0.0028404027232479707,91.19190988655674,0.8514790316993963
25.0,25.0,train,0.0012793759697355426,73.60102344318524,0.7208486951611734
27.0,27.0,train,0.00470612928616039,95.95893687465362,0.9047512921148503
28.0,28.0,train,6.994900655664111E-4,62.79165626424718,0.58538010231902
30.0,30.0,train,0.001677266041845489,77.91638313900228,0.7719699122483272
31.0,31.0,train,0.0020502640314244477,81.78348335862032,0.8053809692931228
32.0,32.0,train,0.005794548229690005,98.5043736983255,0.9212331111681036
33.0,33.0,train,0.0017087196523622057,78.08731795523839,0.7752239232068473
34.0,34.0,train,0.001288533490849385,73.85876943770782,0.722281636637141
35.0,35.0,train,0.0023170252504988503,84.97139196693249,0.823840487574573
36.0,36.0,train,2.6034398249697756E-4,34.108578299190675,0.34446738775722074
37.0,37.0,train,7.778721589660812E-4,65.11510838869653,0.6109030643366581
39.0,39.0,train,0.0011867347394307923,72.01296168799708,0.7054752188342089
40.0,40.0,train,6.45974453447015E-5,4.255479862424891,0.11534424143933962
41.0,41.0,train,8.984866076428304E-5,7.419591982482327,0.15351090769184966
42.0,42.0,train,0.0024651845410678733,86.65607423977835,0.8326560740148378
43.0,43.0,train,0.0024213431438560484,86.1653825282994,0.8301407742776603
44.0,44.0,train,0.001444557978944921,76.01150747928392,0.7446171225365189
45.0,45.0,train,0.002020100625783152,81.33516391869391,0.803047329515471
46.0,46.0,train,4.216876693919231E-4,51.145406450271096,0.45979015153428865
47.0,47.0,train,0.001603749021586945,77.08946928334808,0.7639839385679061
49.0,49.0,train,1.325203121606578E-4,13.500636586546959,0.21103191929289705
50.0,50.0,train,4.4529245919696574E-4,51.88921612958715,0.473345013542811
51.0,51.0,train,6.366041965549865E-4,60.98054444617382,0.5623477308279626
52.0,52.0,train,2.7986524294399067E-5,0.7515985881513219,0.053467602947867364
53.0,53.0,train,0.0019997862988697557,80.93255959447488,0.8014438853482436
55.0,55.0,train,0.0028594473015666286,91.47777323591592,0.8523221350267652
56.0,56.0,train,4.5128541964724415E-4,52.34117328020899,0.47667883377544845
57.0,57.0,train,0.0020896988597214846,82.84886264044681,0.8083497688201893
58.0,58.0,train,0.0010987414522328448,70.28715195038411,0.6892185034240939
59.0,59.0,train,0.0032639247441955013,92.99854649456275,0.8682110739475677
60.0,60.0,train,3.566424454668307E-4,44.917808973602405,0.41855242243217244
61.0,61.0,train,0.004789048571516607,96.91268444130675,0.9062458454918882
62.0,62.0,train,5.318560534246004E-4,56.79026702050629,0.5177226915612502
63.0,63.0,train,4.1437331255538993E-4,50.67608943948027,0.4554472008139513
64.0,64.0,train,0.001204945255850014,72.61276148620338,0.7086294679935251
65.0,65.0,train,3.7533170790039705E-5,1.6178108668619817,0.07042184959427097
66.0,66.0,train,1.8230330834608012E-4,23.168310282466685,0.2689845661105747
67.0,67.0,train,0.0013500635055009047,75.35408240083406,0.7315408912181018
68.0,68.0,train,0.0010435210342791006,69.14061977391081,0.6780671813220447
69.0,69.0,train,9.551169119220949E-4,67.8000575636057,0.6584470420857791
70.0,70.0,train,1.3003266066871432E-4,13.03962837455021,0.20789402343150362
71.0,71.0,train,1.8766915388209143E-4,24.43010016102896,0.2747266915162403
72.0,72.0,train,0.0019901052547433937,80.53183365057697,0.8006705225819795
73.0,73.0,train,0.0019441080219673086,79.9383622820598,0.7969122063482054
74.0,74.0,train,0.0027605219510796453,89.78499783637183,0.8478352672082827
75.0,75.0,train,0.002809794070613219,90.62572787112276,0.8501036306098725
76.0,76.0,train,0.0011270796976294809,70.80508015648611,0.6946464719155205
77.0,77.0,train,0.0025963699323950937,88.17306122464811,0.8397564641706334
79.0,79.0,train,0.0024162988796654805,85.9231901457933,0.8298465123436015
81.0,81.0,train,5.083036001912724E-4,55.30777294145602,0.5064062763826781
82.0,82.0,train,7.230479015844694E-4,63.82445307848912,0.5933962042030236
83.0,83.0,train,0.0017640990228868735,78.61104524637472,0.7807329853428304
86.0,86.0,train,2.0427304901135535E-4,27.80425320083185,0.2919370459520593
87.0,87.0,train,5.957865029983403E-4,59.54249367312814,0.5459772464811196
88.0,88.0,train,0.0013416808939867152,75.07085198683512,0.7303159393405398
89.0,89.0,train,3.654430124161845E-4,45.91739325876566,0.42449637784834543
91.0,91.0,train,5.498229357392923E-4,58.1182574230187,0.5260124664291269
92.0,92.0,train,8.117417557735086E-4,65.68689097116804,0.6209846965119107
95.0,95.0,train,5.324499027530582E-5,3.13463686963813,0.0970405531222395
97.0,97.0,train,0.0023453961421652067,85.20593139862379,0.8255997573243318
98.0,98.0,train,7.204966713276003E-4,63.529231913425996,0.5925430863273045
99.0,99.0,train,1.2760679342496415E-4,12.657129244935888,0.20480992994701028
100.0,100.0,train,1.1303801726496108E-4,10.593526648552288,0.18577080632432383
101.0,101.0,train,8.429348534369807E-5,6.576407081165807,0.14539964478779152
103.0,103.0,train,0.001907085521757959,79.16478039780395,0.7937826627531108
105.0,105.0,train,0.0020417229468638358,81.53941451317145,0.8047258061682905
106.0,106.0,train,3.442200616834509E-4,43.52546504349521,0.40995020457229686
110.0,110.0,train,4.5999322287628986E-4,53.024049391005775,0.4814483593860263
111.0,111.0,train,4.7769585865274964E-4,53.7735303126304,0.4908814740278411
113.0,113.0,train,1.4711553001115794E-4,15.81980860011781,0.22895271514289656
114.0,114.0,train,3.172791035997741E-4,40.33135266716369,0.3903906209367218
115.0,115.0,train,5.162393063761708E-4,55.78009312874511,0.5102780596221179
116.0,116.0,train,2.7746219873248654E-4,36.03281501296376,0.35898604851238974
117.0,117.0,train,1.9494249673699386E-4,26.030813352287634,0.2823675836406435
120.0,120.0,train,5.39726903347177E-5,3.211995041417334,0.09823652113488336
122.0,122.0,train,0.0010532028888309067,69.43948173765858,0.6800798471361652
123.0,123.0,train,1.2012717463724386E-4,11.57083582346166,0.1951478013808337
124.0,124.0,train,3.2515501586352505E-4,41.474695895931866,0.39624151216258985
125.0,125.0,train,1.4616073654377378E-4,15.63630918624315,0.22780529217924314
126.0,126.0,train,2.8006812188075084E-4,36.323598040133,0.36114002535942613
127.0,127.0,train,2.2367683824877366E-4,30.34106697896144,0.311042489534674
128.0,128.0,train,8.580009918404867E-5,6.837734652867884,0.14761481539178475
130.0,130.0,train,4.6058986820094166E-4,53.0693446637657,0.4817719794290418
131.0,131.0,train,2.92883586691401E-4,37.5974740584233,0.37152567923925084
133.0,133.0,train,2.0758010138089369E-4,28.45124246883864,0.295267805810381
134.0,134.0,train,0.0010397232070042874,69.00777387766232,0.6772707560233877
135.0,135.0,train,5.854481441978918E-4,59.15041798786117,0.5416346723316712
136.0,136.0,train,5.954416982703444E-4,59.53036319756534,0.5458337398519982
137.0,137.0,train,1.8697941612929263E-4,24.280870044473854,0.2739936435706399
138.0,138.0,train,3.300487139865227E-4,41.95519645802898,0.39982072631268534
139.0,139.0,train,1.731056470809934E-4,21.235532381427628,0.25892750903062917
140.0,140.0,train,3.641407720468701E-4,45.780663185788065,0.4236245093510311
141.0,141.0,train,0.0028043266260820896,90.34457462243084,0.8498552647640233
142.0,142.0,train,1.1309948852371005E-4,10.606072985563229,0.18585305479640785
143.0,143.0,train,0.002682619565002493,89.23953546864684,0.8441053231442219
146.0,146.0,train,1.5164539914842953E-4,16.686541174034165,0.23435034407523206
147.0,147.0,train,1.7368740101261329E-4,21.38763266238302,0.2595718106595028
148.0,148.0,train,8.328560497388201E-4,66.02868378846709,0.627009424358817
149.0,149.0,train,4.760573186850348E-4,53.69998446624832,0.4900227908140178
150.0,150.0,train,5.90825823652384E-4,59.36797344560473,0.5439038543731654
151.0,151.0,train,8.364777316436259E-4,66.08255426235043,0.628023638750406
152.0,152.0,train,5.007256722234973E-4,54.834617577678785,0.5026514729799879
153.0,153.0,train,7.529486224335467E-4,64.71451825619373,0.6031349319816927
154.0,154.0,train,4.927393474228549E-4,54.54844369338709,0.4986319853702509
156.0,156.0,train,4.8013269681547964E-4,53.94012898924461,0.49215317380711354
157.0,157.0,train,5.011955586382981E-5,2.7467039172206835,0.0918676535659543
158.0,158.0,train,3.615258693493305E-4,45.41985611581679,0.4218657923159724
159.0,159.0,train,5.434157301227632E-4,57.71949449508913,0.5230891281806707
160.0,160.0,train,4.5572406101317684E-4,52.67379030539277,0.47912092304178056
161.0,161.0,train,1.686461180149678E-4,20.421661373907433,0.25395101715914825
163.0,163.0,train,1.5009026068168665E-4,16.412744059557483,0.23250583624809706
164.0,164.0,train,0.00133514398192145,74.82324013668652,0.7293529143842881
165.0,165.0,train,3.487392855113611E-4,43.959945897524726,0.41310896187384166
167.0,167.0,train,3.3918298285974687E-4,42.89403976675146,0.4063891757568531
168.0,168.0,train,5.053967852812622E-4,55.11119762132001,0.5049726947502909
169.0,169.0,train,9.41924275800114E-4,67.51481030426814,0.6553121552478144
170.0,170.0,train,2.2094554134206995E-4,29.991240123805003,0.3084157761037604
171.0,171.0,train,1.4846978807401607E-4,16.13292739066217,0.23057435855702263
172.0,172.0,train,1.9093770672499137E-4,25.21108883380449,0.27818045115917645
