x,y,species_2 logistic values
1.0,1.0,0.012479189
2.0,2.0,0.7235377
3.0,3.0,0.023858821
4.0,4.0,0.11893
5.0,5.0,0.12258123
6.0,6.0,0.037596967
7.0,7.0,0.067205556
8.0,8.0,0.054956462
9.0,9.0,0.025277818
10.0,10.0,0.518987
11.0,11.0,0.060998734
12.0,12.0,0.23971997
13.0,13.0,0.05376237
14.0,14.0,0.2059061
15.0,15.0,0.17554359
16.0,16.0,0.25701696
17.0,17.0,0.33830684
18.0,18.0,0.4551355
19.0,19.0,0.033967122
20.0,20.0,0.12321793
21.0,21.0,0.18565959
22.0,22.0,0.17518263
23.0,23.0,0.42634878
24.0,24.0,0.0041077756
25.0,25.0,0.24315025
26.0,26.0,0.05201607
27.0,27.0,0.6111006
28.0,28.0,0.46671304
29.0,29.0,0.23265333
30.0,30.0,0.08237086
31.0,31.0,0.13173783
32.0,32.0,0.06751603
33.0,33.0,0.3865727
34.0,34.0,0.4694097
35.0,35.0,0.20554364
36.0,36.0,0.098834015
37.0,37.0,0.1675812
38.0,38.0,0.110560425
39.0,39.0,0.81709576
40.0,40.0,0.19207905
41.0,41.0,0.23725964
42.0,42.0,0.08323625
43.0,43.0,0.10450448
44.0,44.0,0.20499241
45.0,45.0,0.17498298
46.0,46.0,0.21534492
47.0,47.0,0.41952398
48.0,48.0,0.10178006
49.0,49.0,0.4478213
50.0,50.0,0.22159223
51.0,51.0,0.33677745
52.0,52.0,0.020170009
53.0,53.0,0.45298395
54.0,54.0,7.8542845E-4
55.0,55.0,0.20828013
56.0,56.0,0.13911067
57.0,57.0,0.008292504
58.0,58.0,0.29180717
59.0,59.0,0.08005914
60.0,60.0,0.019718554
61.0,61.0,0.0052590095
62.0,62.0,0.012263593
63.0,63.0,0.09991636
64.0,64.0,0.26701292
65.0,65.0,0.059329327
66.0,66.0,0.11396201
67.0,67.0,0.021702537
68.0,68.0,0.12692614
69.0,69.0,0.4784124
70.0,70.0,0.020726662
71.0,71.0,0.22162558
72.0,72.0,0.030782081
73.0,73.0,0.7700863
74.0,74.0,0.23101865
75.0,75.0,0.5691244
76.0,76.0,0.15326601
77.0,77.0,0.559821
78.0,78.0,0.10924837
79.0,79.0,0.53120315
80.0,80.0,0.55758345
81.0,81.0,0.04576258
82.0,82.0,0.06368027
83.0,83.0,0.5228185
84.0,84.0,0.03015877
85.0,85.0,0.21172479
86.0,86.0,0.11109609
87.0,87.0,0.5822042
88.0,88.0,0.65077037
89.0,89.0,0.12196166
90.0,90.0,0.27794158
91.0,91.0,0.0775038
