x,y,species_0 logistic values
1.0,1.0,4.2221686E-6
2.0,2.0,1.14684E-4
3.0,3.0,1.36028E-9
4.0,4.0,9.0629177E-4
5.0,5.0,0.0023017197
6.0,6.0,0.012642347
7.0,7.0,0.0010997617
8.0,8.0,6.755211E-5
9.0,9.0,2.8550464E-6
10.0,10.0,0.46661952
11.0,11.0,2.450076E-4
12.0,12.0,0.07602536
13.0,13.0,5.513443E-5
14.0,14.0,0.016026128
15.0,15.0,0.09299147
16.0,16.0,0.018588977
17.0,17.0,0.002097461
18.0,18.0,0.07434219
19.0,19.0,3.929407E-5
20.0,20.0,0.0039005403
21.0,21.0,0.027464906
22.0,22.0,0.0076768827
23.0,23.0,0.051369503
24.0,24.0,9.167286E-7
25.0,25.0,0.022720538
26.0,26.0,2.626509E-7
27.0,27.0,4.6285862E-7
28.0,28.0,0.097254984
29.0,29.0,0.021470383
30.0,30.0,0.0020110088
31.0,31.0,0.0048301863
32.0,32.0,0.004154931
33.0,33.0,0.27868044
34.0,34.0,6.9450255E-4
35.0,35.0,0.07932878
36.0,36.0,0.004238901
37.0,37.0,7.728552E-5
38.0,38.0,0.00199035
39.0,39.0,0.21247484
40.0,40.0,2.0366517E-7
41.0,41.0,0.036723785
42.0,42.0,0.0073208055
43.0,43.0,0.028029872
44.0,44.0,0.054335315
45.0,45.0,0.008971843
46.0,46.0,0.01720814
47.0,47.0,0.1486914
48.0,48.0,0.0025865913
49.0,49.0,0.44930235
50.0,50.0,0.079481825
51.0,51.0,0.14298093
52.0,52.0,0.0018167709
53.0,53.0,0.44557634
54.0,54.0,1.3327753E-5
55.0,55.0,0.08657243
56.0,56.0,0.012795016
57.0,57.0,0.032709874
58.0,58.0,2.5565884E-4
59.0,59.0,8.0658714E-7
60.0,60.0,8.978053E-6
61.0,61.0,0.016381279
62.0,62.0,2.8893112E-6
63.0,63.0,1.2454324E-6
64.0,64.0,0.40130663
65.0,65.0,2.0850237E-5
66.0,66.0,4.083443E-7
67.0,67.0,1.2612212E-5
68.0,68.0,0.057938077
69.0,69.0,0.12756024
70.0,70.0,3.4525656E-5
71.0,71.0,4.006507E-4
72.0,72.0,2.52978E-8
73.0,73.0,0.78589135
74.0,74.0,0.29795724
75.0,75.0,0.0019924373
76.0,76.0,5.4767558E-8
77.0,77.0,0.76873255
78.0,78.0,3.3532382E-5
79.0,79.0,0.10812938
80.0,80.0,0.005061648
81.0,81.0,3.772624E-9
82.0,82.0,8.769995E-4
83.0,83.0,0.46535307
84.0,84.0,3.0391595E-5
85.0,85.0,3.176021E-4
86.0,86.0,0.003479828
87.0,87.0,0.3486447
88.0,88.0,0.5890128
89.0,89.0,0.024825225
90.0,90.0,0.05808269
91.0,91.0,1.0855756E-4
92.0,92.0,4.98438E-5
93.0,93.0,0.16335298
94.0,94.0,4.3460164E-9
95.0,95.0,0.1517142
96.0,96.0,2.8382006E-4
97.0,97.0,0.009359392
98.0,98.0,2.7292728E-7
99.0,99.0,0.0037308189
100.0,100.0,0.17630358
101.0,101.0,0.43538007
102.0,102.0,3.671956E-5
103.0,103.0,1.7169895E-4
104.0,104.0,1.1074462E-6
105.0,105.0,0.01767735
106.0,106.0,7.2401485E-7
107.0,107.0,0.16058229
108.0,108.0,0.005732738
109.0,109.0,0.0012350287
110.0,110.0,0.07419848
111.0,111.0,0.15120895
112.0,112.0,0.010941773
113.0,113.0,2.2476466E-4
114.0,114.0,8.13897E-6
115.0,115.0,0.0037290938
116.0,116.0,1.8019027E-7
117.0,117.0,0.08717784
118.0,118.0,0.007209383
119.0,119.0,0.2279965
120.0,120.0,0.05922095
121.0,121.0,0.15725213
122.0,122.0,1.4375152E-7
123.0,123.0,1.809079E-10
124.0,124.0,2.5459696E-4
125.0,125.0,0.034149196
126.0,126.0,8.659882E-8
127.0,127.0,9.2739254E-5
128.0,128.0,0.0022046366
129.0,129.0,0.39616746
130.0,130.0,7.3859055E-4
131.0,131.0,0.46633765
132.0,132.0,0.13330893
133.0,133.0,1.4547771E-6
134.0,134.0,4.8681304E-5
135.0,135.0,0.07924345
136.0,136.0,0.001527795
137.0,137.0,0.45109326
138.0,138.0,0.0018034375
139.0,139.0,6.376172E-4
140.0,140.0,0.014401355
141.0,141.0,4.19064E-5
142.0,142.0,2.2903497E-4
143.0,143.0,0.3749648
144.0,144.0,2.8605113E-5
145.0,145.0,1.1140133E-4
146.0,146.0,0.023290262
147.0,147.0,0.001866466
148.0,148.0,0.25743783
149.0,149.0,0.1702018
150.0,150.0,0.008646254
151.0,151.0,0.0061843265
152.0,152.0,0.043272782
153.0,153.0,0.021340398
154.0,154.0,1.0081951E-9
155.0,155.0,6.5469375E-4
156.0,156.0,0.0069706496
157.0,157.0,2.1763799E-5
158.0,158.0,0.02264237
159.0,159.0,0.30871218
160.0,160.0,0.10729689
161.0,161.0,0.008207135
162.0,162.0,0.013897749
163.0,163.0,0.0016409046
164.0,164.0,1.0642026E-5
165.0,165.0,1.9994595E-4
166.0,166.0,0.021387178
167.0,167.0,2.060151E-5
168.0,168.0,0.43807924
169.0,169.0,0.059884172
170.0,170.0,0.22952166
171.0,171.0,0.44229525
172.0,172.0,0.002861734
173.0,173.0,1.00428566E-4
174.0,174.0,0.036489606
175.0,175.0,3.3532E-5
176.0,176.0,1.5897297E-7
177.0,177.0,5.373886E-5
178.0,178.0,0.0020577118
179.0,179.0,0.006883483
180.0,180.0,3.1835266E-4
181.0,181.0,2.0477767E-4
182.0,182.0,0.28858614
183.0,183.0,0.01964381
184.0,184.0,0.10042577
185.0,185.0,3.9571142E-4
186.0,186.0,0.0054420773
187.0,187.0,0.38564265
188.0,188.0,9.0356753E-4
189.0,189.0,0.07047748
190.0,190.0,0.030724874
191.0,191.0,0.0027424667
192.0,192.0,0.08180313
193.0,193.0,0.23235993
194.0,194.0,0.003221941
195.0,195.0,0.002002917
196.0,196.0,7.992212E-5
197.0,197.0,0.033164974
198.0,198.0,2.2498297E-4
199.0,199.0,0.0012427592
200.0,200.0,2.5768082E-5
201.0,201.0,0.0034060744
202.0,202.0,0.6033523
203.0,203.0,9.151114E-7
204.0,204.0,0.0247765
205.0,205.0,0.013718397
206.0,206.0,0.06485126
207.0,207.0,0.0050565745
208.0,208.0,1.13934715E-4
209.0,209.0,2.9488223E-9
210.0,210.0,1.11209316E-4
211.0,211.0,0.0010799379
212.0,212.0,1.2634808E-5
213.0,213.0,0.022603579
214.0,214.0,1.7360275E-5
215.0,215.0,1.3488587E-5
216.0,216.0,0.0010206514
217.0,217.0,0.49812812
218.0,218.0,0.066559054
219.0,219.0,0.0075674714
220.0,220.0,0.00999348
221.0,221.0,0.087026276
222.0,222.0,0.01659699
223.0,223.0,0.025035826
224.0,224.0,2.7803925E-4
225.0,225.0,0.08959377
226.0,226.0,0.01128259
227.0,227.0,0.0024793493
228.0,228.0,0.001900311
229.0,229.0,5.3424526E-5
230.0,230.0,8.0795685E-4
231.0,231.0,0.024323847
232.0,232.0,0.27573565
233.0,233.0,5.1647105E-4
234.0,234.0,0.23469397
235.0,235.0,0.10736303
236.0,236.0,0.0023283975
237.0,237.0,0.026522752
238.0,238.0,0.0012178123
239.0,239.0,0.0041813883
240.0,240.0,6.243417E-7
241.0,241.0,4.3735858E-7
242.0,242.0,5.0071976E-4
243.0,243.0,6.81137E-5
244.0,244.0,0.09156287
245.0,245.0,0.1259631
246.0,246.0,0.025868073
247.0,247.0,5.780922E-4
248.0,248.0,0.19303036
249.0,249.0,0.26688755
250.0,250.0,0.47412932
251.0,251.0,1.2573371E-6
252.0,252.0,0.0033614237
253.0,253.0,0.0055992594
254.0,254.0,0.20851824
255.0,255.0,1.6849583E-5
256.0,256.0,2.5541136E-10
257.0,257.0,3.7255982E-6
258.0,258.0,2.7215772E-9
259.0,259.0,3.0465404E-9
260.0,260.0,0.5068747
261.0,261.0,0.08855177
262.0,262.0,0.007912074
263.0,263.0,3.6440924E-5
264.0,264.0,4.5081997E-5
265.0,265.0,2.4965057E-5
266.0,266.0,0.14446467
267.0,267.0,2.962253E-5
268.0,268.0,0.0011839212
269.0,269.0,0.32058468
270.0,270.0,0.10832112
271.0,271.0,1.8257751E-4
272.0,272.0,1.1477559E-4
273.0,273.0,9.2997776E-5
274.0,274.0,1.1560646E-6
275.0,275.0,7.979147E-9
276.0,276.0,0.008642063
277.0,277.0,3.3100925E-5
278.0,278.0,0.021736747
279.0,279.0,0.3414761
280.0,280.0,0.038388785
281.0,281.0,9.0921944E-8
282.0,282.0,0.16217965
283.0,283.0,2.9024302E-6
284.0,284.0,0.31426498
285.0,285.0,0.0010085062
286.0,286.0,2.311096E-9
287.0,287.0,1.0700408E-6
288.0,288.0,0.0053261276
289.0,289.0,0.13697083
290.0,290.0,7.1672257E-4
291.0,291.0,1.8524258E-4
292.0,292.0,3.3692893E-5
293.0,293.0,3.8989478E-7
294.0,294.0,0.012651733
295.0,295.0,0.47083426
296.0,296.0,7.299251E-5
297.0,297.0,3.6752513E-6
298.0,298.0,0.008870345
299.0,299.0,0.0027046886
300.0,300.0,0.35401687
301.0,301.0,0.0048144637
302.0,302.0,0.027692819
303.0,303.0,0.01867685
304.0,304.0,0.08437323
305.0,305.0,0.009152324
306.0,306.0,0.037888512
307.0,307.0,8.513765E-5
308.0,308.0,8.535605E-6
309.0,309.0,0.12865633
310.0,310.0,6.397694E-4
311.0,311.0,0.20176418
312.0,312.0,0.0027355426
313.0,313.0,3.2155383E-6
314.0,314.0,0.002087099
315.0,315.0,9.449443E-7
316.0,316.0,0.22569005
317.0,317.0,0.24715279
318.0,318.0,0.0067349006
319.0,319.0,0.21376994
320.0,320.0,0.05786971
321.0,321.0,1.0254539E-6
322.0,322.0,4.8118053E-4
323.0,323.0,0.011133083
324.0,324.0,0.05996831
325.0,325.0,0.0046695457
326.0,326.0,4.0227268E-4
327.0,327.0,0.19537441
328.0,328.0,4.439933E-7
329.0,329.0,0.050202437
330.0,330.0,0.04372882
331.0,331.0,7.176267E-4
332.0,332.0,1.1315571E-4
333.0,333.0,0.008056759
334.0,334.0,0.06621333
335.0,335.0,0.31489196
336.0,336.0,0.0020010262
337.0,337.0,4.9603692E-5
338.0,338.0,0.022409841
339.0,339.0,0.044655316
340.0,340.0,2.7556261E-11
341.0,341.0,0.348085
342.0,342.0,0.0032186636
343.0,343.0,5.4475976E-7
344.0,344.0,0.35338417
345.0,345.0,0.01530261
346.0,346.0,0.009808901
347.0,347.0,9.654928E-10
348.0,348.0,6.393004E-7
349.0,349.0,0.19103374
350.0,350.0,0.0034928184
351.0,351.0,0.18665586
352.0,352.0,0.26253462
353.0,353.0,1.6192398E-7
354.0,354.0,0.35079265
355.0,355.0,0.07518472
356.0,356.0,3.3287055E-4
357.0,357.0,0.05287276
358.0,358.0,0.0070146774
359.0,359.0,0.046608478
360.0,360.0,0.039735585
361.0,361.0,0.70663947
362.0,362.0,4.1698436E-11
363.0,363.0,0.0029930216
364.0,364.0,8.398669E-4
365.0,365.0,6.742976E-4
366.0,366.0,8.790006E-5
367.0,367.0,0.7524931
368.0,368.0,1.2034548E-6
369.0,369.0,0.028814007
370.0,370.0,0.09045944
371.0,371.0,0.015274492
372.0,372.0,0.31655565
373.0,373.0,2.698663E-4
374.0,374.0,0.26724938
375.0,375.0,0.022196883
376.0,376.0,0.0061067566
377.0,377.0,0.3470994
378.0,378.0,0.03216717
379.0,379.0,0.0016686515
380.0,380.0,1.5087675E-6
381.0,381.0,7.638555E-5
382.0,382.0,0.01620109
383.0,383.0,0.13346633
384.0,384.0,0.016453637
385.0,385.0,0.23575607
386.0,386.0,4.5188826E-5
387.0,387.0,0.19932403
388.0,388.0,4.4665645E-9
389.0,389.0,2.4198725E-4
390.0,390.0,0.13987845
391.0,391.0,0.37008625
392.0,392.0,2.3914608E-6
393.0,393.0,0.0010141388
394.0,394.0,0.5291785
395.0,395.0,1.00183286E-4
396.0,396.0,8.096862E-5
397.0,397.0,1.7953338E-11
398.0,398.0,7.890294E-5
399.0,399.0,6.828356E-5
400.0,400.0,0.01105755
401.0,401.0,0.25039163
402.0,402.0,2.5788701E-11
403.0,403.0,0.11415775
404.0,404.0,7.0450033E-6
405.0,405.0,0.11779568
406.0,406.0,0.01920716
407.0,407.0,4.1786046E-4
408.0,408.0,0.002014177
409.0,409.0,0.4786917
410.0,410.0,0.037059844
411.0,411.0,0.005458846
412.0,412.0,2.909387E-4
413.0,413.0,0.022819707
414.0,414.0,0.02953382
415.0,415.0,0.027493354
416.0,416.0,6.675216E-6
417.0,417.0,8.6107343E-7
418.0,418.0,1.7277728E-6
419.0,419.0,0.034177
420.0,420.0,0.04361291
421.0,421.0,6.858447E-4
422.0,422.0,0.8172601
423.0,423.0,5.872342E-5
424.0,424.0,0.015028354
425.0,425.0,0.44446683
426.0,426.0,1.4640053E-6
427.0,427.0,0.0012095222
428.0,428.0,0.044489466
429.0,429.0,7.6142634E-4
430.0,430.0,9.719668E-5
431.0,431.0,0.003211492
432.0,432.0,0.2927544
433.0,433.0,0.08947552
434.0,434.0,0.016219445
435.0,435.0,0.23218147
436.0,436.0,0.1493173
437.0,437.0,4.9011587E-6
438.0,438.0,2.441062E-8
439.0,439.0,0.2001451
440.0,440.0,0.0033775615
441.0,441.0,0.9054554
442.0,442.0,0.0032437106
443.0,443.0,1.1367107E-5
444.0,444.0,0.034128584
445.0,445.0,0.0017264618
446.0,446.0,0.1498643
447.0,447.0,8.1237E-4
448.0,448.0,0.50113595
449.0,449.0,1.0672319E-4
450.0,450.0,4.05724E-9
451.0,451.0,1.7308607E-4
452.0,452.0,0.813786
453.0,453.0,0.0145841865
454.0,454.0,0.0014511863
455.0,455.0,0.1577184
456.0,456.0,0.013241964
457.0,457.0,1.7447014E-4
458.0,458.0,1.0730773E-9
