x,y,species median
1.0,1.0,0.27628037
2.0,2.0,0.8355844
3.0,3.0,0.1348269
4.0,4.0,0.3736752
5.0,5.0,0.14361873
6.0,6.0,0.08586434
7.0,7.0,0.04193285
8.0,8.0,0.14341597
9.0,9.0,0.34485555
10.0,10.0,0.31158558
11.0,11.0,0.11930935
12.0,12.0,0.2529856
13.0,13.0,0.365277
14.0,14.0,0.17475693
15.0,15.0,0.2474282
16.0,16.0,0.15163292
17.0,17.0,0.7067833
18.0,18.0,0.45018965
19.0,19.0,0.11581986
20.0,20.0,0.19707216
21.0,21.0,0.21397081
22.0,22.0,0.6614595
23.0,23.0,0.5507915
24.0,24.0,0.12325649
25.0,25.0,0.13321759
26.0,26.0,0.14038704
27.0,27.0,0.8510762
28.0,28.0,0.3642425
29.0,29.0,0.026786316
30.0,30.0,0.12902546
31.0,31.0,0.19354779
32.0,32.0,0.11473007
33.0,33.0,0.031292487
34.0,34.0,0.5531762
35.0,35.0,0.07969346
36.0,36.0,0.21081728
37.0,37.0,0.26098675
38.0,38.0,0.024504477
39.0,39.0,0.47968307
40.0,40.0,0.26459268
41.0,41.0,0.28702974
42.0,42.0,0.081402175
43.0,43.0,0.21303923
44.0,44.0,0.27238882
45.0,45.0,0.1767003
46.0,46.0,0.2487835
47.0,47.0,0.5274216
48.0,48.0,0.19945252
49.0,49.0,0.059942286
50.0,50.0,0.25460187
51.0,51.0,0.23530228
52.0,52.0,0.2501056
53.0,53.0,0.23379043
54.0,54.0,3.562797E-4
55.0,55.0,0.23421364
56.0,56.0,0.2481783
57.0,57.0,0.0013254717
58.0,58.0,0.5454838
59.0,59.0,0.16307093
60.0,60.0,0.15545319
61.0,61.0,9.2046696E-4
62.0,62.0,0.121706784
63.0,63.0,0.14596578
64.0,64.0,0.08023231
65.0,65.0,0.09473822
66.0,66.0,0.5664599
67.0,67.0,0.045469884
68.0,68.0,0.06326272
69.0,69.0,0.4256206
70.0,70.0,0.12860194
71.0,71.0,0.20694312
72.0,72.0,0.23777285
73.0,73.0,0.58207273
74.0,74.0,0.1250268
75.0,75.0,0.7197955
76.0,76.0,0.37627733
77.0,77.0,0.5363858
78.0,78.0,0.081755705
79.0,79.0,0.53169346
80.0,80.0,0.4238607
81.0,81.0,0.30770782
82.0,82.0,0.40615982
83.0,83.0,0.28460583
84.0,84.0,0.18411398
85.0,85.0,0.31881055
86.0,86.0,0.21883743
87.0,87.0,0.28090104
88.0,88.0,0.20788756
89.0,89.0,0.06861775
90.0,90.0,0.55131245
91.0,91.0,0.09668698
92.0,92.0,0.2557642
93.0,93.0,0.07202975
94.0,94.0,0.526047
95.0,95.0,0.085978314
96.0,96.0,1.2458142E-4
97.0,97.0,0.2191283
98.0,98.0,0.12530735
99.0,99.0,0.20713289
100.0,100.0,0.2888024
101.0,101.0,0.051345572
102.0,102.0,0.34394723
103.0,103.0,0.05050436
104.0,104.0,0.16785668
105.0,105.0,0.1958727
106.0,106.0,0.11778509
107.0,107.0,0.3622089
108.0,108.0,0.21598099
109.0,109.0,0.20112224
110.0,110.0,0.127316
111.0,111.0,0.2513909
112.0,112.0,0.03060348
113.0,113.0,0.26366785
114.0,114.0,0.024472635
115.0,115.0,0.2040602
116.0,116.0,0.2833912
117.0,117.0,0.07094346
118.0,118.0,0.076522276
119.0,119.0,0.2828184
120.0,120.0,0.11304939
121.0,121.0,0.1846145
122.0,122.0,0.29577944
123.0,123.0,0.13077949
124.0,124.0,0.52351606
125.0,125.0,0.22687466
126.0,126.0,0.153133
127.0,127.0,0.17857766
128.0,128.0,0.0653159
129.0,129.0,0.040426474
130.0,130.0,0.5905378
131.0,131.0,0.29699948
132.0,132.0,0.053995717
133.0,133.0,0.03775423
134.0,134.0,0.14227907
135.0,135.0,0.24986377
136.0,136.0,0.24802585
137.0,137.0,0.08318643
138.0,138.0,0.7717021
139.0,139.0,0.22455618
140.0,140.0,9.932541E-4
141.0,141.0,0.14385146
142.0,142.0,0.124882914
143.0,143.0,0.19410308
144.0,144.0,0.5167058
145.0,145.0,0.1965101
146.0,146.0,0.21931875
147.0,147.0,0.25018486
148.0,148.0,0.10265197
149.0,149.0,0.3993425
150.0,150.0,0.21818721
151.0,151.0,0.21423382
152.0,152.0,0.7226816
153.0,153.0,0.08083938
154.0,154.0,0.4931594
155.0,155.0,0.2910261
156.0,156.0,0.018408714
157.0,157.0,0.23804356
158.0,158.0,0.063778214
159.0,159.0,0.13415183
160.0,160.0,0.5627391
161.0,161.0,0.051974986
162.0,162.0,0.18919078
163.0,163.0,0.38143232
164.0,164.0,0.040909506
165.0,165.0,0.56365544
166.0,166.0,0.001313359
167.0,167.0,0.2370323
168.0,168.0,0.24075958
169.0,169.0,0.06716895
170.0,170.0,0.2452397
171.0,171.0,0.072791606
172.0,172.0,0.102520086
173.0,173.0,0.49638146
174.0,174.0,0.28759807
175.0,175.0,0.35280755
176.0,176.0,0.04382689
177.0,177.0,0.1438217
178.0,178.0,0.04833982
179.0,179.0,0.36427
180.0,180.0,0.5728803
181.0,181.0,0.11925364
182.0,182.0,0.23872308
183.0,183.0,0.25701562
184.0,184.0,0.2553093
185.0,185.0,0.42376262
186.0,186.0,0.21543176
187.0,187.0,0.35708067
188.0,188.0,0.07385725
189.0,189.0,0.066511095
190.0,190.0,0.073002025
191.0,191.0,0.05533152
192.0,192.0,0.23198242
193.0,193.0,0.08165197
194.0,194.0,0.41772753
195.0,195.0,0.6372094
196.0,196.0,0.39606276
197.0,197.0,0.20903555
198.0,198.0,0.12359082
199.0,199.0,0.2363227
200.0,200.0,0.05695174
201.0,201.0,0.1479968
202.0,202.0,0.65149444
203.0,203.0,0.034702685
204.0,204.0,0.23126197
205.0,205.0,0.18810754
206.0,206.0,0.5218346
207.0,207.0,0.7596275
208.0,208.0,0.18557996
209.0,209.0,0.4440482
210.0,210.0,0.06197995
211.0,211.0,0.04829248
212.0,212.0,0.48322967
213.0,213.0,0.041279215
214.0,214.0,0.14903964
215.0,215.0,0.40186423
216.0,216.0,0.0416209
217.0,217.0,0.033941556
218.0,218.0,0.26608866
219.0,219.0,0.21323825
220.0,220.0,0.21578889
221.0,221.0,0.016247805
222.0,222.0,0.21372509
223.0,223.0,0.06876276
224.0,224.0,0.04494892
225.0,225.0,0.07883548
226.0,226.0,0.21918762
227.0,227.0,0.40340844
228.0,228.0,0.06401836
229.0,229.0,0.20427318
230.0,230.0,0.05417899
231.0,231.0,0.16550936
232.0,232.0,0.07098831
233.0,233.0,0.4416699
234.0,234.0,0.22921532
235.0,235.0,0.14214972
236.0,236.0,0.77844536
237.0,237.0,0.058839537
238.0,238.0,0.046904054
239.0,239.0,0.05384728
240.0,240.0,0.26923877
241.0,241.0,0.47609353
242.0,242.0,0.45472127
243.0,243.0,0.1919862
244.0,244.0,0.21404205
245.0,245.0,0.436561
246.0,246.0,0.123649746
247.0,247.0,0.042696014
248.0,248.0,0.24330688
249.0,249.0,0.33270547
250.0,250.0,0.28000507
251.0,251.0,0.3900159
252.0,252.0,0.17852777
253.0,253.0,0.1367796
254.0,254.0,0.3196194
255.0,255.0,0.047002945
256.0,256.0,0.30872804
257.0,257.0,0.16719398
258.0,258.0,0.0894576
259.0,259.0,0.016995968
260.0,260.0,0.1700863
261.0,261.0,0.18821084
262.0,262.0,0.41277507
263.0,263.0,0.19518876
264.0,264.0,0.19532049
265.0,265.0,0.3235829
266.0,266.0,0.14504378
267.0,267.0,0.07779583
268.0,268.0,0.16495167
269.0,269.0,0.074629806
270.0,270.0,0.1997101
271.0,271.0,0.048273478
272.0,272.0,0.8625668
273.0,273.0,4.6294898E-4
274.0,274.0,0.41303104
275.0,275.0,0.56897664
276.0,276.0,0.17818141
277.0,277.0,0.03158871
278.0,278.0,0.21983491
279.0,279.0,0.30977
280.0,280.0,0.2738683
281.0,281.0,0.19108261
282.0,282.0,0.25588346
283.0,283.0,0.07261337
284.0,284.0,0.20965518
285.0,285.0,0.10428527
286.0,286.0,0.14960308
287.0,287.0,0.8586698
288.0,288.0,0.06170287
289.0,289.0,0.5778608
290.0,290.0,0.69129837
291.0,291.0,0.11018969
292.0,292.0,0.10708283
293.0,293.0,0.020851148
294.0,294.0,0.22060515
295.0,295.0,0.069991894
296.0,296.0,0.18022655
297.0,297.0,0.085094824
298.0,298.0,0.25145814
299.0,299.0,0.06439542
300.0,300.0,0.22258487
301.0,301.0,0.23779446
302.0,302.0,0.16976069
303.0,303.0,0.04737307
304.0,304.0,0.024990885
305.0,305.0,0.5424296
306.0,306.0,0.21106173
307.0,307.0,0.21938974
308.0,308.0,0.1521699
309.0,309.0,0.54216594
310.0,310.0,0.20836976
311.0,311.0,0.26960012
312.0,312.0,0.207772
313.0,313.0,0.3544757
314.0,314.0,0.2867212
315.0,315.0,0.11431617
316.0,316.0,0.3125897
317.0,317.0,0.13184698
318.0,318.0,0.19073075
319.0,319.0,0.13449787
320.0,320.0,0.28153712
321.0,321.0,0.77858037
322.0,322.0,0.19207382
323.0,323.0,0.25266993
324.0,324.0,0.25430185
325.0,325.0,0.20418306
326.0,326.0,0.52755845
327.0,327.0,0.25214985
328.0,328.0,0.08366338
329.0,329.0,0.35027382
330.0,330.0,0.057792697
331.0,331.0,0.10038699
332.0,332.0,0.54667616
333.0,333.0,0.060826138
334.0,334.0,0.73030204
335.0,335.0,0.031126298
336.0,336.0,0.20460711
337.0,337.0,0.22344461
338.0,338.0,0.62243044
339.0,339.0,0.085150644
340.0,340.0,0.03818995
341.0,341.0,0.21414317
342.0,342.0,0.18017086
343.0,343.0,0.34415188
344.0,344.0,0.34747982
345.0,345.0,0.18894903
346.0,346.0,0.21546902
347.0,347.0,0.2908737
348.0,348.0,0.10752611
349.0,349.0,0.06934877
350.0,350.0,0.19698262
351.0,351.0,0.03157519
352.0,352.0,0.28467312
353.0,353.0,0.08291839
354.0,354.0,0.048452575
355.0,355.0,0.016546018
356.0,356.0,0.1719767
357.0,357.0,0.072976865
358.0,358.0,0.1191288
359.0,359.0,0.12109413
360.0,360.0,0.051278114
361.0,361.0,0.25251302
362.0,362.0,0.117336586
363.0,363.0,0.65143085
364.0,364.0,0.095089905
365.0,365.0,0.9248355
366.0,366.0,0.51434135
367.0,367.0,0.5118589
368.0,368.0,0.5283758
369.0,369.0,0.1869414
370.0,370.0,0.25525188
371.0,371.0,0.040157326
372.0,372.0,0.29099023
373.0,373.0,0.23282318
374.0,374.0,0.28524947
375.0,375.0,0.1671027
376.0,376.0,0.19465324
377.0,377.0,0.050647285
378.0,378.0,0.16222422
379.0,379.0,0.6523095
380.0,380.0,0.46944794
381.0,381.0,0.48570937
382.0,382.0,0.18170865
383.0,383.0,0.12192933
384.0,384.0,0.44182503
385.0,385.0,0.080832
386.0,386.0,0.24968085
387.0,387.0,0.08796083
388.0,388.0,0.026385594
389.0,389.0,0.13605039
390.0,390.0,0.35755014
391.0,391.0,0.28814703
392.0,392.0,0.11584038
393.0,393.0,0.17221473
394.0,394.0,0.05199939
395.0,395.0,0.54224896
396.0,396.0,0.053065576
397.0,397.0,0.30318025
398.0,398.0,0.27505037
399.0,399.0,0.14724372
400.0,400.0,0.20806812
401.0,401.0,0.27923638
402.0,402.0,0.008352482
403.0,403.0,0.039262176
404.0,404.0,0.043622248
405.0,405.0,0.2733634
406.0,406.0,0.12288714
407.0,407.0,0.042452883
408.0,408.0,0.7172764
409.0,409.0,0.036439937
410.0,410.0,0.07109953
411.0,411.0,0.21699837
412.0,412.0,0.25176373
413.0,413.0,0.28202218
414.0,414.0,0.2573461
415.0,415.0,0.22603723
416.0,416.0,0.42667332
417.0,417.0,0.14471065
418.0,418.0,0.10983981
419.0,419.0,0.044943143
420.0,420.0,0.024274236
421.0,421.0,0.06494337
422.0,422.0,0.13978176
423.0,423.0,0.19608347
424.0,424.0,0.41261703
425.0,425.0,0.23378082
426.0,426.0,0.56522185
427.0,427.0,0.1296305
428.0,428.0,0.20798212
429.0,429.0,0.63503116
430.0,430.0,0.1696683
431.0,431.0,0.26321328
432.0,432.0,0.13800904
433.0,433.0,0.2552096
434.0,434.0,0.1283546
435.0,435.0,0.08020076
436.0,436.0,0.16967362
437.0,437.0,0.26520804
438.0,438.0,0.21448757
439.0,439.0,0.04964984
440.0,440.0,0.15300973
441.0,441.0,0.5683583
442.0,442.0,0.053335987
443.0,443.0,0.65446496
444.0,444.0,0.0473806
445.0,445.0,0.22253107
446.0,446.0,0.09449751
447.0,447.0,0.2032931
448.0,448.0,0.2956712
449.0,449.0,0.16714032
450.0,450.0,0.027344257
451.0,451.0,0.076940015
452.0,452.0,0.29342452
453.0,453.0,0.057548597
454.0,454.0,0.2833539
455.0,455.0,0.56452197
456.0,456.0,0.39834118
457.0,457.0,0.19332948
458.0,458.0,0.39662617
459.0,459.0,0.26517978
460.0,460.0,0.044812787
461.0,461.0,0.042779535
462.0,462.0,0.20834218
463.0,463.0,0.030738065
464.0,464.0,0.5711765
465.0,465.0,0.18575062
466.0,466.0,0.5458203
467.0,467.0,0.67760944
468.0,468.0,0.41422474
469.0,469.0,0.20759887
470.0,470.0,0.19896209
471.0,471.0,0.33621284
472.0,472.0,0.47992742
473.0,473.0,0.34621364
474.0,474.0,0.32591802
475.0,475.0,0.32081327
476.0,476.0,0.47615066
477.0,477.0,0.1688157
478.0,478.0,0.6105521
479.0,479.0,0.60787
480.0,480.0,0.20436662
481.0,481.0,0.063465945
482.0,482.0,0.15000813
483.0,483.0,0.15927485
484.0,484.0,0.27544847
485.0,485.0,0.27042502
486.0,486.0,0.2377986
487.0,487.0,0.15953352
488.0,488.0,0.067458935
489.0,489.0,0.22686702
490.0,490.0,0.38852596
491.0,491.0,0.34268025
492.0,492.0,0.07063911
493.0,493.0,0.08803183
494.0,494.0,0.5927813
495.0,495.0,0.29554874
496.0,496.0,0.18738413
497.0,497.0,0.4778989
498.0,498.0,0.15144122
499.0,499.0,0.22979939
500.0,500.0,0.15383567
501.0,501.0,0.3582161
502.0,502.0,0.11750653
503.0,503.0,0.19085832
504.0,504.0,0.27028513
505.0,505.0,0.13612995
506.0,506.0,0.15832408
507.0,507.0,0.08767711
508.0,508.0,0.20711787
509.0,509.0,0.025881674
510.0,510.0,0.33483082
511.0,511.0,0.14283583
512.0,512.0,0.31455815
513.0,513.0,0.037116703
514.0,514.0,0.0480303
515.0,515.0,0.24688503
516.0,516.0,0.08624216
517.0,517.0,0.01888028
518.0,518.0,0.273248
519.0,519.0,0.045156233
520.0,520.0,0.22735825
521.0,521.0,0.39080045
