x,y,species_3 logistic values
1.0,1.0,0.7078561
2.0,2.0,0.5130071
3.0,3.0,0.21358134
4.0,4.0,0.20627639
5.0,5.0,0.042988896
6.0,6.0,0.009377799
7.0,7.0,0.124840766
8.0,8.0,0.10962017
9.0,9.0,0.4732723
10.0,10.0,0.01079432
11.0,11.0,0.113382556
12.0,12.0,0.022410914
13.0,13.0,0.26305145
14.0,14.0,6.571695E-4
15.0,15.0,0.0021125898
16.0,16.0,0.017044974
17.0,17.0,0.011551344
18.0,18.0,1.076545E-4
19.0,19.0,0.10629348
20.0,20.0,0.01785629
21.0,21.0,0.009511373
22.0,22.0,0.30852124
23.0,23.0,0.0012463855
24.0,24.0,0.5219573
25.0,25.0,0.086002596
26.0,26.0,0.07929524
27.0,27.0,0.3580883
28.0,28.0,7.3802256E-4
29.0,29.0,0.0010279267
30.0,30.0,0.043288447
31.0,31.0,0.035709195
32.0,32.0,0.0725083
33.0,33.0,9.806058E-4
34.0,34.0,0.0011961845
35.0,35.0,0.018334419
36.0,36.0,0.025985977
37.0,37.0,0.3396316
38.0,38.0,0.075758316
39.0,39.0,4.6185432E-5
40.0,40.0,0.0047790166
41.0,41.0,0.039769065
42.0,42.0,0.22591144
43.0,43.0,0.06788299
44.0,44.0,0.063340165
45.0,45.0,0.05457691
46.0,46.0,0.027179122
47.0,47.0,8.037787E-4
48.0,48.0,0.13538502
49.0,49.0,0.002518293
50.0,50.0,0.07278158
51.0,51.0,0.0016431154
52.0,52.0,0.0025043436
53.0,53.0,0.017035214
54.0,54.0,0.04025782
55.0,55.0,0.095667966
56.0,56.0,0.13561921
57.0,57.0,0.055485755
58.0,58.0,0.0037720443
59.0,59.0,0.13277605
60.0,60.0,0.7221872
61.0,61.0,0.013289188
62.0,62.0,0.5379308
63.0,63.0,0.5120262
64.0,64.0,0.058661833
65.0,65.0,0.1461203
66.0,66.0,0.20359884
67.0,67.0,0.0866963
68.0,68.0,0.11622765
69.0,69.0,3.8288184E-5
