x,y,species min
1.0,1.0,0.7063577
2.0,2.0,0.4946004
3.0,3.0,0.20641775
4.0,4.0,0.19309558
5.0,5.0,0.03449968
6.0,6.0,0.0060350765
7.0,7.0,0.10074402
8.0,8.0,0.10962017
9.0,9.0,0.39570236
10.0,10.0,0.0069313734
11.0,11.0,0.101433694
12.0,12.0,0.015985426
13.0,13.0,0.26305145
14.0,14.0,6.571695E-4
15.0,15.0,0.0014141673
16.0,16.0,0.010430071
17.0,17.0,0.009629364
18.0,18.0,1.0093814E-4
19.0,19.0,0.07184533
20.0,20.0,0.012068521
21.0,21.0,0.004799152
22.0,22.0,0.2651001
23.0,23.0,7.307279E-4
24.0,24.0,0.47495848
25.0,25.0,0.056684174
26.0,26.0,0.07929524
27.0,27.0,0.3580883
28.0,28.0,7.3802256E-4
29.0,29.0,7.172299E-4
30.0,30.0,0.029876282
31.0,31.0,0.028767336
32.0,32.0,0.03639601
33.0,33.0,6.4944953E-4
34.0,34.0,0.0011961845
35.0,35.0,0.012366189
36.0,36.0,0.01756448
37.0,37.0,0.3396316
38.0,38.0,0.055006962
39.0,39.0,3.172054E-5
40.0,40.0,0.0047790166
41.0,41.0,0.03136186
42.0,42.0,0.19396578
43.0,43.0,0.04854003
44.0,44.0,0.043954607
45.0,45.0,0.04932649
46.0,46.0,0.017940646
47.0,47.0,8.037787E-4
48.0,48.0,0.12405842
49.0,49.0,0.0013483474
50.0,50.0,0.055724338
51.0,51.0,0.0011153475
52.0,52.0,0.0016922896
53.0,53.0,0.010485649
54.0,54.0,0.04025782
55.0,55.0,0.072006725
56.0,56.0,0.10438629
57.0,57.0,0.055485755
58.0,58.0,0.0037720443
59.0,59.0,0.1279228
60.0,60.0,0.65425944
61.0,61.0,0.013289188
62.0,62.0,0.4679007
63.0,63.0,0.39533237
64.0,64.0,0.040558495
65.0,65.0,0.12821665
66.0,66.0,0.20359884
67.0,67.0,0.080538504
68.0,68.0,0.0799292
69.0,69.0,3.2790915E-5
70.0,70.0,0.0026444818
71.0,71.0,0.002055289
72.0,72.0,0.44739935
73.0,73.0,0.002082503
74.0,74.0,0.0015672239
75.0,75.0,0.013754546
76.0,76.0,0.07367172
77.0,77.0,0.011631377
78.0,78.0,0.1683944
79.0,79.0,2.3901272E-5
80.0,80.0,4.2240648E-4
81.0,81.0,0.6510359
82.0,82.0,0.4618731
83.0,83.0,0.0065140165
84.0,84.0,0.41758573
85.0,85.0,0.35953632
86.0,86.0,0.0177472
87.0,87.0,0.003233266
88.0,88.0,0.0016482268
89.0,89.0,0.017803498
90.0,90.0,4.492322E-4
91.0,91.0,0.0686011
92.0,92.0,0.19333893
93.0,93.0,0.001413798
94.0,94.0,0.16810578
95.0,95.0,0.0022540137
96.0,96.0,0.06788782
97.0,97.0,0.003864735
98.0,98.0,0.4608937
99.0,99.0,0.0041667945
100.0,100.0,0.011900172
101.0,101.0,9.801768E-4
102.0,102.0,0.5843152
103.0,103.0,0.15503858
104.0,104.0,0.3719881
105.0,105.0,0.010208721
106.0,106.0,0.1283009
107.0,107.0,3.3687098E-5
108.0,108.0,0.01652617
109.0,109.0,0.019041969
110.0,110.0,0.019026902
111.0,111.0,7.4439903E-4
112.0,112.0,0.013065336
113.0,113.0,0.0027764007
114.0,114.0,0.081125766
115.0,115.0,0.046397068
116.0,116.0,0.855819
117.0,117.0,0.0012578059
118.0,118.0,0.0015034885
119.0,119.0,0.0041095517
120.0,120.0,0.0021227486
121.0,121.0,9.22597E-4
122.0,122.0,0.45730498
123.0,123.0,0.12623702
124.0,124.0,0.0067639984
125.0,125.0,0.022674678
126.0,126.0,0.032143984
127.0,127.0,0.50437295
128.0,128.0,5.0930947E-4
129.0,129.0,6.703448E-4
130.0,130.0,0.0018082019
131.0,131.0,0.059154306
132.0,132.0,6.6715834E-4
133.0,133.0,0.25814375
134.0,134.0,0.29131752
135.0,135.0,0.07330571
136.0,136.0,7.6738826E-4
137.0,137.0,0.0011495365
138.0,138.0,0.007042697
139.0,139.0,0.15289435
140.0,140.0,0.044575028
141.0,141.0,0.19584198
142.0,142.0,0.09562399
143.0,143.0,9.452919E-4
144.0,144.0,0.22786427
145.0,145.0,0.011358015
146.0,146.0,0.004924872
147.0,147.0,9.1483217E-4
148.0,148.0,5.7121983E-4
149.0,149.0,1.7862489E-5
150.0,150.0,0.042354897
151.0,151.0,0.05064248
152.0,152.0,0.015236323
153.0,153.0,0.078615956
154.0,154.0,0.11463687
155.0,155.0,0.002966469
156.0,156.0,0.0046126153
157.0,157.0,0.17329742
158.0,158.0,0.008601615
159.0,159.0,0.0017842656
160.0,160.0,0.14258054
161.0,161.0,0.16363017
162.0,162.0,0.010195455
163.0,163.0,0.0035355294
164.0,164.0,0.3780497
165.0,165.0,0.009578742
166.0,166.0,0.02170814
167.0,167.0,0.1413931
168.0,168.0,0.018212356
169.0,169.0,0.053390242
170.0,170.0,0.0013203509
171.0,171.0,8.112717E-4
172.0,172.0,0.094415486
173.0,173.0,0.0016956369
174.0,174.0,0.036604457
175.0,175.0,0.20108733
176.0,176.0,0.003693898
177.0,177.0,0.36144844
178.0,178.0,0.04079205
179.0,179.0,0.13282265
180.0,180.0,0.004304457
181.0,181.0,0.18914929
182.0,182.0,8.896973E-4
183.0,183.0,0.013140774
184.0,184.0,0.08157783
185.0,185.0,7.1596506E-4
186.0,186.0,0.22585675
187.0,187.0,0.0013920557
188.0,188.0,8.085619E-4
189.0,189.0,0.071757704
190.0,190.0,0.0010094998
191.0,191.0,0.05571478
192.0,192.0,0.0012942078
193.0,193.0,0.08959568
194.0,194.0,4.0108257E-4
195.0,195.0,0.0015191995
196.0,196.0,0.32884237
197.0,197.0,0.0022003583
198.0,198.0,0.092957236
199.0,199.0,0.23588943
200.0,200.0,0.0020091827
201.0,201.0,0.16155973
202.0,202.0,4.385476E-4
203.0,203.0,0.16979271
204.0,204.0,0.0033410387
205.0,205.0,0.007547056
206.0,206.0,9.464012E-4
207.0,207.0,0.010789048
208.0,208.0,0.23606831
209.0,209.0,0.43564215
210.0,210.0,0.0013227995
211.0,211.0,0.049885307
212.0,212.0,0.3463804
213.0,213.0,0.0123492405
214.0,214.0,0.13250904
215.0,215.0,0.5425223
216.0,216.0,0.082709834
217.0,217.0,7.644333E-4
218.0,218.0,0.01669611
219.0,219.0,0.069937475
220.0,220.0,0.0034817578
221.0,221.0,4.6023485E-4
222.0,222.0,0.0038312536
223.0,223.0,0.017627738
224.0,224.0,0.053658865
225.0,225.0,0.023829598
226.0,226.0,0.1158474
227.0,227.0,0.36966604
228.0,228.0,0.0024316108
229.0,229.0,0.1887255
230.0,230.0,0.014816573
231.0,231.0,0.009935027
232.0,232.0,0.021222947
233.0,233.0,5.94882E-4
234.0,234.0,0.0017995891
235.0,235.0,9.90486E-4
236.0,236.0,0.0062370356
237.0,237.0,0.024255592
238.0,238.0,0.10241843
239.0,239.0,0.020015577
240.0,240.0,0.5143674
241.0,241.0,0.07420471
242.0,242.0,6.5526133E-4
243.0,243.0,0.0036060838
244.0,244.0,0.007867259
245.0,245.0,0.10075276
246.0,246.0,0.02217695
247.0,247.0,0.11703515
248.0,248.0,9.405601E-4
249.0,249.0,5.7167094E-4
250.0,250.0,0.0016291209
251.0,251.0,0.7501283
252.0,252.0,0.046945754
253.0,253.0,0.046430483
254.0,254.0,0.0013857388
255.0,255.0,0.10159185
256.0,256.0,0.1525893
257.0,257.0,0.48093292
258.0,258.0,0.19772084
259.0,259.0,0.051565256
260.0,260.0,8.497409E-4
261.0,261.0,0.0114188455
262.0,262.0,0.2909866
263.0,263.0,0.020726407
264.0,264.0,0.71535456
265.0,265.0,0.0018397515
266.0,266.0,8.618924E-4
267.0,267.0,0.12484735
268.0,268.0,0.11266977
269.0,269.0,8.8204484E-4
270.0,270.0,0.0075290096
271.0,271.0,0.075869225
272.0,272.0,0.088608935
273.0,273.0,0.10537701
274.0,274.0,0.43611
275.0,275.0,0.18966563
276.0,276.0,0.0050189593
277.0,277.0,0.10239074
278.0,278.0,0.041209128
279.0,279.0,0.0034911137
280.0,280.0,4.167754E-4
281.0,281.0,0.3760501
282.0,282.0,0.0014061672
283.0,283.0,0.09440899
284.0,284.0,0.0038127904
285.0,285.0,0.08538542
286.0,286.0,0.010472502
287.0,287.0,0.70203036
288.0,288.0,0.20525905
289.0,289.0,4.1954354E-6
290.0,290.0,0.006297645
291.0,291.0,0.14599779
292.0,292.0,0.09540137
293.0,293.0,0.093528055
294.0,294.0,0.007660302
295.0,295.0,0.0016758286
296.0,296.0,5.513424E-4
297.0,297.0,0.15793872
298.0,298.0,0.05329417
299.0,299.0,0.0049537686
300.0,300.0,0.0048385058
301.0,301.0,0.005531012
302.0,302.0,0.008642764
303.0,303.0,0.0011992251
304.0,304.0,5.7949626E-4
305.0,305.0,0.047920104
306.0,306.0,0.013344152
307.0,307.0,0.04640651
308.0,308.0,0.038391076
309.0,309.0,3.9384418E-6
310.0,310.0,3.5207305E-4
311.0,311.0,9.483734E-4
312.0,312.0,0.019209934
313.0,313.0,0.29248726
314.0,314.0,0.0014130905
315.0,315.0,0.637762
316.0,316.0,0.08332395
317.0,317.0,0.0013569529
