x,y,species min
1.0,1.0,0.12020055
2.0,2.0,0.5991701
3.0,3.0,4.3036167E-13
4.0,4.0,0.013249676
5.0,5.0,4.1983742E-13
6.0,6.0,0.0016971627
7.0,7.0,1.3182426E-10
8.0,8.0,8.862081E-16
9.0,9.0,0.0034271865
10.0,10.0,3.5835463E-11
11.0,11.0,1.7316816E-8
12.0,12.0,6.784436E-11
13.0,13.0,2.6069384E-7
14.0,14.0,1.9378451E-4
15.0,15.0,2.1728484E-8
16.0,16.0,8.442278E-14
17.0,17.0,4.375012E-7
18.0,18.0,1.7745106E-4
19.0,19.0,2.4223166E-4
20.0,20.0,5.7855673E-13
21.0,21.0,5.3241953E-14
22.0,22.0,0.008346168
23.0,23.0,0.0014399168
24.0,24.0,1.5542594E-4
25.0,25.0,0.0066241
26.0,26.0,1.4904471E-30
27.0,27.0,0.399799
28.0,28.0,2.9722676E-5
29.0,29.0,9.193414E-5
30.0,30.0,1.3439171E-4
31.0,31.0,1.023825E-12
32.0,32.0,0.0185233
33.0,33.0,3.484052E-5
34.0,34.0,0.0014876362
35.0,35.0,1.6917766E-13
36.0,36.0,1.4371493E-8
37.0,37.0,0.5047493
38.0,38.0,0.010785023
39.0,39.0,0.0016361851
40.0,40.0,0.001218599
41.0,41.0,3.108597E-17
42.0,42.0,5.7171474E-5
43.0,43.0,2.2931796E-7
44.0,44.0,2.4131276E-7
45.0,45.0,1.9956088E-12
46.0,46.0,2.5332535E-17
47.0,47.0,5.7119094E-13
48.0,48.0,1.07622164E-7
49.0,49.0,1.7057653E-6
50.0,50.0,6.843833E-7
51.0,51.0,4.494729E-5
52.0,52.0,6.261681E-37
53.0,53.0,1.4899949E-7
54.0,54.0,0.32419938
55.0,55.0,8.1076605E-6
56.0,56.0,6.899779E-8
57.0,57.0,0.09162888
58.0,58.0,4.6722264E-5
59.0,59.0,2.2111806E-6
60.0,60.0,0.3677457
61.0,61.0,0.0036319087
62.0,62.0,0.048706844
63.0,63.0,0.03626395
64.0,64.0,6.897411E-8
65.0,65.0,8.3251354E-5
66.0,66.0,0.31107098
67.0,67.0,3.2608597E-12
68.0,68.0,3.7255968E-4
69.0,69.0,1.3387766E-4
70.0,70.0,8.621359E-13
71.0,71.0,7.444532E-4
72.0,72.0,1.1851758E-8
73.0,73.0,1.4779962E-6
74.0,74.0,5.158795E-7
75.0,75.0,0.010296938
76.0,76.0,0.0
77.0,77.0,2.6171423E-5
78.0,78.0,0.025210736
79.0,79.0,1.4134077E-4
80.0,80.0,1.2122525E-4
81.0,81.0,4.3088724E-9
82.0,82.0,3.7963447E-4
83.0,83.0,4.2169635E-5
84.0,84.0,0.0088608535
85.0,85.0,0.576236
86.0,86.0,5.3512707E-5
87.0,87.0,3.8328703E-4
88.0,88.0,0.0017900704
89.0,89.0,4.4936164E-7
90.0,90.0,4.294626E-5
91.0,91.0,0.0025567405
92.0,92.0,2.0289244E-7
93.0,93.0,1.5425913E-8
94.0,94.0,0.48087427
95.0,95.0,3.3937127E-20
96.0,96.0,0.43796554
97.0,97.0,2.0971831E-14
98.0,98.0,1.9738155E-4
99.0,99.0,4.8205655E-4
100.0,100.0,2.094438E-19
101.0,101.0,3.878335E-4
102.0,102.0,0.44859198
103.0,103.0,0.009415219
104.0,104.0,0.049712196
105.0,105.0,5.4540905E-14
106.0,106.0,1.8767554E-6
107.0,107.0,6.815404E-4
108.0,108.0,1.8211514E-7
109.0,109.0,4.894108E-7
110.0,110.0,0.0032702724
111.0,111.0,2.1792448E-6
112.0,112.0,0.046421356
113.0,113.0,1.4842638E-16
114.0,114.0,3.8855964E-15
115.0,115.0,3.1053212E-5
116.0,116.0,0.09844825
117.0,117.0,1.1153103E-4
118.0,118.0,1.1310325E-22
119.0,119.0,3.7231626E-8
120.0,120.0,2.47532E-4
121.0,121.0,1.0518019E-4
122.0,122.0,0.64243954
123.0,123.0,8.908996E-27
124.0,124.0,1.5814941E-4
125.0,125.0,6.6079187E-6
126.0,126.0,0.01798436
127.0,127.0,0.008121887
128.0,128.0,3.189833E-37
129.0,129.0,8.324157E-5
130.0,130.0,1.2875161E-7
131.0,131.0,5.775905E-7
132.0,132.0,1.7522344E-4
133.0,133.0,0.008596676
134.0,134.0,0.002348097
135.0,135.0,1.652985E-5
136.0,136.0,3.9362904E-37
137.0,137.0,6.740237E-5
138.0,138.0,4.1538686E-7
139.0,139.0,1.4013334E-4
140.0,140.0,0.0077267657
141.0,141.0,8.009766E-12
142.0,142.0,1.7046599E-8
143.0,143.0,2.0995483E-5
144.0,144.0,6.417017E-4
145.0,145.0,7.890528E-5
146.0,146.0,1.1079386E-8
147.0,147.0,4.506228E-37
148.0,148.0,3.255579E-5
149.0,149.0,6.216885E-4
150.0,150.0,3.7887924E-7
151.0,151.0,3.298074E-8
152.0,152.0,0.039305404
153.0,153.0,0.014737429
154.0,154.0,0.2193072
155.0,155.0,1.9764705E-4
156.0,156.0,0.0041331933
157.0,157.0,3.662693E-4
158.0,158.0,2.013018E-6
159.0,159.0,6.5771457E-7
160.0,160.0,1.1663918E-6
161.0,161.0,4.9927206E-5
162.0,162.0,6.309376E-8
163.0,163.0,9.2505384E-4
164.0,164.0,0.006244302
165.0,165.0,7.1721384E-5
166.0,166.0,0.031555098
167.0,167.0,3.6070944E-4
168.0,168.0,2.2806702E-7
169.0,169.0,7.5062353E-6
170.0,170.0,5.6017685E-5
171.0,171.0,7.3110196E-4
172.0,172.0,0.021657798
173.0,173.0,4.37119E-4
174.0,174.0,3.4957728E-17
175.0,175.0,1.3900245E-6
176.0,176.0,5.872804E-29
177.0,177.0,0.0028525041
178.0,178.0,2.9094519E-8
179.0,179.0,0.065492615
180.0,180.0,3.2764924E-4
181.0,181.0,0.021978583
182.0,182.0,4.2261334E-7
183.0,183.0,3.6763404E-7
184.0,184.0,9.980745E-7
185.0,185.0,1.7977666E-4
186.0,186.0,0.014033632
187.0,187.0,2.0862774E-6
188.0,188.0,1.1131423E-24
189.0,189.0,9.604854E-6
190.0,190.0,0.0010287161
191.0,191.0,1.9131197E-5
192.0,192.0,1.8475657E-8
193.0,193.0,0.0030790833
194.0,194.0,1.3938076E-4
195.0,195.0,0.004514777
196.0,196.0,1.647601E-4
197.0,197.0,9.875364E-12
198.0,198.0,1.6646501E-8
199.0,199.0,0.024470616
200.0,200.0,1.2573751E-21
201.0,201.0,0.046685204
202.0,202.0,7.439988E-4
203.0,203.0,1.8593553E-5
204.0,204.0,1.0410027E-17
205.0,205.0,4.5738126E-8
206.0,206.0,5.2249216E-5
207.0,207.0,0.0075412276
208.0,208.0,0.009183398
209.0,209.0,3.50894E-9
210.0,210.0,5.0509733E-17
211.0,211.0,0.030535433
212.0,212.0,1.44364725E-8
213.0,213.0,0.018954039
214.0,214.0,2.793427E-4
215.0,215.0,0.6827402
216.0,216.0,1.201206E-10
217.0,217.0,7.003677E-5
218.0,218.0,3.969226E-7
219.0,219.0,4.89421E-12
220.0,220.0,2.0200975E-14
221.0,221.0,1.543648E-4
222.0,222.0,3.8148582E-14
223.0,223.0,4.3299585E-7
224.0,224.0,1.0566724E-9
225.0,225.0,2.6558345E-13
226.0,226.0,9.6212645E-8
227.0,227.0,0.0010787873
228.0,228.0,9.988078E-5
229.0,229.0,1.85678E-5
230.0,230.0,9.680318E-4
231.0,231.0,4.212825E-17
232.0,232.0,3.3708744E-8
233.0,233.0,1.946753E-4
234.0,234.0,1.710986E-8
235.0,235.0,1.9330012E-6
236.0,236.0,4.1098716E-7
237.0,237.0,1.2028174E-4
238.0,238.0,1.3867348E-10
239.0,239.0,5.2433777E-5
240.0,240.0,1.8369411E-4
241.0,241.0,0.018506361
242.0,242.0,1.6649708E-4
243.0,243.0,1.4276525E-12
244.0,244.0,1.3578899E-5
245.0,245.0,1.4498469E-6
246.0,246.0,0.012443739
247.0,247.0,0.0013981042
248.0,248.0,5.4943268E-12
249.0,249.0,1.1132056E-4
250.0,250.0,3.0154242E-6
251.0,251.0,0.001866705
252.0,252.0,3.8152862E-8
253.0,253.0,9.572516E-13
254.0,254.0,8.978934E-8
255.0,255.0,3.688341E-12
256.0,256.0,0.46670613
257.0,257.0,0.6496931
258.0,258.0,2.7396312E-9
259.0,259.0,1.0768596E-31
260.0,260.0,1.01182915E-4
261.0,261.0,9.981565E-11
262.0,262.0,1.2050224E-4
263.0,263.0,1.6764051E-4
264.0,264.0,0.52666587
265.0,265.0,8.989132E-4
266.0,266.0,2.7520827E-8
267.0,267.0,0.0169195
268.0,268.0,1.4089381E-10
269.0,269.0,6.0549454E-4
270.0,270.0,1.0078137E-8
271.0,271.0,1.2853123E-9
272.0,272.0,0.023953738
273.0,273.0,0.5573443
274.0,274.0,0.28025135
275.0,275.0,0.447654
276.0,276.0,0.0019414257
277.0,277.0,6.256103E-12
278.0,278.0,1.7604162E-7
279.0,279.0,1.7794398E-11
280.0,280.0,3.2308097E-5
281.0,281.0,0.01709077
282.0,282.0,9.3246435E-6
283.0,283.0,5.8450205E-6
284.0,284.0,4.5567046E-7
285.0,285.0,0.002759441
286.0,286.0,0.0
287.0,287.0,9.489845E-6
288.0,288.0,4.9757826E-5
289.0,289.0,0.002231375
290.0,290.0,1.00007455E-4
291.0,291.0,0.017167395
292.0,292.0,5.7598314E-12
293.0,293.0,1.6600485E-6
294.0,294.0,3.2344946E-14
295.0,295.0,4.3444211E-7
296.0,296.0,4.8013508E-8
297.0,297.0,5.0253195E-5
298.0,298.0,3.4170977E-8
299.0,299.0,1.9834812E-4
300.0,300.0,8.098195E-8
301.0,301.0,7.4373785E-4
302.0,302.0,3.550449E-17
303.0,303.0,1.1850344E-12
