x,y,species_4 logistic values
1.0,1.0,0.4095844
2.0,2.0,0.7435628
3.0,3.0,2.1139291E-4
4.0,4.0,0.04113289
5.0,5.0,0.010967691
6.0,6.0,0.031767778
7.0,7.0,0.010548651
8.0,8.0,0.0036192264
9.0,9.0,0.28736478
10.0,10.0,0.46634465
11.0,11.0,0.007950348
12.0,12.0,0.20491411
13.0,13.0,0.005789985
14.0,14.0,0.025899054
15.0,15.0,0.1276555
16.0,16.0,0.16495417
17.0,17.0,0.09316697
18.0,18.0,0.014280828
19.0,19.0,0.060610797
20.0,20.0,0.11753966
21.0,21.0,0.1500269
22.0,22.0,0.051809818
23.0,23.0,0.032347698
24.0,24.0,0.18611719
25.0,25.0,0.05687804
26.0,26.0,2.9091473E-4
27.0,27.0,0.67969614
28.0,28.0,0.058194976
29.0,29.0,0.028964367
30.0,30.0,0.028283082
31.0,31.0,0.13665782
32.0,32.0,0.20650013
33.0,33.0,0.23191516
34.0,34.0,0.013878388
35.0,35.0,0.23334539
36.0,36.0,0.025757948
37.0,37.0,0.7535408
38.0,38.0,0.032062534
39.0,39.0,0.17946504
40.0,40.0,0.006322303
41.0,41.0,0.19698751
42.0,42.0,0.051406287
43.0,43.0,0.0260555
44.0,44.0,0.2583447
45.0,45.0,0.1642274
46.0,46.0,0.11579594
47.0,47.0,0.17718631
48.0,48.0,0.0255079
49.0,49.0,0.37768874
50.0,50.0,0.05910134
51.0,51.0,0.15493292
52.0,52.0,0.0013263985
53.0,53.0,0.4515525
54.0,54.0,0.6963792
55.0,55.0,0.3382112
56.0,56.0,0.120118394
57.0,57.0,0.004051896
58.0,58.0,0.012886422
59.0,59.0,0.0011453067
60.0,60.0,0.5721289
61.0,61.0,0.002703936
62.0,62.0,0.38531557
63.0,63.0,0.6627931
64.0,64.0,0.4671605
65.0,65.0,0.004404981
66.0,66.0,0.66489047
67.0,67.0,0.004221622
68.0,68.0,0.19256257
69.0,69.0,0.012167932
70.0,70.0,0.0037172514
71.0,71.0,0.03720995
72.0,72.0,4.8437007E-4
73.0,73.0,0.56916463
74.0,74.0,0.13941124
75.0,75.0,0.21093547
76.0,76.0,9.912846E-5
77.0,77.0,0.6284012
78.0,78.0,0.0105928425
79.0,79.0,0.012018979
80.0,80.0,0.014157392
81.0,81.0,3.1769372E-4
82.0,82.0,0.06747336
83.0,83.0,0.6022559
84.0,84.0,0.08620508
85.0,85.0,0.7761408
86.0,86.0,0.029836996
87.0,87.0,0.41511664
88.0,88.0,0.5929539
89.0,89.0,0.07300003
90.0,90.0,0.030335598
91.0,91.0,0.009172149
92.0,92.0,0.0052070585
93.0,93.0,0.3475077
94.0,94.0,0.65741485
95.0,95.0,0.2519142
96.0,96.0,0.745636
97.0,97.0,0.12619674
98.0,98.0,0.020658588
99.0,99.0,0.03290559
100.0,100.0,0.2866993
101.0,101.0,0.31299192
102.0,102.0,0.74915725
103.0,103.0,0.08711726
104.0,104.0,0.67743266
