X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,7.572144688412764E-4,89.93565965211486,0.6939901711468321
4.0,4.0,train,4.442539349085749E-4,65.12899548834731,0.5709162421026583
6.0,6.0,train,2.7723200735814716E-4,33.45856354701832,0.45364568642570374
7.0,7.0,train,2.564277091909789E-4,29.157512603710856,0.43439070869968605
9.0,9.0,train,1.6866778168335943E-4,14.241935393844592,0.3356199436207771
11.0,11.0,train,0.0012665506604960248,99.34078870207647,0.7913771397903243
12.0,12.0,train,7.037931290432423E-4,88.2954003763514,0.6782363400509634
13.0,13.0,train,0.001177625122725769,98.11040963473219,0.7791034133198608
14.0,14.0,train,7.767307121374563E-4,90.78098570304246,0.6993674996464391
15.0,15.0,train,0.0011692654439158516,98.0279397620897,0.7778749130751573
16.0,16.0,train,2.2011952046810163E-4,23.195897178802515,0.39732217826749605
17.0,17.0,train,6.793841236608064E-4,87.8459871176042,0.6704852830215213
18.0,18.0,train,8.045892087888611E-4,91.50364532317047,0.7067239654538913
19.0,19.0,train,7.495444129120551E-4,89.58124716575927,0.6918238041217457
20.0,20.0,train,2.898420378056878E-4,36.522429914288104,0.4646913998632233
21.0,21.0,train,3.01954939338339E-4,39.214149611369905,0.474889105601521
22.0,22.0,train,2.09960090127843E-4,21.58157445756944,0.3860637732737655
2.0,2.0,test,3.633249305460327E-4,55.653602832183594,0.5211103448367808
3.0,3.0,test,1.5845868096638706E-4,12.443222374129576,0.3218436319505628
5.0,5.0,test,2.0638570697085315E-4,21.116888849048646,0.3820020489788376
8.0,8.0,test,2.734113263166095E-4,32.260757323900414,0.45020842726472904
10.0,10.0,test,2.914990921681369E-4,36.82618202405799,0.46610977785539126
