x,y,species median
1.0,1.0,0.4625928
2.0,2.0,0.30343357
3.0,3.0,0.6172503
4.0,4.0,0.5635907
5.0,5.0,0.6172503
6.0,6.0,0.001338846
7.0,7.0,0.4928834
8.0,8.0,0.6172503
9.0,9.0,0.3256426
10.0,10.0,0.32840413
11.0,11.0,0.62339884
12.0,12.0,0.48786402
13.0,13.0,0.5089351
14.0,14.0,0.36569047
15.0,15.0,0.1948587
16.0,16.0,0.24356833
17.0,17.0,0.34706676
18.0,18.0,0.3484131
19.0,19.0,0.30463302
20.0,20.0,0.45036852
21.0,21.0,0.3402934
22.0,22.0,0.49526992
23.0,23.0,0.38385797
24.0,24.0,0.47992
25.0,25.0,0.47067294
26.0,26.0,0.528456
27.0,27.0,0.3053034
28.0,28.0,0.34239766
29.0,29.0,0.48165992
30.0,30.0,0.34059614
31.0,31.0,0.47866726
32.0,32.0,0.023624614
33.0,33.0,0.13376418
34.0,34.0,0.45048928
35.0,35.0,0.41201228
36.0,36.0,0.5161387
37.0,37.0,0.0017946328
38.0,38.0,0.42220587
39.0,39.0,0.21543536
40.0,40.0,0.41662
41.0,41.0,0.56100833
42.0,42.0,0.43483943
43.0,43.0,0.28201824
44.0,44.0,0.61871225
45.0,45.0,0.42664698
46.0,46.0,0.5575394
47.0,47.0,0.20448788
48.0,48.0,0.52704495
49.0,49.0,0.16385967
50.0,50.0,0.43900558
51.0,51.0,0.07984783
52.0,52.0,0.06077764
53.0,53.0,0.17637934
54.0,54.0,2.2220247E-7
55.0,55.0,0.42757437
56.0,56.0,0.5230276
57.0,57.0,1.8561828E-5
58.0,58.0,0.3963439
59.0,59.0,0.52251166
60.0,60.0,0.02416798
61.0,61.0,9.318394E-6
62.0,62.0,0.47920543
63.0,63.0,0.02070372
64.0,64.0,0.3208993
65.0,65.0,0.46631435
66.0,66.0,0.004981552
67.0,67.0,0.5551434
68.0,68.0,0.18029833
69.0,69.0,0.3614638
70.0,70.0,0.42453682
71.0,71.0,0.40477702
72.0,72.0,0.49691242
73.0,73.0,0.20407616
74.0,74.0,0.14577876
75.0,75.0,0.41920304
76.0,76.0,0.5322112
77.0,77.0,0.19598232
78.0,78.0,0.47478756
79.0,79.0,0.6053263
80.0,80.0,0.6811644
81.0,81.0,0.47890896
82.0,82.0,0.5279539
83.0,83.0,0.40770224
84.0,84.0,0.5038801
85.0,85.0,0.0017699716
86.0,86.0,0.6073876
87.0,87.0,0.3969411
88.0,88.0,0.24779996
89.0,89.0,0.47449198
90.0,90.0,0.34873843
91.0,91.0,0.63197154
92.0,92.0,0.5081374
93.0,93.0,0.08640805
94.0,94.0,0.008753166
95.0,95.0,0.17494237
96.0,96.0,2.1556758E-7
97.0,97.0,0.3436668
98.0,98.0,0.5352256
99.0,99.0,0.38432857
100.0,100.0,0.1897173
101.0,101.0,0.2505656
102.0,102.0,0.40132463
103.0,103.0,9.2744833E-4
104.0,104.0,0.10174146
105.0,105.0,0.31702074
106.0,106.0,0.518479
107.0,107.0,0.12749133
108.0,108.0,0.5571113
109.0,109.0,0.6014266
110.0,110.0,0.47397733
111.0,111.0,0.56999093
112.0,112.0,0.0017039123
113.0,113.0,0.6498476
114.0,114.0,0.51634395
115.0,115.0,0.5415352
116.0,116.0,0.15617055
117.0,117.0,0.06910662
118.0,118.0,0.30970544
119.0,119.0,0.18257251
120.0,120.0,0.34233177
121.0,121.0,0.1628311
122.0,122.0,0.010458174
123.0,123.0,0.51272106
124.0,124.0,0.35602143
125.0,125.0,0.4942521
126.0,126.0,0.13332969
127.0,127.0,0.4096103
128.0,128.0,0.044043005
129.0,129.0,0.2833577
130.0,130.0,0.4231661
131.0,131.0,0.4476843
132.0,132.0,0.11101723
133.0,133.0,0.0012004471
134.0,134.0,0.36475462
135.0,135.0,0.4564181
136.0,136.0,0.062790096
137.0,137.0,0.20151444
138.0,138.0,0.5171209
139.0,139.0,0.621844
140.0,140.0,8.24544E-6
141.0,141.0,0.37649047
142.0,142.0,0.63475037
143.0,143.0,0.3129087
144.0,144.0,0.50911665
145.0,145.0,0.70905226
146.0,146.0,0.4386555
147.0,147.0,0.061369278
148.0,148.0,0.3535367
149.0,149.0,0.23378405
150.0,150.0,0.58927214
151.0,151.0,0.56875986
152.0,152.0,0.27045593
153.0,153.0,0.4753057
154.0,154.0,0.12752406
155.0,155.0,0.344795
156.0,156.0,9.08081E-4
157.0,157.0,0.51272887
158.0,158.0,0.37641963
159.0,159.0,0.113049395
160.0,160.0,0.53925246
161.0,161.0,0.403962
162.0,162.0,0.4589237
163.0,163.0,0.56424
164.0,164.0,0.38810617
165.0,165.0,0.36383155
166.0,166.0,1.8968065E-5
167.0,167.0,0.5259957
168.0,168.0,0.16955946
169.0,169.0,0.34444577
170.0,170.0,0.1804579
171.0,171.0,0.20879814
172.0,172.0,0.560597
173.0,173.0,0.5351124
174.0,174.0,0.57339984
175.0,175.0,0.5982777
176.0,176.0,0.56664896
177.0,177.0,0.351473
178.0,178.0,0.41545963
179.0,179.0,0.022715906
180.0,180.0,0.40015563
181.0,181.0,0.50895345
182.0,182.0,0.1773788
183.0,183.0,0.59849477
184.0,184.0,0.43364078
185.0,185.0,0.43102443
186.0,186.0,0.56996953
187.0,187.0,0.24798726
188.0,188.0,0.46537903
189.0,189.0,0.33804193
190.0,190.0,0.52363044
191.0,191.0,0.46941277
192.0,192.0,0.2134179
193.0,193.0,0.41912842
194.0,194.0,0.69638246
195.0,195.0,0.5628177
196.0,196.0,0.35991898
197.0,197.0,0.42039862
198.0,198.0,0.6345859
199.0,199.0,0.48419136
200.0,200.0,0.6044376
201.0,201.0,0.560597
202.0,202.0,0.23125914
203.0,203.0,0.3982506
204.0,204.0,0.26874506
205.0,205.0,0.41069776
206.0,206.0,0.35880458
207.0,207.0,0.4638155
208.0,208.0,0.6272698
209.0,209.0,0.61357015
210.0,210.0,0.612558
211.0,211.0,9.814076E-4
212.0,212.0,0.4959813
213.0,213.0,0.002726779
214.0,214.0,0.52580154
215.0,215.0,0.008503125
216.0,216.0,0.5094152
217.0,217.0,0.27003562
218.0,218.0,0.526185
219.0,219.0,0.34036553
220.0,220.0,0.34396532
221.0,221.0,0.08108287
222.0,222.0,0.3648014
223.0,223.0,0.4602135
224.0,224.0,0.4570724
225.0,225.0,0.4203528
226.0,226.0,0.48480228
227.0,227.0,0.2907176
228.0,228.0,0.62660146
229.0,229.0,0.3899065
230.0,230.0,5.064771E-4
231.0,231.0,0.1899529
232.0,232.0,0.3647368
233.0,233.0,0.44263867
234.0,234.0,0.21821076
235.0,235.0,0.15784839
236.0,236.0,0.56843704
237.0,237.0,0.20220108
238.0,238.0,0.49539706
239.0,239.0,0.4625207
240.0,240.0,0.47665122
241.0,241.0,0.36389032
242.0,242.0,0.44343585
243.0,243.0,0.65129656
244.0,244.0,0.25446203
245.0,245.0,0.438884
246.0,246.0,0.5591321
247.0,247.0,0.52021724
248.0,248.0,0.32612792
249.0,249.0,0.29621604
250.0,250.0,0.2350774
251.0,251.0,0.4220552
252.0,252.0,0.51902187
253.0,253.0,0.4489385
254.0,254.0,0.18796626
255.0,255.0,0.5369634
256.0,256.0,0.13420767
257.0,257.0,0.0010679131
258.0,258.0,0.51108503
259.0,259.0,0.5152794
260.0,260.0,0.418788
261.0,261.0,0.32180065
262.0,262.0,0.50808877
263.0,263.0,0.6474708
264.0,264.0,7.094049E-4
265.0,265.0,0.42294422
266.0,266.0,0.3452125
267.0,267.0,0.47636434
268.0,268.0,0.6172503
269.0,269.0,0.26278374
270.0,270.0,0.31252557
271.0,271.0,0.50899255
272.0,272.0,0.04487881
273.0,273.0,2.1747967E-7
274.0,274.0,0.21656424
275.0,275.0,0.010184297
276.0,276.0,0.36279562
277.0,277.0,0.5227761
278.0,278.0,0.28270948
279.0,279.0,0.35792854
280.0,280.0,0.48951685
281.0,281.0,0.18800715
282.0,282.0,0.56940514
283.0,283.0,0.5912655
284.0,284.0,0.20525259
285.0,285.0,0.58723176
286.0,286.0,0.46593025
287.0,287.0,0.68128777
288.0,288.0,0.43428853
289.0,289.0,0.483594
290.0,290.0,0.5422998
291.0,291.0,0.5156693
292.0,292.0,0.63469535
293.0,293.0,0.5617848
294.0,294.0,0.38145453
295.0,295.0,0.22079875
296.0,296.0,0.46219566
297.0,297.0,0.47538638
298.0,298.0,0.5723829
299.0,299.0,0.62083906
300.0,300.0,0.16017982
301.0,301.0,0.09799281
302.0,302.0,0.20539309
303.0,303.0,0.040410623
304.0,304.0,0.43145782
305.0,305.0,0.2371516
306.0,306.0,0.42448732
307.0,307.0,0.0020329077
308.0,308.0,0.12100049
309.0,309.0,0.46223828
310.0,310.0,0.5057083
311.0,311.0,0.56073153
312.0,312.0,0.5295642
313.0,313.0,0.2670771
314.0,314.0,0.46925002
315.0,315.0,0.12858701
316.0,316.0,0.5556356
317.0,317.0,0.22612092
318.0,318.0,0.41441733
319.0,319.0,0.059703518
320.0,320.0,0.13089256
321.0,321.0,0.41825187
322.0,322.0,0.56462365
323.0,323.0,0.57182336
324.0,324.0,0.48515937
325.0,325.0,0.53047127
326.0,326.0,0.43696064
327.0,327.0,0.47563523
328.0,328.0,0.29144293
329.0,329.0,0.11041316
330.0,330.0,0.27745682
331.0,331.0,0.58611715
332.0,332.0,0.01195268
333.0,333.0,6.067974E-4
334.0,334.0,0.25477743
335.0,335.0,0.3099854
336.0,336.0,0.6488615
337.0,337.0,0.4092546
338.0,338.0,0.1262897
339.0,339.0,0.46285614
340.0,340.0,0.63489974
341.0,341.0,0.21081993
342.0,342.0,0.5713812
343.0,343.0,0.12305323
344.0,344.0,0.17806134
345.0,345.0,0.43494913
346.0,346.0,0.3430779
347.0,347.0,0.57366705
348.0,348.0,0.477516
349.0,349.0,0.0791034
350.0,350.0,0.493184
351.0,351.0,0.37928677
352.0,352.0,0.39203653
353.0,353.0,0.45359284
354.0,354.0,0.27844965
355.0,355.0,0.06997887
356.0,356.0,0.6671281
357.0,357.0,0.48653176
358.0,358.0,0.0226825
359.0,359.0,0.4164576
360.0,360.0,0.43229213
361.0,361.0,0.25561127
362.0,362.0,0.5120393
363.0,363.0,0.42519608
364.0,364.0,0.024669936
365.0,365.0,0.29267603
366.0,366.0,0.40636894
367.0,367.0,0.4010302
368.0,368.0,0.50505155
369.0,369.0,0.20234637
370.0,370.0,0.44312787
371.0,371.0,0.0028930937
372.0,372.0,0.22489421
373.0,373.0,0.42422217
374.0,374.0,0.49494046
375.0,375.0,0.19670796
376.0,376.0,0.25506064
377.0,377.0,0.13669057
378.0,378.0,0.45866156
379.0,379.0,0.5741165
380.0,380.0,0.35711008
381.0,381.0,0.5034156
382.0,382.0,0.3314902
383.0,383.0,0.2672561
384.0,384.0,0.34754097
385.0,385.0,0.3876694
386.0,386.0,0.507327
387.0,387.0,0.40599307
388.0,388.0,0.4984689
389.0,389.0,0.52844423
390.0,390.0,0.14012872
391.0,391.0,0.3444664
392.0,392.0,0.4469133
393.0,393.0,0.3219914
394.0,394.0,0.23046988
395.0,395.0,0.46372283
396.0,396.0,0.5279925
397.0,397.0,0.56018126
398.0,398.0,0.6172503
399.0,399.0,0.6172503
400.0,400.0,0.411423
401.0,401.0,0.15655792
402.0,402.0,0.5160902
403.0,403.0,0.37722415
404.0,404.0,0.5207202
405.0,405.0,0.50901747
406.0,406.0,0.5555034
407.0,407.0,0.5333318
408.0,408.0,0.43461484
409.0,409.0,0.2737085
410.0,410.0,0.43037984
411.0,411.0,0.52783656
412.0,412.0,0.53456384
413.0,413.0,0.6112969
414.0,414.0,0.54097044
415.0,415.0,0.19465883
416.0,416.0,0.0011503245
417.0,417.0,0.5831156
418.0,418.0,0.4602667
419.0,419.0,0.4414597
420.0,420.0,6.618634E-4
421.0,421.0,0.49988234
422.0,422.0,0.26476133
423.0,423.0,0.39089417
424.0,424.0,0.48177597
425.0,425.0,0.17430407
426.0,426.0,0.43898225
427.0,427.0,0.6172503
428.0,428.0,0.41705996
429.0,429.0,0.3661872
430.0,430.0,0.3435663
431.0,431.0,0.6240092
432.0,432.0,0.19286478
433.0,433.0,0.438884
434.0,434.0,0.5874447
435.0,435.0,0.40414482
436.0,436.0,0.3120169
437.0,437.0,0.483491
438.0,438.0,0.49663973
439.0,439.0,0.3274805
440.0,440.0,0.5005142
441.0,441.0,0.31278935
442.0,442.0,0.40264773
