x,y,species_1 logistic values
1.0,1.0,1.2808253E-8
2.0,2.0,3.7299418E-14
3.0,3.0,3.6403108E-5
4.0,4.0,0.019574929
5.0,5.0,0.0057033813
6.0,6.0,2.0702317E-4
7.0,7.0,0.0023190829
8.0,8.0,0.0012812875
9.0,9.0,1.9393923E-13
10.0,10.0,0.29296312
11.0,11.0,0.0025939045
12.0,12.0,0.05846947
13.0,13.0,0.001651538
14.0,14.0,0.002748313
15.0,15.0,0.11826924
16.0,16.0,0.020688592
17.0,17.0,2.0849406E-5
18.0,18.0,0.11033464
19.0,19.0,5.6975857E-8
20.0,20.0,0.02589264
21.0,21.0,0.015002268
22.0,22.0,0.13572411
23.0,23.0,0.03469579
24.0,24.0,1.1440147E-8
25.0,25.0,0.019317947
26.0,26.0,5.5597986E-5
27.0,27.0,1.1467947E-22
28.0,28.0,0.031436518
29.0,29.0,0.0075032646
30.0,30.0,0.039763633
31.0,31.0,0.030920025
32.0,32.0,1.1655987E-4
33.0,33.0,0.2945708
34.0,34.0,5.719138E-6
35.0,35.0,0.030118968
36.0,36.0,0.05614988
37.0,37.0,5.099056E-17
38.0,38.0,0.008046777
39.0,39.0,0.6624001
40.0,40.0,6.841825E-17
41.0,41.0,0.03772369
42.0,42.0,0.052009825
43.0,43.0,0.21088728
44.0,44.0,0.054946903
45.0,45.0,0.059542507
46.0,46.0,0.011422704
47.0,47.0,0.03294126
48.0,48.0,0.043307193
49.0,49.0,0.35704827
50.0,50.0,0.13416578
51.0,51.0,0.24187885
52.0,52.0,0.003386174
53.0,53.0,0.38322848
54.0,54.0,4.0236367E-24
55.0,55.0,0.25908387
56.0,56.0,0.14468682
57.0,57.0,0.0015925803
58.0,58.0,4.812246E-7
59.0,59.0,0.00503471
60.0,60.0,3.689669E-14
61.0,61.0,0.0011883467
62.0,62.0,1.0796264E-8
63.0,63.0,2.1107903E-20
64.0,64.0,0.24337542
65.0,65.0,0.014942534
66.0,66.0,2.5234095E-25
67.0,67.0,8.4297557E-4
68.0,68.0,0.07878164
69.0,69.0,0.26591086
70.0,70.0,1.1577163E-4
71.0,71.0,2.3867477E-7
72.0,72.0,1.7028152E-4
73.0,73.0,0.47526255
74.0,74.0,0.349134
75.0,75.0,5.2110026E-6
76.0,76.0,2.3892715E-5
77.0,77.0,0.69239205
78.0,78.0,0.0018073594
79.0,79.0,0.30021358
80.0,80.0,8.4426603E-4
81.0,81.0,1.0193068E-4
82.0,82.0,5.6058756E-4
83.0,83.0,0.16719481
84.0,84.0,8.522872E-6
85.0,85.0,9.7153925E-15
86.0,86.0,0.010822047
87.0,87.0,0.076784104
88.0,88.0,0.38945904
89.0,89.0,0.020695018
90.0,90.0,0.032825414
91.0,91.0,0.0063968617
92.0,92.0,0.0015734597
93.0,93.0,0.04327285
94.0,94.0,3.4459287E-35
95.0,95.0,0.093674265
96.0,96.0,5.6497677E-19
97.0,97.0,0.021269161
98.0,98.0,1.956088E-5
99.0,99.0,1.6480412E-4
100.0,100.0,0.14668941
101.0,101.0,0.31922868
102.0,102.0,6.019873E-14
103.0,103.0,2.1892225E-8
104.0,104.0,1.4517616E-20
105.0,105.0,0.03495958
106.0,106.0,0.0041769566
107.0,107.0,0.47388357
108.0,108.0,0.05314052
109.0,109.0,0.012316697
110.0,110.0,0.09318399
111.0,111.0,0.26893705
112.0,112.0,1.2363815E-5
113.0,113.0,1.21255325E-4
114.0,114.0,2.4381712E-4
115.0,115.0,0.034192707
116.0,116.0,2.6805159E-11
117.0,117.0,0.095326595
118.0,118.0,0.027728945
119.0,119.0,0.12821902
120.0,120.0,0.02857837
121.0,121.0,0.3442706
122.0,122.0,2.8986377E-28
123.0,123.0,5.834744E-6
124.0,124.0,2.1863963E-7
125.0,125.0,0.05879658
126.0,126.0,8.1044715E-25
127.0,127.0,6.853575E-8
128.0,128.0,0.0055469447
129.0,129.0,0.30971175
130.0,130.0,1.4448476E-5
131.0,131.0,0.28548738
132.0,132.0,0.12584196
133.0,133.0,1.4700812E-15
134.0,134.0,8.8894507E-4
135.0,135.0,0.12981257
136.0,136.0,0.0041548684
137.0,137.0,0.6292422
138.0,138.0,2.5259293E-5
139.0,139.0,0.001118522
140.0,140.0,2.710718E-4
141.0,141.0,6.915601E-4
142.0,142.0,0.0025956866
143.0,143.0,0.14073902
144.0,144.0,0.021609982
145.0,145.0,2.3340622E-8
146.0,146.0,0.12883344
147.0,147.0,0.005280486
148.0,148.0,0.29427248
149.0,149.0,0.59661597
150.0,150.0,0.07917885
151.0,151.0,0.08404338
152.0,152.0,0.0018433275
153.0,153.0,8.607094E-4
154.0,154.0,2.0528598E-35
155.0,155.0,2.0278515E-6
156.0,156.0,1.4065092E-5
157.0,157.0,0.016005348
158.0,158.0,0.0424773
159.0,159.0,0.31204277
160.0,160.0,0.06991123
161.0,161.0,0.055159096
162.0,162.0,0.01080926
163.0,163.0,1.2057365E-5
164.0,164.0,3.5963046E-7
165.0,165.0,1.0319206E-7
166.0,166.0,0.001100994
167.0,167.0,0.016800173
168.0,168.0,0.373572
169.0,169.0,0.083296485
170.0,170.0,0.2343092
171.0,171.0,0.24208564
172.0,172.0,0.021485424
173.0,173.0,7.06763E-8
174.0,174.0,0.03743418
175.0,175.0,0.0030920657
176.0,176.0,1.343812E-5
177.0,177.0,9.196183E-4
178.0,178.0,0.030413037
179.0,179.0,2.565506E-4
180.0,180.0,5.6215123E-7
181.0,181.0,0.0032453353
182.0,182.0,0.3721915
183.0,183.0,0.030291313
184.0,184.0,0.16913779
185.0,185.0,4.5151114E-6
186.0,186.0,0.032295305
187.0,187.0,0.519487
188.0,188.0,0.0015007192
