x,y,species_1 logistic values
1.0,1.0,0.052692242
2.0,2.0,0.13871245
3.0,3.0,0.007272573
4.0,4.0,0.009355907
5.0,5.0,0.030074293
6.0,6.0,0.65166247
7.0,7.0,0.009017864
8.0,8.0,0.01584077
9.0,9.0,0.2520411
10.0,10.0,0.048403587
11.0,11.0,0.013629515
12.0,12.0,0.07731166
13.0,13.0,0.008246885
14.0,14.0,0.6782474
15.0,15.0,0.47794005
16.0,16.0,0.08162414
17.0,17.0,0.33436617
18.0,18.0,0.62710834
19.0,19.0,0.17596917
20.0,20.0,0.06474717
21.0,21.0,0.21537004
22.0,22.0,0.0068129445
23.0,23.0,0.7138719
24.0,24.0,0.02038853
25.0,25.0,0.03426289
26.0,26.0,0.017451916
27.0,27.0,0.25242385
28.0,28.0,0.33798495
29.0,29.0,0.39553297
30.0,30.0,0.09368709
31.0,31.0,0.016238155
32.0,32.0,0.35334772
33.0,33.0,0.2519506
34.0,34.0,0.582333
35.0,35.0,0.06071207
36.0,36.0,0.07802643
37.0,37.0,0.22753178
38.0,38.0,0.06104537
39.0,39.0,0.4507447
40.0,40.0,0.56774193
41.0,41.0,0.02370921
42.0,42.0,0.005997122
43.0,43.0,0.012946707
44.0,44.0,0.015117092
45.0,45.0,0.008129402
46.0,46.0,0.14238651
47.0,47.0,0.3174864
48.0,48.0,0.011918456
49.0,49.0,0.13567111
50.0,50.0,0.020559698
51.0,51.0,0.50139093
52.0,52.0,0.11327681
53.0,53.0,0.05426049
54.0,54.0,0.33289948
55.0,55.0,0.009759879
56.0,56.0,0.007646542
57.0,57.0,0.24629311
58.0,58.0,0.52378577
59.0,59.0,0.0103902165
60.0,60.0,0.2440458
61.0,61.0,0.3437169
62.0,62.0,0.037438013
63.0,63.0,0.31367594
64.0,64.0,0.008281181
65.0,65.0,0.0057539293
66.0,66.0,0.47043657
67.0,67.0,0.011999255
68.0,68.0,0.048091885
69.0,69.0,0.64003915
70.0,70.0,0.41651708
71.0,71.0,0.71582705
72.0,72.0,0.0031264196
73.0,73.0,0.073619545
74.0,74.0,0.42737824
75.0,75.0,0.4372966
76.0,76.0,0.009987759
77.0,77.0,0.10306992
78.0,78.0,0.022478223
79.0,79.0,0.62193304
80.0,80.0,0.2872899
81.0,81.0,0.0027602992
82.0,82.0,0.024962064
83.0,83.0,0.05147355
84.0,84.0,0.020517582
85.0,85.0,0.2105362
86.0,86.0,0.12944455
87.0,87.0,0.09677447
88.0,88.0,0.2134464
89.0,89.0,0.060940724
90.0,90.0,0.6217091
91.0,91.0,0.018519124
92.0,92.0,0.010590791
93.0,93.0,0.051303294
94.0,94.0,0.31497306
95.0,95.0,0.054717176
96.0,96.0,0.17307195
97.0,97.0,0.13397637
98.0,98.0,0.014315361
99.0,99.0,0.30267105
100.0,100.0,0.028820582
101.0,101.0,0.3957094
102.0,102.0,0.12645061
103.0,103.0,0.5745049
104.0,104.0,0.1923678
105.0,105.0,0.05734716
106.0,106.0,0.01163409
107.0,107.0,0.53812134
108.0,108.0,0.08458425
109.0,109.0,0.078634754
110.0,110.0,0.094704814
111.0,111.0,0.27856883
112.0,112.0,0.4794118
113.0,113.0,0.45982108
114.0,114.0,0.015936727
115.0,115.0,0.0697168
116.0,116.0,0.06770772
117.0,117.0,0.34010506
118.0,118.0,0.13120204
119.0,119.0,0.030256473
120.0,120.0,0.41445205
121.0,121.0,0.2018845
122.0,122.0,0.13131051
123.0,123.0,0.009487348
124.0,124.0,0.5151022
125.0,125.0,0.11342562
126.0,126.0,0.32528797
127.0,127.0,0.025088552
128.0,128.0,0.13304813
129.0,129.0,0.257362
130.0,130.0,0.5187867
131.0,131.0,0.013970055
132.0,132.0,0.36786228
133.0,133.0,0.46574166
134.0,134.0,0.021883054
135.0,135.0,0.022862226
136.0,136.0,0.15855822
137.0,137.0,0.37745452
138.0,138.0,0.32829937
139.0,139.0,0.017113062
