Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.83115E-13,0.000000001,0,0.904193077,0,0
1.54784E-12,0.000000003,0.000000001,0.900048757,0,0
3.90086E-12,0.00000001,0.000000002,0.893222818,0,0
1.00115E-11,0.000000026,0.000000005,0.88712823,0,0
2.69947E-11,0.000000101,0.000000014,0.877864456,0,0
4.77161E-11,0.000000251,0.000000025,0.867381765,0,0
1.83296E-10,0.000001003,0.000000097,0.850073135,0,0
4.89446E-10,0.000002521,0.000000258,0.837883959,0,0
1.31633E-9,0.000010121,0.000000693,0.813749391,0,0
4.05737E-9,0.000025071,0.000002137,0.799366163,0,0
6.69924E-9,0.000050094,0.000003528,0.787664554,0,0
1.29471E-8,0.000100509,0.000006818,0.774744027,0,0
2.69828E-8,0.000250125,0.000014209,0.756460263,0,0
5.5185E-8,0.000503721,0.00002906,0.739395417,0,0
1.06675E-7,0.001004842,0.000056173,0.724280839,0,0
1.99259E-7,0.002511125,0.000104921,0.70014627,0,0
3.52108E-7,0.005008992,0.000185388,0.676743052,0,0
5.5668E-7,0.010023035,0.000293066,0.649683081,0,0
1.28572E-6,0.025069959,0.000676612,0.607752316,0,0
2.47914E-6,0.050209773,0.001303836,0.574597757,0,0
4.02965E-6,0.100211897,0.002117555,0.537298879,0,0
6.98887E-6,0.20010556,0.003666904,0.49171136,0,0
1.07785E-5,0.300013346,0.005643997,0.463920039,0,0
1.40371E-5,0.400421104,0.007337793,0.444173574,0,0
1.63555E-5,0.50162528,0.008539414,0.427840078,0,0
1.90416E-5,0.601637338,0.009927938,0.413944417,0,0
2.15758E-5,0.701141977,0.011234339,0.401999025,0,0
2.24029E-5,0.751702246,0.011660019,0.396392004,0,0
2.33984E-5,0.801788657,0.01217183,0.391028766,0,0
2.59776E-5,0.900779334,0.013495391,0.381277426,0,0
2.80345E-5,1.00090256,0.014548403,0.372257435,0,0
3.01328E-5,1.102614817,0.015620337,0.363725012,0,0
3.22864E-5,1.202201802,0.016718025,0.35592394,0,0
3.42907E-5,1.301839196,0.017737457,0.348610434,0,0
3.70064E-5,1.401951782,0.019115355,0.341784495,0,0
4.00311E-5,1.502295816,0.020645469,0.335446124,0,0
4.56363E-5,1.750437023,0.023468471,0.32130668,0,0
5.2238E-5,2.005214033,0.02677247,0.308629937,0,0
5.89257E-5,2.252893293,0.03009683,0.297659678,0,0
6.49884E-5,2.50340289,0.033090935,0.287908337,0,0
6.91499E-5,2.751574032,0.035135443,0.278888347,0,0
7.41608E-5,3.001616528,0.037585807,0.270355924,0,0
7.79886E-5,3.252995376,0.039449294,0.262311068,0,0
8.24806E-5,3.500737279,0.041626928,0.254753779,0,0
9.0032E-5,3.752048528,0.045265491,0.247684057,0,0
9.9203E-5,4.009466888,0.049647507,0.241101902,0,0.333333333
1.04081E-4,4.254154011,0.051961932,0.235251097,0,0.333333333
1.12965E-4,4.505943477,0.056148097,0.229644076,0,0.333333333
1.19213E-4,4.761728679,0.059070414,0.224280839,0,0.333333333
1.24589E-4,5.006028681,0.061570172,0.219405168,0,0.333333333
1.29513E-4,5.260162862,0.063848111,0.214529498,0,0.333333333
1.35877E-4,5.512768287,0.066776025,0.209897611,0,0.333333333
1.41673E-4,5.763291665,0.069426424,0.205509508,0,0.333333333
1.47397E-4,6.009697768,0.07202975,0.201365188,0,0.333333333
1.53979E-4,6.251169871,0.075004958,0.197464651,0,0.333333333
1.59226E-4,6.50129626,0.077362812,0.193564115,0,0.333333333
1.65684E-4,6.76141987,0.080248683,0.189663579,0,0.333333333
1.73139E-4,7.015613,0.083558115,0.186006826,0,0.333333333
1.79898E-4,7.262120635,0.086537447,0.182593857,0,0.333333333
1.8797E-4,7.501459922,0.09007068,0.179424671,0,0.333333333
1.95984E-4,7.751833063,0.093551726,0.176255485,0,0.333333333
2.02464E-4,8.011741672,0.096346938,0.173086299,0,0.333333333
2.08324E-4,8.257759088,0.098859873,0.170160897,0,0.333333333
2.15534E-4,8.511830486,0.101932387,0.167235495,0,0.333333333
2.21581E-4,8.752621582,0.104493516,0.164553876,0,0.333333333
2.27823E-4,9.000679016,0.107121903,0.161872257,0,0.333333333
2.38877E-4,9.258258652,0.111738695,0.159190639,0,0.333333333
2.44537E-4,9.500312444,0.114083961,0.156752804,0,0.333333333
2.51981E-4,9.77407062,0.11715021,0.154071185,0,0.333333333
2.57121E-4,10.003199388,0.119254612,0.151877133,0,0.333333333
2.64613E-4,10.264161557,0.122304638,0.149439298,0,0.333333333
2.68675E-4,10.504446857,0.123949395,0.147245246,0,0.333333333
2.75577E-4,10.777024117,0.12673002,0.144807411,0,0.333333333
2.80712E-4,11.000377631,0.128787297,0.142857143,0,0.333333333
2.86988E-4,11.256301841,0.131288485,0.140663091,0,0.333333333
2.97018E-4,11.520477188,0.135256403,0.138469039,0,0.333333333
3.02955E-4,11.760989926,0.137588194,0.136518771,0,0.333333333
3.11465E-4,12.007037661,0.140908215,0.134568503,0,0.333333333
3.18451E-4,12.259640106,0.143614782,0.132618235,0,0.333333333
3.27174E-4,12.517060328,0.146970522,0.130667967,0,0.333333333
3.35541E-4,12.750098961,0.150164857,0.128961482,0,0.333333333
3.39292E-4,13.020565682,0.151588938,0.127011214,0,0.333333333
3.44558E-4,13.260378259,0.153580556,0.125304729,0,0.333333333
3.49201E-4,13.50355827,0.155328657,0.123598245,0,0.333333333
3.55375E-4,13.750583476,0.157641727,0.12189176,0,0.333333333
3.63037E-4,14.002156121,0.160495062,0.120185275,0,0.333333333
3.71154E-4,14.259138752,0.163496782,0.118478791,0,0.333333333
3.79977E-4,14.523293803,0.166735453,0.116772306,0,0.333333333
3.84239E-4,14.752476428,0.168290865,0.115309605,0,0.333333333
3.88878E-4,15.023288333,0.169977272,0.11360312,0,0.333333333
3.94214E-4,15.258197847,0.171908639,0.112140419,0,0.333333333
3.98284E-4,15.535586507,0.173375927,0.110433935,0,0.333333333
4.10179E-4,15.778043732,0.177634196,0.108971234,0,0.333333333
4.16566E-4,16.025799071,0.179902504,0.107508532,0,0.333333333
4.317E-4,16.282525965,0.185227814,0.106045831,0,0.333333333
4.36257E-4,16.542738789,0.18681759,0.10458313,0,0.333333333
4.42502E-4,16.76295569,0.188986718,0.103364213,0,0.333333333
4.49664E-4,17.031283592,0.191459825,0.101901511,0,0.333333333
4.51866E-4,17.256742873,0.192217276,0.100682594,0,0.333333333
4.58682E-4,17.530747496,0.19455233,0.099219893,0,0.333333333
4.69803E-4,17.763541154,0.198334022,0.098000975,0,0.333333333
4.77496E-4,18.000430253,0.200929221,0.096782058,0,0.333333333
4.95207E-4,18.293732075,0.206840269,0.095319356,0,0.333333333
5.03632E-4,18.543787842,0.209621703,0.094100439,0,0.333333333
5.09595E-4,18.796600192,0.211578379,0.092881521,0,0.333333333
5.17389E-4,19.002390616,0.214121403,0.091906387,0,0.333333333
5.25192E-4,19.263702322,0.216651218,0.09068747,0,0.333333333
