x,y,species_4 logistic values
1.0,1.0,8.6861843E-4
2.0,2.0,0.06770977
3.0,3.0,5.6784287E-5
4.0,4.0,0.008915521
5.0,5.0,0.0017173633
6.0,6.0,0.010036756
7.0,7.0,6.368731E-4
8.0,8.0,8.432083E-4
9.0,9.0,0.0047928784
10.0,10.0,0.624695
11.0,11.0,7.681955E-4
12.0,12.0,0.082539566
13.0,13.0,4.4392468E-4
14.0,14.0,0.08381563
15.0,15.0,0.36900526
16.0,16.0,0.2742712
17.0,17.0,0.011495156
18.0,18.0,0.0068167904
19.0,19.0,0.0060472786
20.0,20.0,0.3495811
21.0,21.0,0.3094182
22.0,22.0,0.021770358
23.0,23.0,0.22898981
24.0,24.0,2.1908061E-4
25.0,25.0,0.011788012
26.0,26.0,0.0021164522
27.0,27.0,0.0298329
28.0,28.0,0.11001385
29.0,29.0,0.10907586
30.0,30.0,0.03851269
31.0,31.0,0.2994328
32.0,32.0,0.035276018
33.0,33.0,0.51811284
34.0,34.0,0.0036796327
35.0,35.0,0.41232377
36.0,36.0,0.09858152
37.0,37.0,0.020183032
38.0,38.0,0.0020411895
39.0,39.0,0.03167329
40.0,40.0,2.487494E-4
41.0,41.0,0.12140638
42.0,42.0,0.021097453
43.0,43.0,0.01830303
44.0,44.0,0.09033817
45.0,45.0,0.16295588
46.0,46.0,0.17207785
47.0,47.0,0.19828615
48.0,48.0,0.02526914
49.0,49.0,0.64083326
50.0,50.0,0.042829175
51.0,51.0,0.15176074
52.0,52.0,0.0024225449
53.0,53.0,0.60455966
54.0,54.0,0.0017159922
55.0,55.0,0.16182621
56.0,56.0,0.048870206
57.0,57.0,8.9973863E-4
58.0,58.0,0.0017042188
59.0,59.0,0.0010074122
60.0,60.0,0.0016947023
61.0,61.0,9.105765E-4
62.0,62.0,3.849466E-4
63.0,63.0,0.019942801
64.0,64.0,0.23998617
65.0,65.0,0.0010124195
66.0,66.0,0.012024776
67.0,67.0,0.00704278
68.0,68.0,0.06908048
69.0,69.0,0.008685769
70.0,70.0,0.017946657
71.0,71.0,0.03884661
72.0,72.0,2.5810848E-5
73.0,73.0,0.6013827
74.0,74.0,0.4504861
75.0,75.0,0.020466715
76.0,76.0,0.009694848
77.0,77.0,0.74992186
78.0,78.0,7.022824E-5
79.0,79.0,0.010912323
80.0,80.0,0.011248205
81.0,81.0,8.179646E-6
82.0,82.0,0.014498858
83.0,83.0,0.6366413
84.0,84.0,7.054449E-4
85.0,85.0,0.024731847
86.0,86.0,0.013290662
87.0,87.0,0.30372962
88.0,88.0,0.82870924
89.0,89.0,0.16617642
90.0,90.0,0.06029076
91.0,91.0,2.7851152E-4
92.0,92.0,4.93147E-4
93.0,93.0,0.17667401
94.0,94.0,0.003077151
95.0,95.0,0.5118665
96.0,96.0,0.0022281618
97.0,97.0,0.2416228
98.0,98.0,1.3392765E-4
99.0,99.0,0.1917296
100.0,100.0,0.28154537
101.0,101.0,0.53560334
102.0,102.0,0.11162156
103.0,103.0,0.00123857
104.0,104.0,0.03737854
105.0,105.0,0.25834405
106.0,106.0,9.3004474E-4
107.0,107.0,0.016709378
108.0,108.0,0.115797
109.0,109.0,0.085256465
110.0,110.0,0.03831077
111.0,111.0,0.42493823
112.0,112.0,0.020977454
113.0,113.0,0.013451685
114.0,114.0,3.8045348E-4
115.0,115.0,0.07362844
116.0,116.0,7.624343E-6
117.0,117.0,0.024614882
118.0,118.0,0.05260759
119.0,119.0,0.26293364
120.0,120.0,0.20871979
121.0,121.0,0.37540436
122.0,122.0,0.0051709306
123.0,123.0,0.0021979017
124.0,124.0,0.0025203035
125.0,125.0,0.14905696
126.0,126.0,0.005074421
127.0,127.0,0.0053457157
128.0,128.0,0.0017483706
129.0,129.0,0.5629288
130.0,130.0,0.0021343187
131.0,131.0,0.34350502
132.0,132.0,0.062873274
133.0,133.0,1.7165118E-4
134.0,134.0,7.8440766E-4
135.0,135.0,0.19239724
136.0,136.0,0.002631269
137.0,137.0,0.5692777
138.0,138.0,0.014682797
139.0,139.0,0.008665435
140.0,140.0,9.0508355E-4
141.0,141.0,4.138604E-4
142.0,142.0,7.708005E-4
143.0,143.0,0.33390817
144.0,144.0,0.0017852386
145.0,145.0,0.01408833
146.0,146.0,0.44960913
147.0,147.0,0.0028607924
148.0,148.0,0.5323997
149.0,149.0,0.018701069
150.0,150.0,0.09287474
151.0,151.0,0.03247955
152.0,152.0,0.33013022
153.0,153.0,0.076551355
154.0,154.0,0.001791295
155.0,155.0,0.0028407734
156.0,156.0,0.014171295
157.0,157.0,0.0018062902
158.0,158.0,0.102951504
159.0,159.0,0.47650248
160.0,160.0,0.07092495
161.0,161.0,0.023400145
162.0,162.0,0.13201323
163.0,163.0,0.008645931
164.0,164.0,6.328118E-4
165.0,165.0,0.0027805788
166.0,166.0,0.0011486809
167.0,167.0,0.0018983664
168.0,168.0,0.5606301
169.0,169.0,0.12048556
170.0,170.0,0.432786
171.0,171.0,0.31412178
172.0,172.0,0.001349257
173.0,173.0,0.0016812574
174.0,174.0,0.11448984
175.0,175.0,3.585393E-4
176.0,176.0,0.03026003
177.0,177.0,0.0011659845
178.0,178.0,0.078167126
179.0,179.0,0.041501798
180.0,180.0,0.0022188022
181.0,181.0,3.042584E-4
182.0,182.0,0.39378056
183.0,183.0,0.17750575
184.0,184.0,0.037749443
185.0,185.0,0.0016491037
