Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.36432E-12,0.000000001,0.000000001,0.99368932,0,0
5.33492E-12,0.000000003,0.000000002,0.992961165,0,0
8.85972E-12,0.00000001,0.000000003,0.990533981,0,0
1.325E-11,0.000000026,0.000000004,0.987135922,0,0
3.55088E-11,0.000000102,0.000000012,0.978640777,0,0
8.65016E-11,0.000000256,0.000000028,0.972087379,0,0
2.40578E-10,0.000001022,0.000000079,0.959708738,0,0
4.90369E-10,0.00000252,0.000000161,0.95,0,0
3.03776E-9,0.000010292,0.000000997,0.93592233,0,0
6.96822E-9,0.000025338,0.000002286,0.927912621,0,0
1.1278E-8,0.000050939,0.0000037,0.921359223,0,0
1.57287E-8,0.000101555,0.000005161,0.912135922,0,0
2.37898E-8,0.000250738,0.000007805,0.894174757,0,0
3.63013E-8,0.00050007,0.00001191,0.873300971,0,0
6.03179E-8,0.001001163,0.00001979,0.84684466,0,0
1.49609E-7,0.002514569,0.000049085,0.811165049,0,0
2.46149E-7,0.005006208,0.000080756,0.779854369,0,0
4.52167E-7,0.010010403,0.000148336,0.745145631,0,0
1.09551E-6,0.025027619,0.000359313,0.696116505,0,0
2.3346E-6,0.050166532,0.000765405,0.65776699,0,0
3.93399E-6,0.100012898,0.001289095,0.618446602,0,0
6.4427E-6,0.200221815,0.002109419,0.57038835,0,0
8.53557E-6,0.300463574,0.002792736,0.538106796,0,0
1.05733E-5,0.400345551,0.003457167,0.512621359,0,0
1.22736E-5,0.501095512,0.004010855,0.491262136,0,0
1.40944E-5,0.600734724,0.004603142,0.472815534,0,0
1.59355E-5,0.701181991,0.005201301,0.456553398,0,0
1.67803E-5,0.750303131,0.005475546,0.449271845,0,0
1.75583E-5,0.800209793,0.005727949,0.44223301,0,0
1.95684E-5,0.9000382,0.006379513,0.429126214,0,0
2.07938E-5,1.001149885,0.006776312,0.416990291,0,0
2.26614E-5,1.101356371,0.007380441,0.405825243,0,0
2.41561E-5,1.201850917,0.007863413,0.39538835,0,0
2.57337E-5,1.301871005,0.008372636,0.385679612,0,0
2.79463E-5,1.401621214,0.009086004,0.376699029,0,0
2.97178E-5,1.502850571,0.00965638,0.368203883,0,0
3.35453E-5,1.752449775,0.01088654,0.349029126,0,0
3.73791E-5,2.000933518,0.012115661,0.332038835,0,0
