x,y,species_4 logistic values
1.0,1.0,3.6401654E-4
2.0,2.0,4.5363943E-4
3.0,3.0,8.320928E-8
4.0,4.0,0.0019785848
5.0,5.0,0.043286595
6.0,6.0,0.001203484
7.0,7.0,0.035092328
8.0,8.0,0.013425109
9.0,9.0,0.0139857065
10.0,10.0,3.5452278E-5
11.0,11.0,0.02559431
12.0,12.0,9.969849E-4
13.0,13.0,0.004779117
14.0,14.0,0.0014265933
15.0,15.0,1.5209251E-5
16.0,16.0,7.933566E-6
17.0,17.0,0.0010495809
18.0,18.0,9.2947145E-4
19.0,19.0,0.13678369
20.0,20.0,2.0768864E-4
21.0,21.0,0.007843389
22.0,22.0,0.0025671981
23.0,23.0,0.007938005
24.0,24.0,0.0051654433
25.0,25.0,0.010860213
26.0,26.0,8.260708E-4
27.0,27.0,0.0017653336
28.0,28.0,0.0103134215
29.0,29.0,0.026765224
30.0,30.0,0.0054449607
31.0,31.0,4.2013216E-4
32.0,32.0,0.0020880594
33.0,33.0,1.3311818E-6
34.0,34.0,0.016921178
35.0,35.0,0.0033113328
36.0,36.0,0.0098271705
37.0,37.0,0.001873469
38.0,38.0,0.0033193638
39.0,39.0,6.6662997E-6
40.0,40.0,0.059400942
41.0,41.0,0.0039127637
42.0,42.0,0.0054267044
43.0,43.0,0.024238888
44.0,44.0,0.0139156
45.0,45.0,9.711097E-5
46.0,46.0,0.012629836
47.0,47.0,1.2970881E-5
48.0,48.0,0.0055418117
49.0,49.0,8.372373E-6
50.0,50.0,0.042209562
51.0,51.0,2.9515817E-8
52.0,52.0,0.10089025
53.0,53.0,8.02018E-6
54.0,54.0,1.109773E-8
55.0,55.0,6.1129784E-4
56.0,56.0,0.003505646
57.0,57.0,1.5930058E-5
58.0,58.0,0.007322306
59.0,59.0,4.3749387E-6
60.0,60.0,0.0051313518
61.0,61.0,2.3672792E-5
62.0,62.0,0.0048657274
63.0,63.0,0.011744979
64.0,64.0,9.2523213E-4
65.0,65.0,1.19253935E-4
66.0,66.0,0.0011701538
67.0,67.0,0.0027115466
68.0,68.0,0.006633632
69.0,69.0,8.917355E-4
70.0,70.0,0.1386483
71.0,71.0,0.0067540687
72.0,72.0,8.232295E-7
73.0,73.0,4.9158243E-5
74.0,74.0,4.736593E-6
75.0,75.0,5.3602114E-4
76.0,76.0,2.2821623E-4
77.0,77.0,6.1204405E-6
78.0,78.0,2.0876888E-4
79.0,79.0,0.0010567302
80.0,80.0,0.17936866
81.0,81.0,1.4477417E-8
82.0,82.0,0.0016325761
83.0,83.0,1.03839295E-4
84.0,84.0,0.008688686
85.0,85.0,0.0012352255
86.0,86.0,0.012288785
87.0,87.0,0.0037151107
88.0,88.0,1.547604E-5
89.0,89.0,0.017626792
90.0,90.0,5.5839424E-4
91.0,91.0,0.0043700817
92.0,92.0,0.0054621445
93.0,93.0,9.1856776E-8
94.0,94.0,0.0044467556
95.0,95.0,5.4381567E-6
96.0,96.0,5.3274814E-8
97.0,97.0,1.7826964E-5
98.0,98.0,2.759403E-5
99.0,99.0,0.43741775
100.0,100.0,3.5516957E-6
101.0,101.0,2.2089575E-6
102.0,102.0,0.014344266
103.0,103.0,5.261985E-5
104.0,104.0,0.025558628
105.0,105.0,7.655557E-6
106.0,106.0,4.040239E-6
107.0,107.0,2.9752158E-7
108.0,108.0,0.013895427
109.0,109.0,0.0085768225
110.0,110.0,0.0010378953
111.0,111.0,0.037789498
112.0,112.0,0.011070102
113.0,113.0,0.23522264
114.0,114.0,0.0076637454
115.0,115.0,0.014628872
116.0,116.0,9.958541E-5
117.0,117.0,4.5646914E-8
118.0,118.0,0.06051348
119.0,119.0,2.4408786E-7
120.0,120.0,0.013854604
121.0,121.0,6.9699766E-8
122.0,122.0,0.021658842
123.0,123.0,1.7477172E-8
124.0,124.0,0.0024073422
125.0,125.0,0.03951577
126.0,126.0,0.026447557
127.0,127.0,0.035684146
128.0,128.0,0.09267022
129.0,129.0,6.871704E-5
130.0,130.0,0.009235381
131.0,131.0,0.0022614698
132.0,132.0,1.3282586E-6
133.0,133.0,5.628255E-4
134.0,134.0,0.0014741283
135.0,135.0,0.012647772
136.0,136.0,0.12986934
137.0,137.0,2.4073137E-4
138.0,138.0,0.0012865561
139.0,139.0,0.024233975
140.0,140.0,8.519258E-6
141.0,141.0,0.011367834
142.0,142.0,0.035490558
143.0,143.0,8.107804E-4
144.0,144.0,8.311612E-5
145.0,145.0,0.6283722
146.0,146.0,6.0013036E-4
147.0,147.0,0.1204571
148.0,148.0,2.2083117E-5
149.0,149.0,1.1721714E-5
150.0,150.0,0.013939454
151.0,151.0,0.012745052
152.0,152.0,0.0036289834
153.0,153.0,0.03700479
154.0,154.0,0.007655656
155.0,155.0,0.049730483
156.0,156.0,0.025257865
157.0,157.0,9.464646E-5
158.0,158.0,0.03896765
159.0,159.0,1.0390538E-6
160.0,160.0,0.008076464
161.0,161.0,0.003004272
162.0,162.0,0.10095654
163.0,163.0,0.020211238
164.0,164.0,0.011625465
165.0,165.0,0.003851706
166.0,166.0,1.5237237E-5
167.0,167.0,1.3553927E-4
168.0,168.0,5.0723183E-6
169.0,169.0,0.013446956
170.0,170.0,4.979494E-6
171.0,171.0,3.0900694E-5
172.0,172.0,0.0028817377
173.0,173.0,0.012581322
174.0,174.0,0.004491069
175.0,175.0,0.0016263289
176.0,176.0,0.003427455
177.0,177.0,0.001102342
178.0,178.0,0.0033403656
179.0,179.0,1.9628443E-4
180.0,180.0,0.0075311847
181.0,181.0,0.0056417463
182.0,182.0,1.6359854E-5
183.0,183.0,0.02661879
184.0,184.0,0.035866488
185.0,185.0,0.010141006
186.0,186.0,0.009132076
187.0,187.0,1.1004206E-4
188.0,188.0,0.19348945
189.0,189.0,0.0108044315
190.0,190.0,0.0011232307
191.0,191.0,0.016163146
192.0,192.0,2.7696851E-5
193.0,193.0,0.018765023
194.0,194.0,0.27027008
195.0,195.0,0.005241543
196.0,196.0,1.6479417E-4
197.0,197.0,0.08356111
198.0,198.0,0.035569247
199.0,199.0,0.007207011
200.0,200.0,0.053228337
201.0,201.0,0.002989389
202.0,202.0,2.8385353E-5
203.0,203.0,0.03953075
204.0,204.0,7.145921E-6
205.0,205.0,0.040992953
206.0,206.0,0.0019232999
207.0,207.0,8.685217E-4
208.0,208.0,0.0010645151
209.0,209.0,2.4641166E-8
210.0,210.0,0.2396938
211.0,211.0,3.795604E-4
212.0,212.0,8.0721354E-4
213.0,213.0,0.009236185
214.0,214.0,1.399682E-4
215.0,215.0,0.0067994054
216.0,216.0,0.047034685
217.0,217.0,2.349791E-4
218.0,218.0,0.0037517962
219.0,219.0,2.0440262E-5
220.0,220.0,1.7339085E-5
221.0,221.0,1.8220904E-7
222.0,222.0,0.014849603
223.0,223.0,0.0135849
224.0,224.0,0.0031146943
225.0,225.0,0.0034757578
226.0,226.0,0.004425716
227.0,227.0,0.0045707384
228.0,228.0,0.40030208
229.0,229.0,2.4761076E-4
230.0,230.0,5.641537E-5
231.0,231.0,2.096554E-6
232.0,232.0,0.0030131089
233.0,233.0,0.012461029
234.0,234.0,4.0947893E-6
235.0,235.0,5.4080573E-7
236.0,236.0,0.0031495446
237.0,237.0,0.015928531
238.0,238.0,0.034023933
239.0,239.0,0.0067785163
240.0,240.0,5.9185526E-4
241.0,241.0,0.019000096
242.0,242.0,0.013473817
243.0,243.0,0.10065641
244.0,244.0,0.015557768
245.0,245.0,0.040082395
246.0,246.0,0.005598125
247.0,247.0,0.0023903186
248.0,248.0,3.7800968E-5
249.0,249.0,0.0011058749
250.0,250.0,3.3811637E-6
251.0,251.0,3.2220318E-4
252.0,252.0,0.0018515335
253.0,253.0,0.011432261
254.0,254.0,1.3690018E-5
255.0,255.0,0.001520025
256.0,256.0,0.09768841
257.0,257.0,0.0014878152
258.0,258.0,3.0529332E-8
259.0,259.0,7.7639315E-6
260.0,260.0,4.108931E-4
261.0,261.0,2.6834972E-4
262.0,262.0,0.0059509333
263.0,263.0,0.64893067
264.0,264.0,5.5356977E-5
265.0,265.0,0.5018505
266.0,266.0,3.245724E-5
267.0,267.0,1.9752847E-4
268.0,268.0,0.03806058
269.0,269.0,1.5245186E-4
270.0,270.0,0.009369932
271.0,271.0,0.010413073
272.0,272.0,3.7769077E-4
273.0,273.0,7.120163E-9
274.0,274.0,0.0047033033
275.0,275.0,0.0026614245
276.0,276.0,0.030740457
277.0,277.0,0.015901422
278.0,278.0,0.02761093
279.0,279.0,8.845795E-5
280.0,280.0,0.0027880045
281.0,281.0,0.007976953
282.0,282.0,0.04126457
283.0,283.0,1.5077362E-4
284.0,284.0,7.973462E-6
285.0,285.0,0.006763326
286.0,286.0,5.0952856E-4
287.0,287.0,5.8106216E-6
288.0,288.0,0.0060231746
289.0,289.0,0.0033432439
290.0,290.0,0.0020965803
291.0,291.0,0.006613311
292.0,292.0,0.017118042
293.0,293.0,1.50744145E-5
294.0,294.0,4.0275994E-5
295.0,295.0,2.2943004E-5
296.0,296.0,0.026731486
297.0,297.0,1.4392758E-4
298.0,298.0,0.011247671
299.0,299.0,0.34970343
300.0,300.0,5.155005E-6
301.0,301.0,0.0017492311
302.0,302.0,4.147727E-6
303.0,303.0,0.137769
304.0,304.0,0.0013798003
305.0,305.0,0.0067102034
306.0,306.0,4.166189E-4
307.0,307.0,3.2923507E-4
308.0,308.0,0.0033343574
309.0,309.0,0.002107999
310.0,310.0,0.015128397
311.0,311.0,0.028426936
312.0,312.0,0.0014001407
313.0,313.0,0.024175158
314.0,314.0,0.18123765
315.0,315.0,0.0035076279
316.0,316.0,0.020927515
317.0,317.0,2.1753433E-5
318.0,318.0,0.04916066
319.0,319.0,1.5013453E-9
320.0,320.0,0.0013419356
321.0,321.0,0.0012783412
322.0,322.0,0.0021524213
323.0,323.0,0.011027139
324.0,324.0,0.0020541847
325.0,325.0,0.010125833
326.0,326.0,0.0147650335
327.0,327.0,0.02562083
328.0,328.0,0.10296193
329.0,329.0,7.678733E-7
330.0,330.0,2.812078E-4
331.0,331.0,0.0067399293
332.0,332.0,4.290071E-4
333.0,333.0,1.3560109E-4
334.0,334.0,0.001756796
335.0,335.0,1.025375E-4
336.0,336.0,0.009512053
337.0,337.0,3.4412544E-4
338.0,338.0,0.0014555653
339.0,339.0,0.010477577
340.0,340.0,1.7639893E-9
341.0,341.0,7.86541E-6
342.0,342.0,0.004263602
343.0,343.0,0.0028179197
344.0,344.0,4.069608E-6
345.0,345.0,0.06425955
346.0,346.0,1.6942533E-5
347.0,347.0,2.1041354E-11
348.0,348.0,0.0053473357
349.0,349.0,2.9636418E-8
350.0,350.0,0.0018002619
351.0,351.0,0.0052662976
352.0,352.0,0.0017566947
353.0,353.0,0.011438203
354.0,354.0,6.2140217E-4
355.0,355.0,8.015158E-8
356.0,356.0,0.003900146
357.0,357.0,0.013520154
358.0,358.0,0.0022242884
359.0,359.0,0.0018995614
360.0,360.0,0.0145920655
361.0,361.0,3.504103E-5
362.0,362.0,1.0128276E-9
363.0,363.0,0.0060114097
364.0,364.0,0.003249996
365.0,365.0,2.4348703E-4
366.0,366.0,2.2229528E-4
367.0,367.0,1.5605649E-4
368.0,368.0,2.6350615E-6
369.0,369.0,4.5732695E-6
370.0,370.0,0.046978004
371.0,371.0,0.01620911
372.0,372.0,1.4446459E-5
373.0,373.0,0.014456913
374.0,374.0,0.008305609
375.0,375.0,2.6856026E-6
376.0,376.0,0.12953481
377.0,377.0,1.5705552E-7
378.0,378.0,0.0096368035
379.0,379.0,0.008088012
380.0,380.0,0.010640531
381.0,381.0,0.0065226047
382.0,382.0,0.059439268
383.0,383.0,1.3538268E-5
384.0,384.0,0.002677418
385.0,385.0,0.008338751
386.0,386.0,0.0056781415
387.0,387.0,0.014527004
388.0,388.0,4.4200133E-6
389.0,389.0,0.034511063
390.0,390.0,3.9576867E-7
391.0,391.0,4.3245447E-5
392.0,392.0,0.08525589
393.0,393.0,0.07002437
394.0,394.0,6.4912616E-5
395.0,395.0,0.052449454
396.0,396.0,0.10916237
397.0,397.0,2.7729927E-15
398.0,398.0,0.013187386
399.0,399.0,0.0133948475
400.0,400.0,0.0019939214
401.0,401.0,6.761233E-8
402.0,402.0,1.5800149E-9
403.0,403.0,0.034913816
404.0,404.0,0.0040333024
405.0,405.0,0.0014407192
406.0,406.0,0.005366792
407.0,407.0,0.00341645
408.0,408.0,6.9612224E-4
409.0,409.0,2.5229485E-4
410.0,410.0,0.03717789
411.0,411.0,0.010667758
412.0,412.0,0.03387599
413.0,413.0,0.042812232
414.0,414.0,0.007466503
415.0,415.0,4.039154E-6
416.0,416.0,5.5783188E-5
417.0,417.0,9.683558E-6
418.0,418.0,0.11873857
419.0,419.0,0.019004578
420.0,420.0,0.010122387
421.0,421.0,0.022379953
422.0,422.0,3.3064676E-5
423.0,423.0,0.013514156
424.0,424.0,0.0040123956
425.0,425.0,7.657508E-6
426.0,426.0,0.0051356186
427.0,427.0,0.03500219
428.0,428.0,3.128605E-4
429.0,429.0,0.0025082238
430.0,430.0,7.391972E-4
431.0,431.0,0.0049389554
432.0,432.0,1.4342318E-4
433.0,433.0,0.042256597
434.0,434.0,0.01828308
435.0,435.0,0.011586201
436.0,436.0,1.1107106E-4
437.0,437.0,1.4063994E-4
438.0,438.0,8.3107483E-7
439.0,439.0,2.3758541E-4
440.0,440.0,0.2787885
441.0,441.0,1.0704485E-5
