x,y,species_1 logistic values
1.0,1.0,0.020273514
2.0,2.0,0.20240282
3.0,3.0,0.001131025
4.0,4.0,0.04712913
5.0,5.0,0.32358614
6.0,6.0,0.1707378
7.0,7.0,0.31942913
8.0,8.0,0.108821325
9.0,9.0,0.035330962
10.0,10.0,0.5667379
11.0,11.0,0.15423392
12.0,12.0,0.4097226
13.0,13.0,0.0322406
14.0,14.0,0.14465088
15.0,15.0,0.1145612
16.0,16.0,0.11847508
17.0,17.0,0.12106642
18.0,18.0,0.16620444
19.0,19.0,0.25922936
20.0,20.0,0.15860099
21.0,21.0,0.46722645
22.0,22.0,0.09352377
23.0,23.0,0.32269293
24.0,24.0,0.051712427
25.0,25.0,0.22929578
26.0,26.0,0.007270989
27.0,27.0,0.020008493
28.0,28.0,0.60161173
29.0,29.0,0.5969873
30.0,30.0,0.16595332
31.0,31.0,0.17314266
32.0,32.0,0.44260988
33.0,33.0,0.5407621
34.0,34.0,0.12739
35.0,35.0,0.56325555
36.0,36.0,0.23444277
37.0,37.0,0.22740412
38.0,38.0,0.2392217
39.0,39.0,0.18301615
40.0,40.0,0.041585807
41.0,41.0,0.4193621
42.0,42.0,0.28445488
43.0,43.0,0.6043908
44.0,44.0,0.45636308
45.0,45.0,0.17939195
46.0,46.0,0.22099997
47.0,47.0,0.44976112
48.0,48.0,0.078858905
49.0,49.0,0.59731996
50.0,50.0,0.41031963
51.0,51.0,0.11138265
52.0,52.0,0.73504996
53.0,53.0,0.31143573
54.0,54.0,5.434182E-11
55.0,55.0,0.3418749
56.0,56.0,0.26608133
57.0,57.0,1.1955799E-4
58.0,58.0,0.10384541
59.0,59.0,0.0032793714
60.0,60.0,0.25025916
61.0,61.0,2.6586468E-4
62.0,62.0,0.026306938
63.0,63.0,0.5106663
64.0,64.0,0.63528556
65.0,65.0,0.036670096
66.0,66.0,0.033722874
67.0,67.0,0.053679585
68.0,68.0,0.6838552
69.0,69.0,0.17275596
70.0,70.0,0.13934784
71.0,71.0,0.10253687
72.0,72.0,0.0036495933
73.0,73.0,0.49192613
74.0,74.0,0.436654
75.0,75.0,0.051324885
76.0,76.0,0.004515057
77.0,77.0,0.20951807
78.0,78.0,0.01566977
79.0,79.0,0.1668576
80.0,80.0,0.543294
81.0,81.0,0.0014468288
82.0,82.0,0.07075399
83.0,83.0,0.566444
84.0,84.0,0.12397222
85.0,85.0,0.274954
86.0,86.0,0.23050472
87.0,87.0,0.70246804
88.0,88.0,0.32747704
89.0,89.0,0.46912044
90.0,90.0,0.162136
91.0,91.0,0.07953957
92.0,92.0,0.03160642
93.0,93.0,0.5577006
94.0,94.0,0.017041422
95.0,95.0,0.5462031
96.0,96.0,6.4373684E-10
97.0,97.0,0.22674812
98.0,98.0,0.0038131853
99.0,99.0,0.48924175
100.0,100.0,0.30280623
101.0,101.0,0.49087268
102.0,102.0,0.15364647
103.0,103.0,0.15305468
104.0,104.0,0.3838845
105.0,105.0,0.24650922
106.0,106.0,0.0031957894
107.0,107.0,0.15706405
108.0,108.0,0.24436903
109.0,109.0,0.15928592
110.0,110.0,0.42013443
111.0,111.0,0.5932749
112.0,112.0,0.2243934
113.0,113.0,0.1251901
114.0,114.0,0.072061315
115.0,115.0,0.100851275
116.0,116.0,0.0055612316
117.0,117.0,0.4179379
118.0,118.0,0.6113603
119.0,119.0,0.5226338
120.0,120.0,0.55906254
121.0,121.0,0.46171242
122.0,122.0,0.21232086
123.0,123.0,2.8397937E-4
124.0,124.0,0.09727546
125.0,125.0,0.28498134
126.0,126.0,0.1712701
127.0,127.0,0.1363846
128.0,128.0,0.78772074
129.0,129.0,0.5814292
130.0,130.0,0.118776545
131.0,131.0,0.4113098
132.0,132.0,0.4668326
133.0,133.0,0.1434179
134.0,134.0,0.049133413
135.0,135.0,0.3015696
136.0,136.0,0.7322368
137.0,137.0,0.5485699
138.0,138.0,0.11632194
139.0,139.0,0.19290142
140.0,140.0,2.468838E-4
141.0,141.0,0.091905504
142.0,142.0,0.15683134
143.0,143.0,0.6925999
144.0,144.0,0.011984676
145.0,145.0,0.4078461
146.0,146.0,0.26529723
147.0,147.0,0.7366596
148.0,148.0,0.48753586
149.0,149.0,0.1749078
150.0,150.0,0.2637474
151.0,151.0,0.25823495
152.0,152.0,0.16094553
153.0,153.0,0.5963497
154.0,154.0,0.0120398365
155.0,155.0,0.45664582
156.0,156.0,0.41664666
157.0,157.0,0.011413342
158.0,158.0,0.54243255
159.0,159.0,0.4321604
160.0,160.0,0.28348538
161.0,161.0,0.27572662
162.0,162.0,0.44338268
163.0,163.0,0.4665755
164.0,164.0,0.14084204
165.0,165.0,0.09739719
166.0,166.0,1.0855414E-4
167.0,167.0,0.011627472
168.0,168.0,0.31825188
169.0,169.0,0.5708601
170.0,170.0,0.1332446
171.0,171.0,0.49827132
172.0,172.0,0.19985329
173.0,173.0,0.040136505
174.0,174.0,0.4239898
175.0,175.0,0.052501522
176.0,176.0,0.023245249
177.0,177.0,0.04923037
178.0,178.0,0.1960864
179.0,179.0,0.11989954
180.0,180.0,0.10825257
181.0,181.0,0.047153935
182.0,182.0,0.15411502
183.0,183.0,0.3944557
184.0,184.0,0.42141202
185.0,185.0,0.11128119
186.0,186.0,0.2704385
187.0,187.0,0.17256638
188.0,188.0,0.45832932
189.0,189.0,0.5764289
190.0,190.0,0.52595115
191.0,191.0,0.26189518
192.0,192.0,0.11486808
193.0,193.0,0.7065107
194.0,194.0,0.54074275
195.0,195.0,0.05801695
196.0,196.0,0.031484935
197.0,197.0,0.54333067
198.0,198.0,0.15632878
199.0,199.0,0.08523007
200.0,200.0,0.12493108
201.0,201.0,0.21011421
202.0,202.0,0.21570705
203.0,203.0,0.113814436
204.0,204.0,0.30390385
205.0,205.0,0.41973662
206.0,206.0,0.5239
207.0,207.0,0.05935852
208.0,208.0,0.06654597
209.0,209.0,0.0010741887
210.0,210.0,0.2940281
211.0,211.0,0.093422726
212.0,212.0,0.01596545
213.0,213.0,0.36626968
214.0,214.0,0.011293103
215.0,215.0,0.38583112
216.0,216.0,0.3215423
217.0,217.0,0.6154134
218.0,218.0,0.43029207
219.0,219.0,0.083210655
220.0,220.0,0.22705542
221.0,221.0,0.5189989
222.0,222.0,0.46067157
223.0,223.0,0.46398103
224.0,224.0,0.13017687
225.0,225.0,0.5764701
226.0,226.0,0.12966366
227.0,227.0,0.2111854
228.0,228.0,0.5081847
229.0,229.0,0.06940111
230.0,230.0,0.036440402
231.0,231.0,0.162631
232.0,232.0,0.6265376
233.0,233.0,0.1169204
234.0,234.0,0.4677993
235.0,235.0,0.46423417
236.0,236.0,0.12659846
237.0,237.0,0.6656913
238.0,238.0,0.32232887
239.0,239.0,0.2832893
240.0,240.0,0.035548214
241.0,241.0,0.043985277
242.0,242.0,0.11714335
243.0,243.0,0.14383702
244.0,244.0,0.6533138
245.0,245.0,0.4381955
246.0,246.0,0.40037253
247.0,247.0,0.12995537
248.0,248.0,0.50781864
249.0,249.0,0.5870542
250.0,250.0,0.53292745
251.0,251.0,0.0036630805
252.0,252.0,0.15736173
253.0,253.0,0.16811517
254.0,254.0,0.14014325
255.0,255.0,0.05339925
256.0,256.0,0.04988391
257.0,257.0,0.098537154
258.0,258.0,0.0014370788
259.0,259.0,0.0039581396
260.0,260.0,0.5549693
261.0,261.0,0.21321419
262.0,262.0,0.11259635
263.0,263.0,0.19656111
264.0,264.0,0.0075126234
265.0,265.0,0.38973534
266.0,266.0,0.4558264
267.0,267.0,0.015088424
268.0,268.0,0.26218274
269.0,269.0,0.5005436
270.0,270.0,0.53458565
271.0,271.0,0.13776216
272.0,272.0,0.262481
273.0,273.0,8.1316766E-11
274.0,274.0,0.15902224
275.0,275.0,0.02086647
276.0,276.0,0.4849825
277.0,277.0,0.11427478
278.0,278.0,0.59480405
279.0,279.0,0.5500071
280.0,280.0,0.5754368
281.0,281.0,0.032374565
282.0,282.0,0.38607338
283.0,283.0,0.018265586
284.0,284.0,0.28871638
285.0,285.0,0.17085344
286.0,286.0,0.006019703
287.0,287.0,0.007573249
288.0,288.0,0.27651295
289.0,289.0,0.22988907
290.0,290.0,0.10723158
291.0,291.0,0.046576373
292.0,292.0,0.087446116
293.0,293.0,0.0089173205
294.0,294.0,0.24126212
295.0,295.0,0.611897
296.0,296.0,0.11798624
297.0,297.0,0.00807884
298.0,298.0,0.15126467
299.0,299.0,0.5198586
300.0,300.0,0.29020977
301.0,301.0,0.29622313
302.0,302.0,0.16295381
303.0,303.0,0.8854602
304.0,304.0,0.58752614
305.0,305.0,0.180612
306.0,306.0,0.28175083
307.0,307.0,0.25270572
308.0,308.0,0.40082332
309.0,309.0,0.22216175
310.0,310.0,0.15408826
311.0,311.0,0.6001566
312.0,312.0,0.17084506
313.0,313.0,0.04946807
314.0,314.0,0.52575576
315.0,315.0,0.13510804
316.0,316.0,0.6415446
317.0,317.0,0.43006456
318.0,318.0,0.5110776
319.0,319.0,0.40918654
320.0,320.0,0.5849718
321.0,321.0,0.07342021
322.0,322.0,0.10781954
323.0,323.0,0.15884028
324.0,324.0,0.38803425
325.0,325.0,0.11364779
326.0,326.0,0.11269137
327.0,327.0,0.67484504
328.0,328.0,0.09742766
329.0,329.0,0.10491291
330.0,330.0,0.34348902
331.0,331.0,0.15953664
332.0,332.0,0.29703784
333.0,333.0,0.062028784
334.0,334.0,0.16562386
335.0,335.0,0.58186394
336.0,336.0,0.17937858
337.0,337.0,0.07048963
338.0,338.0,0.7084127
339.0,339.0,0.5638489
340.0,340.0,3.3512415E-4
341.0,341.0,0.2953572
342.0,342.0,0.17458855
343.0,343.0,0.078194104
344.0,344.0,0.14390208
345.0,345.0,0.43619365
346.0,346.0,0.22588688
347.0,347.0,1.3944285E-4
348.0,348.0,0.048160266
349.0,349.0,0.5917257
350.0,350.0,0.07251255
351.0,351.0,0.62744355
352.0,352.0,0.4066944
353.0,353.0,0.016997667
354.0,354.0,0.6574977
355.0,355.0,0.51537365
356.0,356.0,0.09142795
357.0,357.0,0.5259842
358.0,358.0,0.46154717
359.0,359.0,0.22369207
360.0,360.0,0.64325815
361.0,361.0,0.20568924
362.0,362.0,1.4621513E-4
363.0,363.0,0.1413576
364.0,364.0,0.39420068
365.0,365.0,0.06941495
366.0,366.0,0.07511074
367.0,367.0,0.641607
368.0,368.0,0.0034368774
369.0,369.0,0.17524272
370.0,370.0,0.42193747
371.0,371.0,0.36205658
372.0,372.0,0.14090027
