x,y,species_3 logistic values
1.0,1.0,0.005759301
2.0,2.0,1.236668E-4
3.0,3.0,0.27159956
4.0,4.0,0.0068621733
5.0,5.0,0.06345367
6.0,6.0,2.5456271E-5
7.0,7.0,0.15940884
8.0,8.0,0.59170896
9.0,9.0,2.3288793E-4
10.0,10.0,9.438032E-5
11.0,11.0,0.16624887
12.0,12.0,2.4118905E-4
13.0,13.0,0.16318938
14.0,14.0,4.3177797E-6
15.0,15.0,3.7176403E-6
16.0,16.0,6.377394E-4
17.0,17.0,6.699623E-4
18.0,18.0,4.0718554E-5
19.0,19.0,4.329901E-4
20.0,20.0,0.0017079351
21.0,21.0,2.7412476E-4
22.0,22.0,0.008180152
23.0,23.0,1.8911134E-5
24.0,24.0,0.0071268175
25.0,25.0,0.0077880747
26.0,26.0,0.65346646
27.0,27.0,5.040074E-5
28.0,28.0,1.05238105E-5
29.0,29.0,9.735238E-6
30.0,30.0,0.002767927
31.0,31.0,0.003092377
32.0,32.0,2.2327735E-4
33.0,33.0,4.0053005E-6
34.0,34.0,2.385317E-4
35.0,35.0,2.25141E-4
36.0,36.0,0.0016367917
37.0,37.0,1.16600095E-4
38.0,38.0,0.03217473
39.0,39.0,7.571035E-5
40.0,40.0,1.2083616E-4
41.0,41.0,8.2391757E-4
42.0,42.0,0.0035572338
43.0,43.0,8.3552056E-4
44.0,44.0,1.9201462E-4
45.0,45.0,0.004589032
46.0,46.0,5.156937E-4
47.0,47.0,1.5897196E-5
48.0,48.0,0.0053309365
49.0,49.0,9.679156E-6
50.0,50.0,8.762142E-4
51.0,51.0,2.9558307E-6
52.0,52.0,0.0010003686
53.0,53.0,5.4527794E-5
54.0,54.0,3.7493977E-5
55.0,55.0,5.2746834E-4
56.0,56.0,0.0029303874
57.0,57.0,9.682142E-4
58.0,58.0,2.6371688E-4
59.0,59.0,0.0034447236
60.0,60.0,8.7773806E-4
61.0,61.0,3.799315E-4
62.0,62.0,0.0055820905
63.0,63.0,6.531187E-5
64.0,64.0,1.2981775E-4
65.0,65.0,0.0049800854
66.0,66.0,3.5951434E-5
67.0,67.0,0.02249953
68.0,68.0,6.710564E-4
69.0,69.0,3.6073077E-5
70.0,70.0,0.0015814264
71.0,71.0,6.983877E-6
72.0,72.0,0.0954256
73.0,73.0,1.9753648E-5
74.0,74.0,3.1152495E-6
75.0,75.0,4.910944E-4
76.0,76.0,0.36954963
77.0,77.0,3.6362107E-5
78.0,78.0,0.07685911
79.0,79.0,3.701497E-5
80.0,80.0,4.5371632E-4
81.0,81.0,0.071739055
82.0,82.0,0.0045831213
83.0,83.0,3.3447333E-5
84.0,84.0,0.0075783865
85.0,85.0,1.4726029E-4
86.0,86.0,7.5121725E-4
87.0,87.0,4.2998377E-5
88.0,88.0,1.1877269E-5
89.0,89.0,3.5447592E-4
90.0,90.0,3.6746792E-6
91.0,91.0,0.042700034
92.0,92.0,0.13829969
93.0,93.0,1.3724371E-5
94.0,94.0,4.095449E-5
95.0,95.0,9.671205E-5
96.0,96.0,9.075866E-5
97.0,97.0,3.3061783E-4
98.0,98.0,0.010273691
99.0,99.0,7.543385E-5
100.0,100.0,2.7765965E-4
101.0,101.0,4.1544176E-6
102.0,102.0,1.9844493E-4
103.0,103.0,4.1296822E-4
104.0,104.0,6.445961E-5
105.0,105.0,6.930247E-4
106.0,106.0,0.0031247912
107.0,107.0,4.1244733E-5
108.0,108.0,0.001179173
109.0,109.0,0.0019548486
110.0,110.0,0.0012687509
111.0,111.0,1.081932E-5
112.0,112.0,1.02120444E-4
113.0,113.0,0.0012289648
114.0,114.0,0.5540725
115.0,115.0,0.002854821
116.0,116.0,0.006638476
117.0,117.0,6.297462E-6
118.0,118.0,8.159062E-4
119.0,119.0,3.2786418E-5
120.0,120.0,1.6907301E-5
121.0,121.0,7.723822E-6
122.0,122.0,1.1647344E-4
123.0,123.0,0.4380681
124.0,124.0,2.421428E-4
