x,y,species min
1.0,1.0,0.0038276887
2.0,2.0,1.236668E-4
3.0,3.0,0.13607459
4.0,4.0,0.0030394332
5.0,5.0,0.061445396
6.0,6.0,1.6200811E-5
7.0,7.0,0.10830322
8.0,8.0,0.5507707
9.0,9.0,1.9829487E-4
10.0,10.0,6.226964E-5
11.0,11.0,0.0700661
12.0,12.0,1.5623467E-4
13.0,13.0,0.041762527
14.0,14.0,2.0919704E-6
15.0,15.0,1.3279565E-6
16.0,16.0,4.140162E-4
17.0,17.0,4.6942304E-4
18.0,18.0,1.31800125E-5
19.0,19.0,3.4658107E-4
20.0,20.0,0.0010099541
21.0,21.0,2.0035499E-4
22.0,22.0,0.0031696854
23.0,23.0,1.2042201E-5
24.0,24.0,0.0041194595
25.0,25.0,0.0077880747
26.0,26.0,0.5769525
27.0,27.0,5.040074E-5
28.0,28.0,6.2420854E-6
29.0,29.0,5.203692E-6
30.0,30.0,0.0018874531
31.0,31.0,0.0021276928
32.0,32.0,1.9505117E-4
33.0,33.0,1.7248675E-6
34.0,34.0,1.3896247E-4
35.0,35.0,1.4164469E-4
36.0,36.0,0.0011986592
37.0,37.0,1.16600095E-4
38.0,38.0,0.022383805
39.0,39.0,3.4282788E-5
40.0,40.0,5.933228E-5
41.0,41.0,6.151802E-4
42.0,42.0,0.0016137139
43.0,43.0,5.304866E-4
44.0,44.0,1.5242827E-4
45.0,45.0,0.0036805193
46.0,46.0,3.2346183E-4
47.0,47.0,6.2743193E-6
48.0,48.0,0.0016162266
49.0,49.0,4.994757E-6
50.0,50.0,7.535732E-4
51.0,51.0,1.2028239E-6
52.0,52.0,6.935066E-4
53.0,53.0,4.0034498E-5
54.0,54.0,3.7493977E-5
55.0,55.0,4.1948652E-4
56.0,56.0,0.0012801072
57.0,57.0,8.384368E-4
58.0,58.0,1.4501822E-4
59.0,59.0,0.0020912238
60.0,60.0,8.700836E-4
61.0,61.0,2.748925E-4
62.0,62.0,0.0036963895
63.0,63.0,6.531187E-5
64.0,64.0,1.1127137E-4
65.0,65.0,0.0026537501
66.0,66.0,3.5951434E-5
67.0,67.0,0.011810434
68.0,68.0,6.710564E-4
69.0,69.0,1.127034E-5
70.0,70.0,5.240772E-4
71.0,71.0,3.899991E-6
72.0,72.0,0.026746849
73.0,73.0,1.3244026E-5
74.0,74.0,1.1320159E-6
75.0,75.0,3.6852932E-4
76.0,76.0,0.364611
77.0,77.0,2.7277325E-5
78.0,78.0,0.023264026
79.0,79.0,1.16119545E-5
80.0,80.0,2.8718123E-4
81.0,81.0,0.021881765
82.0,82.0,0.0035711299
83.0,83.0,2.49425E-5
84.0,84.0,0.005333484
85.0,85.0,1.4726029E-4
86.0,86.0,7.016725E-4
87.0,87.0,3.868494E-5
88.0,88.0,6.8866457E-6
89.0,89.0,3.4528392E-4
90.0,90.0,1.6949389E-6
91.0,91.0,0.015189103
92.0,92.0,0.035370667
93.0,93.0,8.599153E-6
94.0,94.0,4.095449E-5
95.0,95.0,5.4829925E-5
96.0,96.0,9.075866E-5
97.0,97.0,1.743653E-4
98.0,98.0,0.009118572
99.0,99.0,5.5492055E-5
100.0,100.0,2.1534167E-4
101.0,101.0,1.8076412E-6
102.0,102.0,1.9844493E-4
103.0,103.0,2.4874948E-4
104.0,104.0,6.445961E-5
105.0,105.0,4.620332E-4
106.0,106.0,0.0018823195
107.0,107.0,1.7028155E-5
108.0,108.0,0.00101004
109.0,109.0,0.0013780468
110.0,110.0,8.2279654E-4
111.0,111.0,4.820356E-6
112.0,112.0,9.4265175E-5
113.0,113.0,8.0341403E-4
114.0,114.0,0.41698042
115.0,115.0,0.0022234025
116.0,116.0,0.0045524673
117.0,117.0,3.2379087E-6
118.0,118.0,5.2112696E-4
119.0,119.0,2.5858904E-5
120.0,120.0,1.0727777E-5
121.0,121.0,4.2100164E-6
122.0,122.0,1.1647344E-4
123.0,123.0,0.39447707
124.0,124.0,1.370425E-4
