x,y,species_4 logistic values
1.0,1.0,0.44832197
2.0,2.0,0.37917224
3.0,3.0,0.6605952
4.0,4.0,0.6474755
5.0,5.0,0.47472042
6.0,6.0,0.08482962
7.0,7.0,0.58619213
8.0,8.0,0.60282475
9.0,9.0,0.23415202
10.0,10.0,0.34951746
11.0,11.0,0.56861794
12.0,12.0,0.3918074
13.0,13.0,0.6842906
14.0,14.0,0.032636434
15.0,15.0,0.055595096
16.0,16.0,0.32843423
17.0,17.0,0.15924722
18.0,18.0,0.058473002
19.0,19.0,0.2289554
20.0,20.0,0.3313664
21.0,21.0,0.18448448
22.0,22.0,0.6944261
23.0,23.0,0.0682757
24.0,24.0,0.47017696
25.0,25.0,0.44836485
26.0,26.0,0.6087771
27.0,27.0,0.2227205
28.0,28.0,0.07877313
29.0,29.0,0.056590375
30.0,30.0,0.33893707
31.0,31.0,0.44827127
32.0,32.0,0.18957561
33.0,33.0,0.07570145
34.0,34.0,0.086478226
35.0,35.0,0.3352512
36.0,36.0,0.32756495
37.0,37.0,0.36466017
38.0,38.0,0.42323065
39.0,39.0,0.089598596
40.0,40.0,0.046728916
41.0,41.0,0.4853108
42.0,42.0,0.60727376
43.0,43.0,0.5292193
44.0,44.0,0.47798076
45.0,45.0,0.54516715
46.0,46.0,0.3707833
47.0,47.0,0.087702006
48.0,48.0,0.5727025
49.0,49.0,0.13395122
50.0,50.0,0.49395606
51.0,51.0,0.060722753
52.0,52.0,0.206458
53.0,53.0,0.3221348
54.0,54.0,0.18038379
55.0,55.0,0.5245511
56.0,56.0,0.589649
57.0,57.0,0.32077274
58.0,58.0,0.08757888
59.0,59.0,0.6292967
60.0,60.0,0.3796955
61.0,61.0,0.1761948
62.0,62.0,0.4403187
63.0,63.0,0.1965352
64.0,64.0,0.48638442
65.0,65.0,0.6483252
66.0,66.0,0.17629325
67.0,67.0,0.55354154
68.0,68.0,0.40150893
69.0,69.0,0.053587668
70.0,70.0,0.12840183
71.0,71.0,0.047808174
72.0,72.0,0.73761135
73.0,73.0,0.26436004
74.0,74.0,0.05432135
75.0,75.0,0.16017126
76.0,76.0,0.666788
77.0,77.0,0.34131855
78.0,78.0,0.57813174
79.0,79.0,0.05522054
80.0,80.0,0.14483042
81.0,81.0,0.75210375
82.0,82.0,0.54309654
83.0,83.0,0.34213132
84.0,84.0,0.514323
85.0,85.0,0.4113431
86.0,86.0,0.3198356
87.0,87.0,0.22301595
88.0,88.0,0.18093397
89.0,89.0,0.3240338
90.0,90.0,0.035921544
91.0,91.0,0.5426596
92.0,92.0,0.6470413
93.0,93.0,0.1888388
94.0,94.0,0.19302109
95.0,95.0,0.21655463
96.0,96.0,0.31599668
97.0,97.0,0.2153352
98.0,98.0,0.59254616
99.0,99.0,0.18152079
100.0,100.0,0.4106023
101.0,101.0,0.07791048
102.0,102.0,0.3709125
103.0,103.0,0.1550978
104.0,104.0,0.22251925
105.0,105.0,0.34899184
106.0,106.0,0.60963416
107.0,107.0,0.0564872
108.0,108.0,0.31925714
109.0,109.0,0.3318207
110.0,110.0,0.35509643
111.0,111.0,0.13377489
112.0,112.0,0.18335319
113.0,113.0,0.19500835
114.0,114.0,0.5589888
115.0,115.0,0.42044684
116.0,116.0,0.49449688
117.0,117.0,0.109324224
118.0,118.0,0.17260909
119.0,119.0,0.3297014
120.0,120.0,0.08868024
121.0,121.0,0.131091
122.0,122.0,0.36482948
123.0,123.0,0.6537816
124.0,124.0,0.08778487
125.0,125.0,0.32327268
126.0,126.0,0.069415614
127.0,127.0,0.4841797
128.0,128.0,0.1439145
129.0,129.0,0.0951162
130.0,130.0,0.09010755
131.0,131.0,0.5146948
132.0,132.0,0.09762216
133.0,133.0,0.16958655
134.0,134.0,0.532723
135.0,135.0,0.4597696
136.0,136.0,0.16393055
137.0,137.0,0.08027547
138.0,138.0,0.15719151
139.0,139.0,0.49760708
140.0,140.0,0.22570312
141.0,141.0,0.6191844
142.0,142.0,0.57626665
143.0,143.0,0.112303376
144.0,144.0,0.69223267
145.0,145.0,0.26519373
146.0,146.0,0.20686024
147.0,147.0,0.17794505
148.0,148.0,0.06670885
149.0,149.0,0.057070855
150.0,150.0,0.4497816
151.0,151.0,0.48466283
152.0,152.0,0.16141884
153.0,153.0,0.37773648
154.0,154.0,0.12152025
155.0,155.0,0.118857734
156.0,156.0,0.13345326
157.0,157.0,0.6320574
158.0,158.0,0.22939399
159.0,159.0,0.06023148
160.0,160.0,0.6530926
161.0,161.0,0.5683803
162.0,162.0,0.29076123
163.0,163.0,0.14551216
164.0,164.0,0.45768586
165.0,165.0,0.10902039
166.0,166.0,0.21682407
167.0,167.0,0.6318072
168.0,168.0,0.38551998
169.0,169.0,0.4138829
170.0,170.0,0.05599232
171.0,171.0,0.09515347
172.0,172.0,0.51126915
173.0,173.0,0.06054394
174.0,174.0,0.5100882
175.0,175.0,0.6806086
176.0,176.0,0.2461085
177.0,177.0,0.55459726
178.0,178.0,0.41907507
179.0,179.0,0.25575206
180.0,180.0,0.09826388
181.0,181.0,0.6015617
182.0,182.0,0.05139558
183.0,183.0,0.30160514
184.0,184.0,0.56085986
185.0,185.0,0.049036875
186.0,186.0,0.55715287
187.0,187.0,0.08953976
188.0,188.0,0.12910336
189.0,189.0,0.45380935
190.0,190.0,0.065538116
191.0,191.0,0.4282898
192.0,192.0,0.051822696
193.0,193.0,0.49962702
194.0,194.0,0.15127775
195.0,195.0,0.090225086
196.0,196.0,0.6618751
197.0,197.0,0.16883655
198.0,198.0,0.57178783
199.0,199.0,0.63255155
200.0,200.0,0.20189571
201.0,201.0,0.6034092
202.0,202.0,0.056583084
203.0,203.0,0.274399
204.0,204.0,0.24267343
205.0,205.0,0.223096
206.0,206.0,0.06666918
207.0,207.0,0.17671524
208.0,208.0,0.54067147
209.0,209.0,0.7363293
210.0,210.0,0.13762245
211.0,211.0,0.15036401
212.0,212.0,0.71672976
213.0,213.0,0.17013071
214.0,214.0,0.6019855
215.0,215.0,0.43417057
216.0,216.0,0.5791647
217.0,217.0,0.08232413
218.0,218.0,0.35458726
219.0,219.0,0.57844657
220.0,220.0,0.21154587
221.0,221.0,0.09244193
222.0,222.0,0.15691198
223.0,223.0,0.3112883
224.0,224.0,0.47074285
225.0,225.0,0.41377935
226.0,226.0,0.5544909
227.0,227.0,0.6573215
228.0,228.0,0.18379122
229.0,229.0,0.60263795
230.0,230.0,0.04833199
231.0,231.0,0.3538793
232.0,232.0,0.38326102
233.0,233.0,0.051718708
234.0,234.0,0.13301854
235.0,235.0,0.15905464
236.0,236.0,0.17518672
237.0,237.0,0.28123593
238.0,238.0,0.5964591
239.0,239.0,0.3144009
240.0,240.0,0.37943694
241.0,241.0,0.14472958
242.0,242.0,0.055246413
243.0,243.0,0.17493305
244.0,244.0,0.18693367
245.0,245.0,0.6344915
246.0,246.0,0.32541108
247.0,247.0,0.5736943
248.0,248.0,0.11691599
249.0,249.0,0.08367154
250.0,250.0,0.17073429
251.0,251.0,0.50700647
252.0,252.0,0.4604108
253.0,253.0,0.4985133
254.0,254.0,0.07374772
255.0,255.0,0.5619446
256.0,256.0,0.24506062
257.0,257.0,0.39244884
258.0,258.0,0.7113713
259.0,259.0,0.5545448
260.0,260.0,0.097894154
261.0,261.0,0.33669382
262.0,262.0,0.6429058
263.0,263.0,0.27364105
