x,y,species_4 logistic values
1.0,1.0,0.01143024
2.0,2.0,0.015622026
3.0,3.0,3.686507E-11
4.0,4.0,0.024774754
5.0,5.0,0.105793156
6.0,6.0,0.16885431
7.0,7.0,0.09116751
8.0,8.0,0.045059882
9.0,9.0,0.29999685
10.0,10.0,6.3645106E-4
11.0,11.0,0.10703999
12.0,12.0,0.0077220756
13.0,13.0,0.019976646
14.0,14.0,0.053557158
15.0,15.0,0.0012191269
16.0,16.0,5.177242E-4
17.0,17.0,0.01297749
18.0,18.0,0.027930789
19.0,19.0,0.6692033
20.0,20.0,0.005054522
21.0,21.0,0.057478093
22.0,22.0,0.035008144
23.0,23.0,0.09929494
24.0,24.0,0.032988366
25.0,25.0,0.074100964
26.0,26.0,2.6065577E-4
27.0,27.0,0.07179919
28.0,28.0,0.11767707
29.0,29.0,0.11652782
30.0,30.0,0.14612637
31.0,31.0,0.007449087
32.0,32.0,0.10727657
33.0,33.0,1.7196247E-4
34.0,34.0,0.17420763
35.0,35.0,0.009812902
36.0,36.0,0.07184259
37.0,37.0,0.19777077
38.0,38.0,0.06331963
39.0,39.0,0.0014854299
40.0,40.0,0.5412797
41.0,41.0,0.014362088
42.0,42.0,0.038995
43.0,43.0,0.1207813
44.0,44.0,0.047801744
45.0,45.0,0.0027413126
46.0,46.0,0.03307701
47.0,47.0,6.3847913E-4
48.0,48.0,0.038908157
49.0,49.0,3.280409E-4
50.0,50.0,0.120308705
51.0,51.0,3.6760837E-5
52.0,52.0,0.113018915
53.0,53.0,3.5976665E-4
54.0,54.0,0.056017715
55.0,55.0,0.01111863
56.0,56.0,0.03295689
57.0,57.0,0.15051588
58.0,58.0,0.06983227
59.0,59.0,1.8145415E-7
60.0,60.0,0.3232603
61.0,61.0,0.37545976
62.0,62.0,0.0736754
63.0,63.0,0.566974
64.0,64.0,0.0050448575
65.0,65.0,9.970867E-5
66.0,66.0,0.16156696
67.0,67.0,0.003398034
68.0,68.0,0.055009082
69.0,69.0,0.027423529
70.0,70.0,0.5239059
71.0,71.0,0.13081649
72.0,72.0,4.474305E-9
73.0,73.0,8.702692E-4
74.0,74.0,6.456247E-4
75.0,75.0,0.007375925
76.0,76.0,1.6492022E-5
77.0,77.0,5.186685E-4
78.0,78.0,0.0024574164
79.0,79.0,0.012834719
80.0,80.0,0.26533496
81.0,81.0,4.282423E-12
82.0,82.0,0.02262466
83.0,83.0,0.0016973681
84.0,84.0,0.09392581
85.0,85.0,0.13480832
86.0,86.0,0.107816376
87.0,87.0,0.018146701
88.0,88.0,9.372884E-4
89.0,89.0,0.057787232
90.0,90.0,0.020282686
91.0,91.0,0.04238707
92.0,92.0,0.022237962
93.0,93.0,1.2450251E-5
94.0,94.0,0.38855836
95.0,95.0,1.2054396E-4
96.0,96.0,0.12074975
97.0,97.0,9.26012E-4
98.0,98.0,1.593169E-5
99.0,99.0,0.5366728
100.0,100.0,1.0743142E-4
101.0,101.0,2.1945027E-4
102.0,102.0,0.20625673
103.0,103.0,0.0760193
104.0,104.0,0.5939363
105.0,105.0,4.8836827E-4
106.0,106.0,1.743756E-7
107.0,107.0,2.2362247E-4
108.0,108.0,0.09331938
109.0,109.0,0.06784847
110.0,110.0,0.018385438
111.0,111.0,0.09217499
112.0,112.0,0.43059173
113.0,113.0,0.31941414
114.0,114.0,0.013270007
115.0,115.0,0.102822594
116.0,116.0,0.0029250162
117.0,117.0,6.082369E-5
118.0,118.0,0.08578582
119.0,119.0,2.7596798E-5
120.0,120.0,0.20036158
121.0,121.0,2.9900604E-5
122.0,122.0,0.56753206
123.0,123.0,8.811299E-13
124.0,124.0,0.039698176
125.0,125.0,0.14270845
126.0,126.0,0.45861065
127.0,127.0,0.22065826
128.0,128.0,0.08865243
129.0,129.0,0.0020943643
130.0,130.0,0.055766024
131.0,131.0,0.011036345
132.0,132.0,5.368542E-4
133.0,133.0,0.42280325
134.0,134.0,0.00950728
135.0,135.0,0.06727643
136.0,136.0,0.13725848
137.0,137.0,0.016812956
138.0,138.0,0.0061947303
139.0,139.0,0.14578144
140.0,140.0,0.2298544
141.0,141.0,0.09051239
142.0,142.0,0.12931933
143.0,143.0,0.006726234
144.0,144.0,1.02241785E-4
145.0,145.0,0.54817176
146.0,146.0,0.012660551
147.0,147.0,0.12921785
148.0,148.0,0.00134593
149.0,149.0,0.0023545758
150.0,150.0,0.08728407
151.0,151.0,0.07744916
152.0,152.0,0.056556337
153.0,153.0,0.1250875
154.0,154.0,0.3275524
155.0,155.0,0.27991304
156.0,156.0,0.76371956
157.0,157.0,1.154233E-4
158.0,158.0,0.11658386
159.0,159.0,2.3785458E-4
160.0,160.0,0.031542595
161.0,161.0,0.027432185
162.0,162.0,0.34193942
163.0,163.0,0.09014381
164.0,164.0,0.09080741
165.0,165.0,0.04500036
166.0,166.0,0.15613161
167.0,167.0,1.4567237E-4
168.0,168.0,2.5752428E-4
169.0,169.0,0.054709457
170.0,170.0,0.0010055816
171.0,171.0,0.0057427883
172.0,172.0,0.07103845
173.0,173.0,0.055041593
174.0,174.0,0.015486926
175.0,175.0,0.0063099754
176.0,176.0,7.481891E-4
177.0,177.0,0.0077936305
178.0,178.0,0.023212695
179.0,179.0,0.01909803
180.0,180.0,0.083312
181.0,181.0,0.061758384
182.0,182.0,0.0013330316
183.0,183.0,0.09623608
184.0,184.0,0.10563215
185.0,185.0,0.12381024
186.0,186.0,0.121905476
187.0,187.0,0.004521695
188.0,188.0,0.16999027
189.0,189.0,0.04674138
190.0,190.0,0.01375484
191.0,191.0,0.0839541
192.0,192.0,0.0018156968
193.0,193.0,0.056576476
194.0,194.0,0.33602765
195.0,195.0,0.03844565
196.0,196.0,4.6612797E-4
197.0,197.0,0.24640876
198.0,198.0,0.12977171
199.0,199.0,0.08944191
200.0,200.0,0.0894303
201.0,201.0,0.06929993
202.0,202.0,0.004090587
203.0,203.0,0.18694411
204.0,204.0,3.1164315E-4
205.0,205.0,0.2256332
206.0,206.0,0.035056658
207.0,207.0,0.009410072
208.0,208.0,0.015104481
209.0,209.0,7.965256E-12
210.0,210.0,0.2750688
211.0,211.0,0.15113059
212.0,212.0,0.0020098903
213.0,213.0,0.26926294
214.0,214.0,1.5139302E-4
215.0,215.0,0.27071688
216.0,216.0,0.10932278
217.0,217.0,0.005303125
218.0,218.0,0.021001235
219.0,219.0,0.0010025859
220.0,220.0,9.1184664E-4
221.0,221.0,4.7465906E-5
222.0,222.0,0.086968616
223.0,223.0,0.04949924
224.0,224.0,0.018658195
225.0,225.0,0.0096818125
226.0,226.0,0.039727237
227.0,227.0,0.10089093
228.0,228.0,0.43688625
229.0,229.0,6.1472127E-4
230.0,230.0,0.09569008
231.0,231.0,1.3383456E-4
232.0,232.0,0.0114302905
233.0,233.0,0.13811652
234.0,234.0,2.6504745E-4
235.0,235.0,5.915284E-5
236.0,236.0,0.010816248
237.0,237.0,0.10017207
238.0,238.0,0.08895761
239.0,239.0,0.059320282
240.0,240.0,0.0073186206
241.0,241.0,0.32629025
242.0,242.0,0.13773428
243.0,243.0,0.25507486
244.0,244.0,0.12491495
245.0,245.0,0.10875834
246.0,246.0,0.076916456
247.0,247.0,0.022025574
248.0,248.0,8.01875E-4
249.0,249.0,0.034698725
250.0,250.0,2.2809042E-4
251.0,251.0,0.0043750196
