x,y,species stddev
1.0,1.0,0.033043616
2.0,2.0,0.024867633
3.0,3.0,0.022338316
4.0,4.0,0.012713221
5.0,5.0,0.014385163
6.0,6.0,0.02137611
7.0,7.0,0.012262091
8.0,8.0,0.011347994
9.0,9.0,0.0027649752
10.0,10.0,0.017296243
11.0,11.0,0.018724972
12.0,12.0,0.011513684
13.0,13.0,0.024491405
14.0,14.0,0.0045826607
15.0,15.0,0.004301079
16.0,16.0,0.017583773
17.0,17.0,0.0080655925
18.0,18.0,0.0033922459
19.0,19.0,0.018082296
20.0,20.0,0.026806803
21.0,21.0,0.01406055
22.0,22.0,0.009036499
23.0,23.0,0.0044667446
24.0,24.0,0.022135522
25.0,25.0,0.0071238675
26.0,26.0,0.015313025
27.0,27.0,0.019895352
28.0,28.0,0.015569839
29.0,29.0,0.0059040906
30.0,30.0,0.014556339
31.0,31.0,0.025195932
32.0,32.0,0.010999571
33.0,33.0,0.0031870026
34.0,34.0,0.0023056383
35.0,35.0,0.01345234
36.0,36.0,0.00744962
37.0,37.0,0.023760473
38.0,38.0,0.0153137
39.0,39.0,0.0040362035
40.0,40.0,0.0024837742
41.0,41.0,0.029014358
42.0,42.0,0.019899553
43.0,43.0,0.019838748
44.0,44.0,0.0195407
45.0,45.0,0.028071959
46.0,46.0,0.02023063
47.0,47.0,0.0068610096
48.0,48.0,0.013259352
49.0,49.0,0.018879052
50.0,50.0,0.016355865
51.0,51.0,0.003301287
52.0,52.0,0.002901056
53.0,53.0,0.027895126
54.0,54.0,0.080697745
55.0,55.0,0.041775167
56.0,56.0,0.020026064
57.0,57.0,0.031218462
58.0,58.0,0.007127808
59.0,59.0,0.029087666
60.0,60.0,0.0140802115
61.0,61.0,0.037251554
62.0,62.0,0.025875587
63.0,63.0,0.009772999
64.0,64.0,0.039077524
65.0,65.0,0.009538247
66.0,66.0,0.011322185
67.0,67.0,0.02533369
68.0,68.0,0.025475377
69.0,69.0,0.0010663002
70.0,70.0,0.008231439
71.0,71.0,0.0047119446
72.0,72.0,0.019962626
73.0,73.0,0.017489497
74.0,74.0,0.007016659
75.0,75.0,0.004061589
76.0,76.0,0.017119767
77.0,77.0,0.033627085
78.0,78.0,0.026807785
79.0,79.0,9.523078E-4
80.0,80.0,0.003947943
81.0,81.0,0.039387677
82.0,82.0,0.03388089
83.0,83.0,0.03819704
84.0,84.0,0.015458654
85.0,85.0,0.021360286
86.0,86.0,0.022630624
87.0,87.0,0.012236361
88.0,88.0,0.026654704
89.0,89.0,0.01747026
90.0,90.0,0.0070695365
91.0,91.0,0.027071398
92.0,92.0,0.01863866
93.0,93.0,0.0059703025
94.0,94.0,0.026759643
95.0,95.0,0.003948656
96.0,96.0,0.078329384
97.0,97.0,0.017075289
98.0,98.0,0.017434714
99.0,99.0,0.010947267
100.0,100.0,0.004884109
101.0,101.0,0.0070355567
102.0,102.0,0.027559752
103.0,103.0,0.013309709
104.0,104.0,0.029474966
105.0,105.0,0.01853589
106.0,106.0,0.024867745
107.0,107.0,7.5864705E-4
108.0,108.0,0.01344273
109.0,109.0,0.016554488
110.0,110.0,0.032437768
111.0,111.0,0.02771787
112.0,112.0,0.054848757
113.0,113.0,0.0029782478
114.0,114.0,0.011823879
115.0,115.0,0.01956156
116.0,116.0,0.017853055
117.0,117.0,0.009304273
118.0,118.0,0.006575425
119.0,119.0,0.010396314
120.0,120.0,0.028064102
121.0,121.0,0.01178484
122.0,122.0,0.030952323
123.0,123.0,0.02358043
124.0,124.0,0.00634356
125.0,125.0,0.011577449
126.0,126.0,0.014781365
127.0,127.0,0.010281164
128.0,128.0,0.0021947932
129.0,129.0,0.009140471
130.0,130.0,0.005948009
131.0,131.0,0.02404282
132.0,132.0,0.004723396
133.0,133.0,0.012139779
134.0,134.0,0.008579807
135.0,135.0,0.016684726
136.0,136.0,0.0023250398
137.0,137.0,0.023074491
138.0,138.0,0.006008981
139.0,139.0,0.018472224
140.0,140.0,0.02706169
141.0,141.0,0.017766511
142.0,142.0,0.018876027
143.0,143.0,0.037531495
144.0,144.0,0.018604254
145.0,145.0,0.0067205047
146.0,146.0,0.014542535
147.0,147.0,0.0025180096
148.0,148.0,0.0063490337
149.0,149.0,0.0023900713
150.0,150.0,0.010428252
151.0,151.0,0.01434478
152.0,152.0,0.0147260325
153.0,153.0,0.014042939
154.0,154.0,0.04109873
155.0,155.0,0.014924754
156.0,156.0,0.013940053
157.0,157.0,0.0053044804
158.0,158.0,0.014004718
159.0,159.0,0.0064247497
160.0,160.0,0.033611502
161.0,161.0,0.020204054
162.0,162.0,0.0107639115
163.0,163.0,0.009303367
164.0,164.0,0.0061013913
165.0,165.0,0.012348733
166.0,166.0,0.0337133
167.0,167.0,0.011700954
168.0,168.0,0.024777904
169.0,169.0,0.02572131
170.0,170.0,0.0068476032
171.0,171.0,0.006101585
172.0,172.0,0.026171863
173.0,173.0,0.0026830803
174.0,174.0,0.030580021
175.0,175.0,0.025356911
176.0,176.0,0.002880937
177.0,177.0,0.012755573
178.0,178.0,0.021403786
179.0,179.0,0.0147423
180.0,180.0,0.008805185
181.0,181.0,0.02672844
182.0,182.0,0.010283313
183.0,183.0,0.011507809
184.0,184.0,0.017224483
185.0,185.0,0.0025184413
186.0,186.0,0.015127462
187.0,187.0,0.023690972
188.0,188.0,0.0026314573
189.0,189.0,0.022817198
190.0,190.0,0.008239483
191.0,191.0,0.018714199
192.0,192.0,0.010765228
193.0,193.0,0.021357745
194.0,194.0,0.003882133
195.0,195.0,0.005852555
196.0,196.0,0.012256447
197.0,197.0,0.0056521115
198.0,198.0,0.018870369
199.0,199.0,0.016357824
200.0,200.0,0.0031986726
201.0,201.0,0.025663568
202.0,202.0,0.016846461
203.0,203.0,0.0067052427
204.0,204.0,0.008335098
205.0,205.0,0.018141812
206.0,206.0,0.012361007
207.0,207.0,0.0049941847
208.0,208.0,0.014056546
209.0,209.0,0.021011565
210.0,210.0,0.0020433303
211.0,211.0,0.020309085
212.0,212.0,0.0350735
213.0,213.0,0.015493201
214.0,214.0,0.013587667
215.0,215.0,0.016268983
216.0,216.0,0.0122275185
217.0,217.0,0.015709972
218.0,218.0,0.013933485
219.0,219.0,0.028010445
220.0,220.0,0.01592471
221.0,221.0,0.0012358266
222.0,222.0,0.009984859
223.0,223.0,0.019740004
224.0,224.0,0.013931574
225.0,225.0,0.008919651
226.0,226.0,0.016574524
227.0,227.0,0.01596449
228.0,228.0,0.009976216
229.0,229.0,0.01117407
230.0,230.0,0.046174508
231.0,231.0,0.0073155714
232.0,232.0,0.019364871
233.0,233.0,8.5523434E-4
234.0,234.0,0.023458926
235.0,235.0,0.008336672
236.0,236.0,0.0064278212
237.0,237.0,0.013431602
238.0,238.0,0.012762025
239.0,239.0,0.011599566
240.0,240.0,0.032606654
241.0,241.0,0.006835047
242.0,242.0,9.1860513E-4
243.0,243.0,0.011153543
244.0,244.0,0.020599145
245.0,245.0,0.019080972
246.0,246.0,0.025724579
247.0,247.0,0.012797335
248.0,248.0,0.016426992
249.0,249.0,0.02428185
250.0,250.0,0.02311806
251.0,251.0,0.015450161
252.0,252.0,0.013524525
253.0,253.0,0.014529737
254.0,254.0,0.006298856
255.0,255.0,0.022477778
256.0,256.0,0.04069599
257.0,257.0,0.022465896
258.0,258.0,0.014678127
259.0,259.0,0.012964568
260.0,260.0,0.023393998
261.0,261.0,0.010922592
262.0,262.0,0.013111066
263.0,263.0,0.0045581865
264.0,264.0,0.023996623
265.0,265.0,0.0052492465
266.0,266.0,0.009136285
267.0,267.0,0.027290449
268.0,268.0,0.015961275
269.0,269.0,0.015931915
270.0,270.0,0.023512177
271.0,271.0,0.025361724
272.0,272.0,0.024894144
273.0,273.0,0.07679993
274.0,274.0,0.018514076
275.0,275.0,0.026137233
276.0,276.0,0.012889671
277.0,277.0,0.013627976
278.0,278.0,0.018542528
279.0,279.0,0.021315275
280.0,280.0,0.0046187136
281.0,281.0,0.0734277
282.0,282.0,0.01617016
283.0,283.0,0.023611775
284.0,284.0,0.024441412
285.0,285.0,0.015538593
286.0,286.0,0.004464416
287.0,287.0,0.028472925
288.0,288.0,0.023354663
289.0,289.0,4.733132E-4
290.0,290.0,0.009072633
291.0,291.0,0.027485996
292.0,292.0,0.019471306
293.0,293.0,0.01687264
294.0,294.0,0.01982504
295.0,295.0,0.016095283
296.0,296.0,7.4291095E-4
297.0,297.0,0.022588937
298.0,298.0,0.02762157
299.0,299.0,0.010505535
300.0,300.0,0.026700018
301.0,301.0,0.012141151
302.0,302.0,0.0076487334
303.0,303.0,0.0023237066
304.0,304.0,0.007320503
305.0,305.0,0.015177367
306.0,306.0,0.03642656
307.0,307.0,0.05193867
308.0,308.0,0.01696844
309.0,309.0,4.5619524E-4
310.0,310.0,5.638972E-4
311.0,311.0,0.01842055
312.0,312.0,0.02598921
313.0,313.0,0.0064644422
314.0,314.0,0.0037061214
315.0,315.0,0.029171407
316.0,316.0,0.022213735
317.0,317.0,0.013592722
318.0,318.0,0.02217547
319.0,319.0,0.0030981882
320.0,320.0,0.008637852
321.0,321.0,0.016284373
322.0,322.0,0.01299106
323.0,323.0,0.026131384
324.0,324.0,0.013916133
325.0,325.0,0.011127027
326.0,326.0,0.0022723556
327.0,327.0,0.03401929
328.0,328.0,0.012527292
329.0,329.0,0.001478868
330.0,330.0,0.035222586
331.0,331.0,0.030177083
332.0,332.0,0.021366317
333.0,333.0,0.039869998
334.0,334.0,0.012426175
335.0,335.0,0.010334098
336.0,336.0,0.00848189
337.0,337.0,0.0126847
338.0,338.0,0.046042558
339.0,339.0,0.01170365
340.0,340.0,0.01517675
341.0,341.0,0.025396531
342.0,342.0,0.011942372
343.0,343.0,0.02739804
344.0,344.0,0.014422321
345.0,345.0,0.023689913
346.0,346.0,0.015649287
347.0,347.0,0.008890721
348.0,348.0,0.026840681
349.0,349.0,0.004864938
350.0,350.0,0.016100604
351.0,351.0,0.012494706
352.0,352.0,0.014402189
353.0,353.0,0.014649049
354.0,354.0,0.034258503
355.0,355.0,0.001160191
356.0,356.0,0.01586362
357.0,357.0,0.023969036
358.0,358.0,0.010261653
359.0,359.0,0.014132604
360.0,360.0,0.015407683
361.0,361.0,0.017269915
362.0,362.0,0.014849953
363.0,363.0,0.009150169
364.0,364.0,0.014079064
365.0,365.0,0.038090013
366.0,366.0,0.013636656
367.0,367.0,0.050462242
368.0,368.0,0.016769229
369.0,369.0,0.0069184685
370.0,370.0,0.013850895
371.0,371.0,0.015367842
372.0,372.0,0.017810797
373.0,373.0,0.007868497
374.0,374.0,0.024404384
375.0,375.0,0.006563211
376.0,376.0,0.008808747
377.0,377.0,0.0038525553
378.0,378.0,0.01663093
379.0,379.0,0.0059781703
380.0,380.0,0.014411786
381.0,381.0,0.022742007
382.0,382.0,0.026176188
383.0,383.0,0.0047517107
384.0,384.0,0.002949897
385.0,385.0,0.022785775
386.0,386.0,0.018834347
387.0,387.0,0.026160683
388.0,388.0,0.016174661
389.0,389.0,0.023510644
390.0,390.0,6.093761E-4
391.0,391.0,0.023718027
392.0,392.0,0.011758225
393.0,393.0,0.023883512
394.0,394.0,0.01768839
395.0,395.0,0.0024267663
396.0,396.0,0.0073976098
397.0,397.0,0.00855425
398.0,398.0,0.0033036713
399.0,399.0,0.011349723
400.0,400.0,0.0034801445
401.0,401.0,0.0096332645
402.0,402.0,0.014722654
403.0,403.0,0.0075182524
404.0,404.0,0.01597162
405.0,405.0,0.04016435
406.0,406.0,0.028333873
407.0,407.0,0.013022556
408.0,408.0,0.0040186653
409.0,409.0,0.018379182
410.0,410.0,0.008744123
411.0,411.0,0.011830756
412.0,412.0,0.024612186
413.0,413.0,0.024037166
414.0,414.0,0.019402595
415.0,415.0,0.006471111
416.0,416.0,0.04031591
417.0,417.0,0.008711752
418.0,418.0,0.01096324
419.0,419.0,0.015206546
420.0,420.0,0.0056368713
421.0,421.0,0.020950949
422.0,422.0,0.012203717
423.0,423.0,0.010160963
424.0,424.0,0.035361122
425.0,425.0,0.0282016
426.0,426.0,0.019528793
427.0,427.0,0.013887942
428.0,428.0,0.036191143
429.0,429.0,0.010658058
430.0,430.0,0.00899623
431.0,431.0,0.013354692
432.0,432.0,0.030087804
433.0,433.0,0.015135714
434.0,434.0,0.01999272
435.0,435.0,0.023002556
436.0,436.0,0.017094743
437.0,437.0,0.027903618
438.0,438.0,0.019548442
439.0,439.0,0.023854688
440.0,440.0,0.009312008
441.0,441.0,0.031482287
442.0,442.0,0.02098869
443.0,443.0,0.050384384
444.0,444.0,0.0062122466
445.0,445.0,4.4650197E-4
446.0,446.0,0.0058569405
447.0,447.0,0.0051334645
448.0,448.0,0.015410738
449.0,449.0,0.027677506
450.0,450.0,0.014841085
451.0,451.0,0.006406995
452.0,452.0,0.038891274
453.0,453.0,0.021334104
454.0,454.0,0.011154296
455.0,455.0,7.231892E-4
456.0,456.0,0.014419444
457.0,457.0,0.0074234237
458.0,458.0,0.0064702877
459.0,459.0,0.041333847
460.0,460.0,0.01241392
