Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.62837E-13,0.000000001,0.000000001,0.991247265,0,0
2.85625E-11,0.000000004,0.000000049,0.990761002,0,0
3.14164E-11,0.00000001,0.000000054,0.990274739,0,0
3.40458E-11,0.000000027,0.000000058,0.989059081,0,0
3.47511E-10,0.000000111,0.000000594,0.985655239,0,0
4.20611E-10,0.000000266,0.000000719,0.984682713,0,0
1.05428E-9,0.00000108,0.000001803,0.982737661,0,0
1.21891E-9,0.000002556,0.000002085,0.979576951,0,0
9.41983E-9,0.00001009,0.000016112,0.971067347,0,0
1.23371E-8,0.00002607,0.000021101,0.967663506,0,0
2.23387E-8,0.000051915,0.000038207,0.964016533,0,0
2.74032E-8,0.000100775,0.000046869,0.959153902,0,0
6.01296E-8,0.00025502,0.000102836,0.950158035,0,0
9.74222E-8,0.000506766,0.000166605,0.942864089,0,0
2.40844E-7,0.001001245,0.000411773,0.936056407,0,0
4.07673E-7,0.002506154,0.000696804,0.925601751,0,0
7.91608E-7,0.005071044,0.001352147,0.914660832,0,0
1.5177E-6,0.01006346,0.002589182,0.904449307,0,0
2.24475E-6,0.025215973,0.003824759,0.884998784,0,0
3.76752E-6,0.050289925,0.006402768,0.864575735,0,0
5.59324E-6,0.100426842,0.009476101,0.837831267,0,0
1.24027E-5,0.20024906,0.020773055,0.80671043,0,0
1.69127E-5,0.301265857,0.028114415,0.790177486,0,0
1.91766E-5,0.400479309,0.031758333,0.776805252,0,0
2.08557E-5,0.501879106,0.03444323,0.764405543,0,0
2.29293E-5,0.600896076,0.037738546,0.753464624,0,0
2.46955E-5,0.701243088,0.040527645,0.7432531,0,0
2.54189E-5,0.751383387,0.041665448,0.738390469,0,0
2.61023E-5,0.800384571,0.04273768,0.73377097,0,0
2.73788E-5,0.902295762,0.044734288,0.724531972,0,0
2.86115E-5,1.000452887,0.04665442,0.716022368,0,0
2.97414E-5,1.102749937,0.048407634,0.707512764,0,0
3.09768E-5,1.20023952,0.050317185,0.699732555,0,0
3.24956E-5,1.301864418,0.052654298,0.691952346,0,0
3.39771E-5,1.401469265,0.054923131,0.6846584,0,0
3.54006E-5,1.502254983,0.057092747,0.677607586,0,0
3.97206E-5,1.753222394,0.063616628,0.661317773,0,0
4.44064E-5,2.000453479,0.070591733,0.646973012,0,0
4.95475E-5,2.254565713,0.078125811,0.63384391,0.045454545,0
5.38443E-5,2.501855396,0.084329625,0.622173596,0.045454545,0
5.6587E-5,2.750518229,0.088246178,0.611232677,0.045454545,0
6.08231E-5,3.004189391,0.094229737,0.600778021,0.045454545,0
6.48647E-5,3.250684354,0.09986582,0.591295891,0.045454545,0
6.98323E-5,3.506570716,0.1066979,0.582056893,0.045454545,0
7.3466E-5,3.75017225,0.111630146,0.573790421,0.045454545,0
7.89944E-5,4.007782567,0.119030575,0.565523948,0.045454545,0
8.34198E-5,4.250844762,0.124866257,0.558230002,0.045454545,0
8.68374E-5,4.506509738,0.129320334,0.550936056,0.045454545,0
9.08395E-5,4.755440152,0.134478798,0.544128373,0.045454545,0
9.42692E-5,5.005096297,0.138851192,0.537563822,0.045454545,0
9.83985E-5,5.256239397,0.144057134,0.531242402,0.045454545,0
1.03077E-4,5.507358057,0.149879627,0.525164114,0.045454545,0
1.07719E-4,5.759817082,0.155579687,0.519328957,0.045454545,0
1.10358E-4,6.010285039,0.158785675,0.513736932,0.045454545,0
1.1312E-4,6.256900569,0.162115818,0.508388038,0.045454545,0
1.17008E-4,6.511039632,0.166758886,0.503039144,0.045454545,0
1.21893E-4,6.751030537,0.172519545,0.498176513,0.045454545,0
1.26672E-4,7.011909841,0.178078568,0.493070751,0.045454545,0
1.31385E-4,7.257132,0.183488346,0.488451252,0.045454545,0
1.35711E-4,7.510401435,0.188391839,0.483831753,0.045454545,0
1.39529E-4,7.758027164,0.19267142,0.479455385,0.045454545,0
1.43626E-4,8.012853411,0.197213039,0.475079018,0.045454545,0
1.47366E-4,8.260318929,0.201313984,0.470945782,0.045454545,0
1.49942E-4,8.513211535,0.204114611,0.466812546,0.045454545,0
1.53643E-4,8.756040519,0.208104628,0.462922441,0.045454545,0
1.55729E-4,9.003940009,0.210335308,0.459032336,0.045454545,0
1.58075E-4,9.255519211,0.212829644,0.455142232,0.045454545,0
1.60506E-4,9.510705957,0.215397732,0.451252127,0.045454545,0
1.62287E-4,9.752971926,0.217269121,0.447605154,0.045454545,0
1.638E-4,10.014045452,0.218851688,0.44371505,0.045454545,0
1.66453E-4,10.261518234,0.221610276,0.440068077,0.045454545,0
1.68673E-4,10.513072753,0.223904154,0.436421104,0.045454545,0
1.70275E-4,10.750509838,0.225551243,0.433017262,0.045454545,0
1.73471E-4,11.008602653,0.228815538,0.429370289,0.045454545,0
