x,y,species stddev
1.0,1.0,0.11099005
2.0,2.0,0.048707664
3.0,3.0,0.007855221
4.0,4.0,0.07487309
5.0,5.0,0.0018935289
6.0,6.0,0.043021623
7.0,7.0,0.0064792265
8.0,8.0,8.161835E-4
9.0,9.0,0.05728456
10.0,10.0,0.0049871453
11.0,11.0,0.0093470905
12.0,12.0,0.0047137355
13.0,13.0,0.019544924
14.0,14.0,0.0426806
15.0,15.0,0.023075571
16.0,16.0,0.0035418782
17.0,17.0,0.0492328
18.0,18.0,0.041775737
19.0,19.0,0.041718073
20.0,20.0,0.002737189
21.0,21.0,0.0032064104
22.0,22.0,0.07276234
23.0,23.0,0.084313974
24.0,24.0,0.039279085
25.0,25.0,0.05809448
26.0,26.0,1.0121356E-5
27.0,27.0,0.050436277
28.0,28.0,0.07632543
29.0,29.0,0.02592771
30.0,30.0,0.046546213
31.0,31.0,0.002796557
32.0,32.0,0.06114996
33.0,33.0,0.020615034
34.0,34.0,0.04317344
35.0,35.0,0.0030722816
36.0,36.0,0.008294467
37.0,37.0,0.06535556
38.0,38.0,0.046727244
39.0,39.0,0.011446227
40.0,40.0,0.03413299
41.0,41.0,5.7638413E-4
42.0,42.0,0.038241975
43.0,43.0,0.012840172
44.0,44.0,0.012994371
45.0,45.0,0.003294713
46.0,46.0,7.6765945E-4
47.0,47.0,0.013841891
48.0,48.0,0.016823245
49.0,49.0,0.02530908
50.0,50.0,0.019331804
51.0,51.0,0.027120007
52.0,52.0,8.338912E-7
53.0,53.0,0.022417733
54.0,54.0,0.13099967
55.0,55.0,0.024022052
56.0,56.0,0.012724035
57.0,57.0,0.08243505
58.0,58.0,0.051044818
59.0,59.0,0.05784958
60.0,60.0,0.06995828
61.0,61.0,0.087439515
62.0,62.0,0.07576525
63.0,63.0,0.030492391
64.0,64.0,0.017323723
65.0,65.0,0.06428238
66.0,66.0,0.049936432
67.0,67.0,0.0043224883
68.0,68.0,0.03589021
69.0,69.0,0.043776367
70.0,70.0,0.0041426974
71.0,71.0,0.045849074
72.0,72.0,0.046842296
73.0,73.0,0.049273062
74.0,74.0,0.02466112
75.0,75.0,0.06493621
76.0,76.0,3.7400888E-8
77.0,77.0,0.049955476
78.0,78.0,0.0921694
79.0,79.0,0.028941773
80.0,80.0,0.021454804
81.0,81.0,0.06865426
82.0,82.0,0.07559724
83.0,83.0,0.022839768
84.0,84.0,0.06601751
85.0,85.0,0.06288178
86.0,86.0,0.023525
87.0,87.0,0.04948393
88.0,88.0,0.048651986
89.0,89.0,0.0188062
90.0,90.0,0.039750755
91.0,91.0,0.06261122
92.0,92.0,0.018537298
93.0,93.0,0.016357847
94.0,94.0,0.049836323
95.0,95.0,4.9891276E-4
96.0,96.0,0.15561587
97.0,97.0,0.0021057248
98.0,98.0,0.07610907
99.0,99.0,0.03817067
100.0,100.0,5.434409E-4
101.0,101.0,0.05507972
102.0,102.0,0.07344461
103.0,103.0,0.03178776
104.0,104.0,0.02870574
105.0,105.0,0.0022488944
106.0,106.0,0.056763113
107.0,107.0,0.011893745
108.0,108.0,0.011141138
109.0,109.0,0.012944759
110.0,110.0,0.04696739
111.0,111.0,0.012248897
112.0,112.0,0.07110211
113.0,113.0,8.6306175E-4
114.0,114.0,0.0015626617
115.0,115.0,0.032563407
116.0,116.0,0.117646545
117.0,117.0,0.027600974
118.0,118.0,1.3712098E-4
119.0,119.0,0.01119788
120.0,120.0,0.04258013
121.0,121.0,0.034184095
122.0,122.0,0.058440264
123.0,123.0,5.8581416E-5
124.0,124.0,0.04032809
125.0,125.0,0.025887767
126.0,126.0,0.06805025
127.0,127.0,0.058591142
128.0,128.0,1.1412922E-6
129.0,129.0,0.01565761
130.0,130.0,0.04342787
131.0,131.0,0.021568809
132.0,132.0,0.030345451
133.0,133.0,0.04496563
134.0,134.0,0.066666596
135.0,135.0,0.030542817
136.0,136.0,7.769423E-7
137.0,137.0,0.03509676
138.0,138.0,0.02534198
139.0,139.0,0.031628087
140.0,140.0,0.087912805
141.0,141.0,0.006062585
142.0,142.0,0.009202279
143.0,143.0,0.049548626
144.0,144.0,0.079565145
145.0,145.0,0.019487895
146.0,146.0,0.008438695
147.0,147.0,7.886132E-7
148.0,148.0,0.033513203
149.0,149.0,0.012075298
150.0,150.0,0.013585478
151.0,151.0,0.00997381
152.0,152.0,0.10775007
153.0,153.0,0.043186158
154.0,154.0,0.046897464
155.0,155.0,0.07809283
156.0,156.0,0.062104512
157.0,157.0,0.0733182
158.0,158.0,0.020946842
159.0,159.0,0.027008913
160.0,160.0,0.023157274
161.0,161.0,0.03663399
162.0,162.0,0.018313784
163.0,163.0,0.018960921
164.0,164.0,0.048223887
165.0,165.0,0.048566632
166.0,166.0,0.08297967
167.0,167.0,0.07249356
168.0,168.0,0.023145407
169.0,169.0,0.026101606
170.0,170.0,0.026247773
171.0,171.0,0.03724599
172.0,172.0,0.06936972
173.0,173.0,0.06938878
174.0,174.0,5.764905E-4
175.0,175.0,0.023377834
176.0,176.0,1.9411591E-5
177.0,177.0,0.06861506
178.0,178.0,0.01483372
179.0,179.0,0.09780048
180.0,180.0,0.044703916
181.0,181.0,0.075305894
182.0,182.0,0.02679039
183.0,183.0,0.011648951
184.0,184.0,0.020611716
185.0,185.0,0.04361291
186.0,186.0,0.066583075
187.0,187.0,0.03189212
188.0,188.0,6.8261004E-5
189.0,189.0,0.027474048
190.0,190.0,0.058193885
191.0,191.0,0.02912179
192.0,192.0,0.022540616
193.0,193.0,0.04639359
194.0,194.0,0.022652263
195.0,195.0,0.07494921
196.0,196.0,0.057517547
197.0,197.0,0.0057513705
198.0,198.0,0.009140977
199.0,199.0,0.07502418
200.0,200.0,1.8756352E-4
201.0,201.0,0.07892236
202.0,202.0,0.023236608
203.0,203.0,0.027551599
204.0,204.0,7.2406756E-4
205.0,205.0,0.018253904
206.0,206.0,0.0518419
207.0,207.0,0.07188081
208.0,208.0,0.07698306
209.0,209.0,0.05571342
210.0,210.0,8.2358863E-4
211.0,211.0,0.068388894
212.0,212.0,0.015071132
213.0,213.0,0.06389352
214.0,214.0,0.06995519
215.0,215.0,0.057420507
216.0,216.0,0.0062683406
217.0,217.0,0.017556308
218.0,218.0,0.012937673
219.0,219.0,0.0057026413
220.0,220.0,0.002101468
221.0,221.0,0.020471703
222.0,222.0,0.0029861764
223.0,223.0,0.018870473
224.0,224.0,0.00977113
