x,y,species avg
1.0,1.0,0.09566817
2.0,2.0,0.52923185
3.0,3.0,4.7072284E-16
4.0,4.0,0.0014040464
5.0,5.0,2.6379674E-21
6.0,6.0,0.010395531
7.0,7.0,3.2846432E-17
8.0,8.0,6.1982755E-26
9.0,9.0,3.3588105E-4
10.0,10.0,8.425788E-18
11.0,11.0,1.9972832E-13
12.0,12.0,2.2299959E-17
13.0,13.0,7.564593E-12
14.0,14.0,0.0065996484
15.0,15.0,4.080926E-12
16.0,16.0,1.2931922E-22
17.0,17.0,1.1049073E-10
18.0,18.0,9.570614E-4
19.0,19.0,4.75544E-5
20.0,20.0,1.11794365E-20
21.0,21.0,3.0466889E-22
22.0,22.0,3.4001845E-4
23.0,23.0,0.028717386
24.0,24.0,2.3262579E-5
25.0,25.0,4.3585827E-4
26.0,26.0,0.0
27.0,27.0,0.342267
28.0,28.0,6.1762854E-5
29.0,29.0,0.0023636005
30.0,30.0,5.4666765E-5
31.0,31.0,1.767718E-20
32.0,32.0,0.10677268
33.0,33.0,6.3133804E-4
34.0,34.0,0.006460932
35.0,35.0,9.303973E-22
36.0,36.0,4.276653E-13
37.0,37.0,0.6797712
38.0,38.0,0.08768253
39.0,39.0,0.08048757
40.0,40.0,0.009252836
41.0,41.0,2.0178667E-28
42.0,42.0,1.8892256E-7
43.0,43.0,1.7830154E-11
44.0,44.0,1.971953E-11
45.0,45.0,3.6707642E-20
46.0,46.0,9.0274265E-29
47.0,47.0,2.6041898E-20
48.0,48.0,2.0803576E-12
49.0,49.0,4.6814108E-8
50.0,50.0,4.5065673E-11
51.0,51.0,2.2685467E-4
52.0,52.0,0.0
53.0,53.0,6.501979E-12
54.0,54.0,0.23250672
55.0,55.0,7.557859E-9
56.0,56.0,1.8868208E-12
57.0,57.0,0.3289348
58.0,58.0,2.841318E-6
59.0,59.0,6.9743082E-6
60.0,60.0,0.6722308
61.0,61.0,0.16024926
62.0,62.0,0.15355247
63.0,63.0,0.4901702
64.0,64.0,2.0351709E-12
65.0,65.0,6.136378E-4
66.0,66.0,0.24427167
67.0,67.0,2.0689904E-19
68.0,68.0,2.0094789E-5
69.0,69.0,8.0102903E-4
70.0,70.0,7.741487E-20
71.0,71.0,0.013470756
72.0,72.0,7.2965753E-9
73.0,73.0,4.90394E-10
74.0,74.0,6.7315185E-9
75.0,75.0,0.005169176
76.0,76.0,0.0
77.0,77.0,6.587054E-8
78.0,78.0,0.32563415
79.0,79.0,8.0634025E-4
80.0,80.0,5.844042E-5
81.0,81.0,4.870904E-7
82.0,82.0,1.0320588E-6
83.0,83.0,4.9676663E-7
84.0,84.0,0.041438386
85.0,85.0,0.7273968
86.0,86.0,1.5690626E-6
87.0,87.0,2.7730365E-4
88.0,88.0,0.0020162393
89.0,89.0,1.2084735E-10
90.0,90.0,2.2747084E-4
91.0,91.0,0.00780817
92.0,92.0,5.9794413E-12
93.0,93.0,6.8525795E-13
94.0,94.0,0.2721341
95.0,95.0,5.9597736E-33
96.0,96.0,0.6037217
97.0,97.0,5.626912E-23
98.0,98.0,0.0016894193
99.0,99.0,1.5955176E-5
100.0,100.0,2.032464E-32
101.0,101.0,0.005396917
102.0,102.0,0.6886662
103.0,103.0,0.16245075
104.0,104.0,0.5099311
105.0,105.0,1.430873E-22
106.0,106.0,6.5432837E-6
107.0,107.0,0.10291093
108.0,108.0,3.35787E-11
109.0,109.0,1.9595345E-10
110.0,110.0,0.0064173862
111.0,111.0,1.8997651E-8
112.0,112.0,0.22768016
113.0,113.0,4.6413463E-27
114.0,114.0,1.3510802E-24
115.0,115.0,6.379239E-8
116.0,116.0,0.16496286
117.0,117.0,0.0031649824
118.0,118.0,5.4177956E-37
119.0,119.0,1.406994E-12
120.0,120.0,0.004407904
121.0,121.0,0.0013267895
122.0,122.0,0.68475574
123.0,123.0,4.58E-43
124.0,124.0,4.9344333E-5
125.0,125.0,5.1244475E-9
126.0,126.0,0.2028276
127.0,127.0,2.463605E-4
128.0,128.0,0.0
129.0,129.0,9.5071585E-4
130.0,130.0,3.1360827E-11
131.0,131.0,2.7135268E-11
132.0,132.0,0.00855006
133.0,133.0,0.40154797
134.0,134.0,9.278677E-4
135.0,135.0,1.2710552E-8
136.0,136.0,0.0
137.0,137.0,0.0010013079
138.0,138.0,1.0385673E-10
139.0,139.0,1.2074134E-6
140.0,140.0,0.26311412
141.0,141.0,3.7916677E-19
142.0,142.0,1.9036054E-13
143.0,143.0,1.1020599E-5
144.0,144.0,8.471638E-4
145.0,145.0,6.679891E-7
146.0,146.0,4.664813E-13
147.0,147.0,0.0
148.0,148.0,5.762178E-4
149.0,149.0,0.0501604
150.0,150.0,6.3604844E-11
151.0,151.0,8.6599526E-13
152.0,152.0,0.11299738
153.0,153.0,0.033249807
154.0,154.0,0.18421173
155.0,155.0,3.540632E-4
156.0,156.0,0.13616194
157.0,157.0,6.1194284E-4
158.0,158.0,2.9329994E-9
159.0,159.0,9.861341E-9
160.0,160.0,5.178857E-11
161.0,161.0,1.7761978E-7
162.0,162.0,4.923738E-12
163.0,163.0,0.006544231
164.0,164.0,0.03320784
165.0,165.0,3.1330087E-6
166.0,166.0,0.21909525
167.0,167.0,5.565508E-4
168.0,168.0,9.738756E-12
169.0,169.0,1.009583E-8
170.0,170.0,2.0648137E-4
171.0,171.0,0.13794523
172.0,172.0,0.12654322
173.0,173.0,7.624052E-5
174.0,174.0,2.2217085E-28
175.0,175.0,4.5331763E-10
176.0,176.0,0.0
177.0,177.0,0.0010978116
178.0,178.0,1.1035516E-12
179.0,179.0,0.08216553
180.0,180.0,1.3803675E-4
181.0,181.0,0.0041974895
182.0,182.0,4.177031E-9
183.0,183.0,9.837679E-11
184.0,184.0,6.395127E-11
185.0,185.0,5.837289E-4
186.0,186.0,0.02151111
187.0,187.0,1.3619269E-8
188.0,188.0,2.51214E-40
189.0,189.0,1.2763897E-8
190.0,190.0,0.019774249
191.0,191.0,6.550057E-8
192.0,192.0,3.3564703E-12
193.0,193.0,2.5752682E-4
194.0,194.0,5.5901146E-5
195.0,195.0,0.0063045495
196.0,196.0,7.0542055E-6
197.0,197.0,2.973532E-18
198.0,198.0,1.8631127E-13
199.0,199.0,0.0025162012
200.0,200.0,4.0152462E-35
201.0,201.0,0.1780645
202.0,202.0,0.04364743
203.0,203.0,2.9015195E-7
204.0,204.0,9.6490234E-29
205.0,205.0,4.1181594E-12
206.0,206.0,2.3305609E-5
207.0,207.0,0.0024433113
208.0,208.0,0.30010402
209.0,209.0,3.965386E-7
210.0,210.0,2.8157362E-27
211.0,211.0,0.34002465
212.0,212.0,7.146422E-14
213.0,213.0,0.055288337
214.0,214.0,4.8452083E-4
215.0,215.0,0.7463705
216.0,216.0,2.9320558E-17
217.0,217.0,0.001008262
218.0,218.0,8.202624E-11
219.0,219.0,5.729171E-20
220.0,220.0,5.467125E-23
221.0,221.0,0.0106244935
222.0,222.0,2.1226954E-22
223.0,223.0,1.1995975E-10
224.0,224.0,3.032922E-15
225.0,225.0,1.3914184E-21
226.0,226.0,1.5298689E-12
227.0,227.0,6.4287146E-5
228.0,228.0,1.070853E-5
229.0,229.0,4.814963E-6
230.0,230.0,0.048538417
231.0,231.0,2.3058538E-28
232.0,232.0,9.783129E-13
233.0,233.0,5.696206E-4
234.0,234.0,1.9324058E-12
235.0,235.0,4.3429687E-8
236.0,236.0,9.569507E-11
237.0,237.0,9.197511E-6
238.0,238.0,3.4553336E-17
239.0,239.0,1.7234433E-6
240.0,240.0,8.968473E-6
241.0,241.0,0.049666286
242.0,242.0,3.058012E-4
243.0,243.0,1.266235E-19
244.0,244.0,2.4315625E-7
245.0,245.0,8.8170554E-11
246.0,246.0,0.13805674
247.0,247.0,9.4999804E-4
248.0,248.0,1.5884772E-18
249.0,249.0,0.0017045195
250.0,250.0,7.418275E-8
251.0,251.0,1.8387631E-5
252.0,252.0,1.5017913E-12
253.0,253.0,3.9192145E-21
254.0,254.0,3.3036282E-11
255.0,255.0,2.4586444E-19
256.0,256.0,0.57494676
257.0,257.0,0.73582876
258.0,258.0,3.2112564E-7
259.0,259.0,0.0
260.0,260.0,0.0011141609
261.0,261.0,2.1598328E-17
262.0,262.0,2.2505108E-7
263.0,263.0,7.5937066E-7
264.0,264.0,0.4705983
265.0,265.0,0.0045643942
266.0,266.0,1.6405925E-11
267.0,267.0,0.28487992
268.0,268.0,3.497216E-17
269.0,269.0,0.100236945
270.0,270.0,3.074076E-13
271.0,271.0,3.1927344E-15
272.0,272.0,0.213568
273.0,273.0,0.37190303
274.0,274.0,0.25801852
275.0,275.0,0.2817373
276.0,276.0,0.025848828
277.0,277.0,2.906692E-19
278.0,278.0,1.3907246E-11
279.0,279.0,4.187155E-18
280.0,280.0,1.650684E-5
281.0,281.0,0.10539448
282.0,282.0,2.6305228E-8
283.0,283.0,2.61714E-6
284.0,284.0,7.346749E-11
285.0,285.0,0.0014597296
286.0,286.0,0.0
287.0,287.0,8.232536E-5
288.0,288.0,1.6486891E-7
289.0,289.0,0.029620122
290.0,290.0,5.556091E-6
291.0,291.0,0.0035395806
292.0,292.0,2.7071393E-19
293.0,293.0,2.5678723E-5
294.0,294.0,7.8194745E-23
295.0,295.0,2.808519E-10
296.0,296.0,1.0343282E-11
297.0,297.0,3.4853977E-6
298.0,298.0,3.0254637E-13
299.0,299.0,1.6233653E-5
300.0,300.0,3.9284184E-12
301.0,301.0,0.032549806
302.0,302.0,1.8793616E-28
303.0,303.0,7.216981E-20
304.0,304.0,0.008819269
305.0,305.0,0.093368374
306.0,306.0,9.702071E-13
307.0,307.0,0.38825005
308.0,308.0,0.055085506
309.0,309.0,0.027928747
310.0,310.0,0.0036720682
311.0,311.0,2.513505E-8
312.0,312.0,1.034067E-20
313.0,313.0,9.632835E-7
314.0,314.0,3.9963786E-37
315.0,315.0,0.5968311
316.0,316.0,2.5177927E-4
317.0,317.0,2.114507E-4
318.0,318.0,4.028866E-4
319.0,319.0,0.0036993155
320.0,320.0,0.5225188
321.0,321.0,0.40189666
322.0,322.0,1.4609447E-11
323.0,323.0,4.3914197E-13
324.0,324.0,1.9502687E-10
325.0,325.0,1.836344E-6
326.0,326.0,2.0366762E-11
327.0,327.0,0.0015498875
328.0,328.0,6.522998E-4
329.0,329.0,7.4821423E-34
330.0,330.0,9.664665E-13
331.0,331.0,9.372444E-4
332.0,332.0,0.05877146
333.0,333.0,0.035866924
334.0,334.0,0.20873958
335.0,335.0,0.0023609726
336.0,336.0,4.69491E-10
337.0,337.0,4.5859656E-6
338.0,338.0,0.29769778
339.0,339.0,6.7839034E-22
340.0,340.0,3.1303094E-38
341.0,341.0,9.2988006E-11
342.0,342.0,1.1190051E-4
343.0,343.0,0.14249025
344.0,344.0,3.740351E-4
345.0,345.0,5.1638416E-12
346.0,346.0,5.1926946E-23
347.0,347.0,0.028233599
348.0,348.0,1.7761415E-5
349.0,349.0,4.7556725E-8
350.0,350.0,1.5519979E-12
351.0,351.0,1.3159202E-8
352.0,352.0,0.0012822138
353.0,353.0,8.916764E-6
354.0,354.0,5.56471E-8
355.0,355.0,0.0122112585
356.0,356.0,4.256738E-4
357.0,357.0,1.6858282E-11
358.0,358.0,0.1075373
359.0,359.0,0.0038295463
360.0,360.0,1.8479874E-4
361.0,361.0,0.045042235
362.0,362.0,5.537057E-38
363.0,363.0,9.1667223E-4
364.0,364.0,0.10338086
365.0,365.0,0.6060719
366.0,366.0,7.297886E-6
367.0,367.0,0.056055088
368.0,368.0,1.185979E-5
369.0,369.0,3.3548221E-28
370.0,370.0,5.6908755E-11
371.0,371.0,0.04527248
372.0,372.0,2.9527376E-4
373.0,373.0,0.013012304
374.0,374.0,1.14683185E-11
375.0,375.0,1.4580762E-28
376.0,376.0,0.11901136
377.0,377.0,3.4805314E-4
378.0,378.0,7.5261365E-4
379.0,379.0,6.329381E-4
380.0,380.0,0.041806016
381.0,381.0,6.7141873E-19
382.0,382.0,3.2743388E-5
383.0,383.0,5.5527145E-12
384.0,384.0,9.550278E-9
385.0,385.0,9.372944E-12
386.0,386.0,5.8842597E-12
387.0,387.0,3.7330046E-4
388.0,388.0,0.0
389.0,389.0,2.0173376E-13
390.0,390.0,0.08683941
391.0,391.0,1.9639486E-10
392.0,392.0,0.0011789148
393.0,393.0,7.4314344E-6
394.0,394.0,2.225702E-8
395.0,395.0,0.020853916
396.0,396.0,1.132003E-19
397.0,397.0,0.0027286785
398.0,398.0,7.589052E-26
399.0,399.0,6.259756E-26
400.0,400.0,0.010008556
401.0,401.0,9.375039E-8
402.0,402.0,2.9639253E-38
403.0,403.0,8.355139E-4
404.0,404.0,4.4579247E-21
405.0,405.0,6.8599815E-10
406.0,406.0,0.095138885
407.0,407.0,5.656812E-4
408.0,408.0,0.0045362795
409.0,409.0,0.0010880021
410.0,410.0,3.6169917E-5
411.0,411.0,1.4695739E-7
412.0,412.0,2.5639633E-13
413.0,413.0,0.04386627
414.0,414.0,1.7606859E-28
415.0,415.0,5.377187E-28
416.0,416.0,0.251774
417.0,417.0,2.3609722E-5
418.0,418.0,8.715106E-4
419.0,419.0,1.5000398E-4
420.0,420.0,0.16584396
421.0,421.0,9.4290453E-7
422.0,422.0,0.22205724
423.0,423.0,0.01335285
424.0,424.0,2.3566557E-12
425.0,425.0,6.5067626E-12
426.0,426.0,0.20617661
427.0,427.0,2.5799102E-17
428.0,428.0,1.0025705E-12
429.0,429.0,5.6446697E-6
430.0,430.0,0.0013255688
431.0,431.0,7.8095963E-10
432.0,432.0,9.579954E-11
433.0,433.0,5.7009238E-11
434.0,434.0,3.4068798E-4
435.0,435.0,8.630952E-12
436.0,436.0,0.0050612963
437.0,437.0,5.1864863E-6
438.0,438.0,7.1278468E-9
439.0,439.0,8.200501E-8
440.0,440.0,6.78943E-6
441.0,441.0,0.52015495
442.0,442.0,3.2856045E-13
443.0,443.0,0.28156066
444.0,444.0,0.002471372
445.0,445.0,0.0024203302
446.0,446.0,1.2313933E-8
447.0,447.0,1.4941519E-14
448.0,448.0,1.2033608E-7
449.0,449.0,4.0602318E-19
450.0,450.0,0.0
451.0,451.0,2.8E-45
452.0,452.0,1.2190378E-6
453.0,453.0,3.6824054E-13
454.0,454.0,4.830845E-5
455.0,455.0,9.491606E-4
456.0,456.0,0.026150048
457.0,457.0,2.2311919E-4
458.0,458.0,0.033444926
459.0,459.0,6.7290484E-10
460.0,460.0,0.06403085
461.0,461.0,0.07461037
462.0,462.0,6.7363043E-16
463.0,463.0,0.014234075
464.0,464.0,0.027975544
465.0,465.0,0.3141934
466.0,466.0,0.18532741
467.0,467.0,0.29986688
468.0,468.0,0.02974411
469.0,469.0,1.5261068E-7
470.0,470.0,1.5593822E-7
471.0,471.0,6.314503E-35
472.0,472.0,0.25132638
473.0,473.0,3.655403E-9
474.0,474.0,2.531997E-4
475.0,475.0,4.285764E-17
476.0,476.0,0.7115098
477.0,477.0,8.8427257E-4
478.0,478.0,1.6405082E-5
479.0,479.0,2.3347694E-4
480.0,480.0,1.1409142E-12
481.0,481.0,0.013153259
482.0,482.0,5.423075E-4
483.0,483.0,8.1032457E-13
484.0,484.0,7.8687466E-5
485.0,485.0,1.3217027E-12
486.0,486.0,2.029439E-12
487.0,487.0,0.0
488.0,488.0,8.278576E-15
489.0,489.0,2.8082839E-6
490.0,490.0,1.0570538E-5
491.0,491.0,1.0024816E-10
492.0,492.0,5.553611E-4
493.0,493.0,7.220961E-9
494.0,494.0,0.2990593
495.0,495.0,3.37647E-7
496.0,496.0,0.0065494366
497.0,497.0,3.1724917E-7
498.0,498.0,0.003347255
499.0,499.0,0.60655844
500.0,500.0,0.006502047
501.0,501.0,1.0208202E-9
502.0,502.0,0.14679804
503.0,503.0,2.741018E-10
504.0,504.0,1.6393073E-5
505.0,505.0,1.9310394E-13
506.0,506.0,1.3512781E-22
507.0,507.0,1.4670435E-6
508.0,508.0,9.542761E-8
509.0,509.0,3.8478552E-26
510.0,510.0,1.26133E-32
511.0,511.0,6.654946E-8
512.0,512.0,3.6821726E-5
513.0,513.0,1.9213092E-14
514.0,514.0,8.1988714E-11
515.0,515.0,2.3420327E-14
516.0,516.0,3.62E-43
517.0,517.0,0.095479935
518.0,518.0,4.033755E-7
519.0,519.0,1.0465486E-18
520.0,520.0,1.1439949E-10
521.0,521.0,0.057044152
522.0,522.0,1.7683037E-18
523.0,523.0,1.1731431E-10
524.0,524.0,7.5811696E-10
525.0,525.0,9.5937074E-5
526.0,526.0,0.24001929
527.0,527.0,8.282741E-35
