x,y,species stddev
1.0,1.0,0.04730954
2.0,2.0,0.2019078
3.0,3.0,4.5197345E-16
4.0,4.0,5.6671165E-4
5.0,5.0,2.5176435E-21
6.0,6.0,0.0044822935
7.0,7.0,2.8855964E-17
8.0,8.0,7.254579E-26
9.0,9.0,1.6404192E-4
10.0,10.0,7.0282914E-18
11.0,11.0,1.4717426E-13
12.0,12.0,1.8217966E-17
13.0,13.0,5.716014E-12
14.0,14.0,0.0028897254
15.0,15.0,2.3588958E-12
16.0,16.0,1.2815546E-22
17.0,17.0,6.458345E-11
18.0,18.0,4.286339E-4
19.0,19.0,1.1751695E-5
20.0,20.0,1.0039393E-20
21.0,21.0,2.512245E-22
22.0,22.0,1.588376E-4
23.0,23.0,0.011852513
24.0,24.0,1.01057685E-5
25.0,25.0,1.3935729E-4
26.0,26.0,0.0
27.0,27.0,0.13508336
28.0,28.0,9.613763E-6
29.0,29.0,6.3002313E-4
30.0,30.0,1.7097138E-5
31.0,31.0,1.6789655E-20
32.0,32.0,0.009957748
33.0,33.0,1.1211731E-4
34.0,34.0,0.0027852922
35.0,35.0,8.54824E-22
36.0,36.0,2.6585385E-13
37.0,37.0,0.009700709
38.0,38.0,0.01199876
39.0,39.0,0.03345226
40.0,40.0,0.003989426
41.0,41.0,2.4508867E-28
42.0,42.0,1.0567937E-7
43.0,43.0,1.1602403E-11
44.0,44.0,1.2556069E-11
45.0,45.0,3.6853672E-20
46.0,46.0,1.0425995E-28
47.0,47.0,2.0363802E-20
48.0,48.0,1.4945045E-12
49.0,49.0,1.8966297E-8
50.0,50.0,2.7945543E-11
51.0,51.0,1.13526716E-4
52.0,52.0,0.0
53.0,53.0,4.1808557E-12
54.0,54.0,0.09322914
55.0,55.0,4.506187E-9
56.0,56.0,1.3876027E-12
57.0,57.0,0.012107054
58.0,58.0,1.3741885E-6
59.0,59.0,4.661045E-6
60.0,60.0,0.011733408
61.0,61.0,0.023805022
62.0,62.0,0.02322595
63.0,63.0,0.033598382
64.0,64.0,1.4259956E-12
65.0,65.0,2.912769E-4
66.0,66.0,0.09759345
67.0,67.0,1.9176585E-19
68.0,68.0,7.463781E-6
69.0,69.0,3.5913193E-4
70.0,70.0,5.3003776E-20
71.0,71.0,0.005776844
72.0,72.0,5.8841296E-9
73.0,73.0,2.612924E-10
74.0,74.0,3.6338417E-9
75.0,75.0,0.0023537292
76.0,76.0,0.0
77.0,77.0,4.0868937E-8
78.0,78.0,0.052072324
79.0,79.0,3.6124737E-4
80.0,80.0,8.8847055E-6
81.0,81.0,4.351992E-7
82.0,82.0,6.552857E-7
83.0,83.0,2.245948E-7
84.0,84.0,0.009597854
85.0,85.0,0.013958529
86.0,86.0,5.8816744E-7
87.0,87.0,5.657998E-5
88.0,88.0,3.6069087E-4
89.0,89.0,6.4887554E-11
90.0,90.0,1.0622984E-4
91.0,91.0,0.0021924984
92.0,92.0,4.4027217E-12
93.0,93.0,4.3229453E-13
94.0,94.0,0.10850411
95.0,95.0,7.375351E-33
96.0,96.0,0.011349849
97.0,97.0,5.176987E-23
98.0,98.0,8.403505E-4
99.0,99.0,3.3008218E-6
100.0,100.0,2.72524E-32
101.0,101.0,0.002480144
102.0,102.0,0.010135247
103.0,103.0,0.06758054
104.0,104.0,0.027929472
105.0,105.0,1.4311584E-22
106.0,106.0,4.3757723E-6
107.0,107.0,0.042657305
108.0,108.0,1.8602305E-11
109.0,109.0,1.05666316E-10
110.0,110.0,0.0013802506
111.0,111.0,6.4673715E-9
112.0,112.0,0.033155624
113.0,113.0,4.4118494E-27
114.0,114.0,1.4800889E-24
115.0,115.0,3.061066E-8
116.0,116.0,0.082989566
117.0,117.0,5.765693E-4
118.0,118.0,6.7448795E-37
